Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20151126 09:43:00.000,895,906,891,896,244894,895,215,145
20151126 09:43:01.000,895,906,891,896,244894,895,216,148
20151126 09:43:02.000,895,906,891,896,244896,896,220,147
20151126 09:43:02.000,895,906,891,896,244898,895,220,147
20151126 09:43:03.000,895,906,891,896,244900,896,230,146
20151126 09:43:03.000,895,906,891,896,244980,895,191,151
20151126 09:43:04.000,895,906,891,896,244982,895,190,152
20151126 09:43:05.000,895,906,891,896,244984,895,190,152
20151126 09:43:06.000,895,906,891,896,244984,895,192,151
20151126 09:43:07.000,895,906,891,896,244986,895,192,151
20151126 09:43:10.000,895,906,891,896,244986,895,213,152
20151126 09:43:11.000,895,906,891,896,244986,895,312,152
20151126 09:43:11.000,895,906,891,896,245036,895,291,152
20151126 09:43:12.000,895,906,891,896,245036,895,291,154
20151126 09:43:13.000,895,906,891,896,245036,895,390,154
20151126 09:43:14.000,895,906,891,896,245440,895,341,4
20151126 09:43:14.000,896,906,891,897,245544,896,322,275
20151126 09:43:15.000,896,906,891,897,245546,896,324,275
20151126 09:43:16.000,896,906,891,897,245546,896,418,273
20151126 09:43:17.000,896,906,891,897,245966,897,418,62
20151126 09:43:18.000,896,906,891,897,245966,897,419,325
20151126 09:43:19.000,896,906,891,897,245968,896,421,334
20151126 09:43:20.000,896,906,891,897,245968,896,423,334
20151126 09:43:21.000,896,906,891,897,245968,896,423,333
20151126 09:43:23.000,896,906,891,897,245968,896,423,338
20151126 09:43:24.000,896,906,891,897,245970,896,422,338
20151126 09:43:25.000,896,906,891,897,245976,896,421,336
20151126 09:43:29.000,896,906,891,897,245976,896,422,336
20151126 09:43:30.000,896,906,891,897,245976,896,422,332
20151126 09:43:31.000,896,906,891,897,245976,896,422,333
20151126 09:43:31.000,896,906,891,897,245978,896,421,333
20151126 09:43:33.000,896,906,891,897,245978,896,421,334
20151126 09:43:34.000,896,906,891,897,245978,896,424,337
20151126 09:43:35.000,896,906,891,897,245978,896,425,337
20151126 09:43:35.000,896,906,891,897,246010,897,425,321
20151126 09:43:35.000,896,906,891,897,246012,896,424,321
20151126 09:43:37.000,896,906,891,897,246016,897,424,321
20151126 09:43:38.000,896,906,891,897,246016,897,424,322
20151126 09:43:42.000,896,906,891,897,246016,897,434,322
20151126 09:43:43.000,896,906,891,897,246018,897,434,321
20151126 09:43:45.000,896,906,891,897,246022,896,433,321
20151126 09:43:45.000,896,906,891,897,246026,897,433,319
20151126 09:43:45.000,896,906,891,897,246050,897,433,307
20151126 09:43:50.000,896,906,891,897,246050,897,430,308
20151126 09:43:52.000,896,906,891,897,246054,896,439,308
20151126 09:43:53.000,896,906,891,897,246060,897,439,305
20151126 09:43:53.000,896,906,891,897,246072,896,433,305
20151126 09:43:54.000,896,906,891,897,246072,896,433,307
20151126 09:43:55.000,896,906,891,897,246212,897,367,300
20151126 09:43:57.000,896,906,891,897,246212,897,380,300
20151126 09:43:58.000,896,906,891,897,246212,897,381,305
20151126 09:43:59.000,896,906,891,897,246252,897,381,285
20151126 09:44:00.000,896,906,891,897,246252,897,381,302
20151126 09:44:02.000,896,906,891,897,246252,897,384,302
20151126 09:44:04.000,896,906,891,897,246252,897,384,305
20151126 09:44:05.000,896,906,891,897,246254,897,385,305
20151126 09:44:07.000,896,906,891,897,246254,897,385,306
20151126 09:44:07.000,896,906,891,897,246330,896,347,305
20151126 09:44:08.000,896,906,891,897,246402,896,312,305
20151126 09:44:09.000,896,906,891,897,246402,896,311,305
20151126 09:44:09.000,896,906,891,897,246406,896,309,305
20151126 09:44:10.000,896,906,891,897,246408,896,309,305
20151126 09:44:10.000,896,906,891,897,246618,897,309,200
20151126 09:44:11.000,896,906,891,897,246618,897,307,200
20151126 09:44:11.000,896,906,891,897,246620,897,307,199
20151126 09:44:12.000,896,906,891,897,246622,896,306,199
20151126 09:44:13.000,896,906,891,897,246622,896,310,203
20151126 09:44:15.000,896,906,891,897,246624,897,310,262
20151126 09:44:17.000,896,906,891,897,246626,896,309,264
20151126 09:44:17.000,896,906,891,897,246630,897,309,282
20151126 09:44:18.000,896,906,891,897,246630,897,339,282
20151126 09:44:19.000,896,906,891,897,246630,897,340,283
20151126 09:44:20.000,896,906,891,897,246634,897,340,281
20151126 09:44:21.000,896,906,891,897,246634,897,343,282
20151126 09:44:24.000,896,906,891,897,246634,897,346,283
20151126 09:44:26.000,896,906,891,897,246634,897,346,291
20151126 09:44:28.000,896,906,891,897,246634,897,346,292
20151126 09:44:30.000,896,906,891,897,246634,897,346,290
20151126 09:44:31.000,896,906,891,897,246654,897,346,280
20151126 09:44:33.000,896,906,891,897,246654,897,348,280
20151126 09:44:34.000,896,906,891,897,246654,897,348,281
20151126 09:44:35.000,896,906,891,897,246654,897,349,281
20151126 09:44:37.000,896,906,891,897,246654,897,349,330
20151126 09:44:41.000,896,906,891,897,246658,897,349,328
20151126 09:44:42.000,896,906,891,897,246658,897,349,329
20151126 09:44:44.000,896,906,891,897,246662,896,347,329
20151126 09:44:45.000,896,906,891,897,246662,896,347,331
20151126 09:44:46.000,896,906,891,897,246662,896,347,333
20151126 09:44:48.000,896,906,891,897,246662,896,357,363
20151126 09:44:49.000,896,906,891,897,246662,896,357,362
20151126 09:44:51.000,896,906,891,897,247064,897,358,193
20151126 09:44:52.000,896,906,891,897,247064,897,358,204
20151126 09:44:53.000,896,906,891,897,247066,897,425,203
20151126 09:44:53.000,896,906,891,897,247106,897,425,183
20151126 09:44:54.000,896,906,891,897,247106,897,357,183
20151126 09:44:55.000,896,906,891,897,247120,897,356,176
20151126 09:44:56.000,896,906,891,897,247122,896,354,176
20151126 09:44:57.000,896,906,891,897,247122,896,364,176
20151126 09:44:57.000,897,906,891,898,247476,897,81,930
20151126 09:44:58.000,897,906,891,898,247476,897,82,937
20151126 09:44:59.000,897,906,891,898,247476,897,195,937
20151126 09:45:00.000,897,906,891,898,247476,897,195,936
20151126 09:45:02.000,897,906,891,898,247476,897,195,937
20151126 09:45:02.000,897,906,891,898,247484,897,192,937
20151126 09:45:03.000,897,906,891,898,247494,898,190,934
20151126 09:45:04.000,897,906,891,898,247494,898,190,939
20151126 09:45:05.000,897,906,891,898,247494,898,190,940
20151126 09:45:06.000,897,906,891,898,247494,898,230,939
20151126 09:45:07.000,897,906,891,898,247504,897,225,940
20151126 09:45:08.000,897,906,891,898,247504,897,228,940
20151126 09:45:09.000,897,906,891,898,247504,897,228,942
20151126 09:45:10.000,897,906,891,898,247504,897,229,942
20151126 09:45:10.000,897,906,891,898,247506,897,233,942
20151126 09:45:11.000,897,906,891,898,247508,897,232,942
20151126 09:45:12.000,897,906,891,898,247508,897,233,942
20151126 09:45:13.000,897,906,891,898,247510,898,236,941
20151126 09:45:14.000,897,906,891,898,247512,897,236,941
20151126 09:45:17.000,897,906,891,898,247516,897,235,949
20151126 09:45:19.000,897,906,891,898,247516,897,246,949
20151126 09:45:20.000,897,906,891,898,247516,897,245,949
20151126 09:45:21.000,897,906,891,898,247516,897,246,949
20151126 09:45:22.000,897,906,891,898,247516,897,276,949
20151126 09:45:24.000,897,906,891,898,247516,897,337,949
20151126 09:45:25.000,897,906,891,898,247516,897,338,949
20151126 09:45:28.000,897,906,891,898,247516,897,338,952
20151126 09:45:30.000,897,906,891,898,247516,897,338,954
20151126 09:45:31.000,897,906,891,898,247516,897,339,955
20151126 09:45:32.000,897,906,891,898,247516,897,331,956
20151126 09:45:35.000,897,906,891,898,247516,897,332,956
20151126 09:45:36.000,897,906,891,898,247520,898,332,954
20151126 09:45:36.000,897,906,891,898,247580,898,329,927
20151126 09:45:37.000,897,906,891,898,247582,897,328,927
20151126 09:45:37.000,897,906,891,898,247584,898,328,926
20151126 09:45:38.000,897,906,891,898,247602,897,319,926
20151126 09:45:39.000,897,906,891,898,247716,898,319,868
20151126 09:45:39.000,897,906,891,898,247724,898,319,864
20151126 09:45:39.000,897,906,891,898,247730,898,319,861
20151126 09:45:40.000,897,906,891,898,247732,897,318,861
20151126 09:45:43.000,897,906,891,898,247752,898,318,851
20151126 09:45:44.000,897,906,891,898,247756,898,328,849
20151126 09:45:45.000,897,906,891,898,247756,898,328,850
20151126 09:45:49.000,897,906,891,898,247796,898,317,833
20151126 09:45:50.000,897,906,891,898,247796,898,318,1033
20151126 09:45:53.000,897,906,891,898,247796,898,319,1033
20151126 09:45:58.000,897,906,891,898,247800,898,320,1051
20151126 09:45:59.000,897,906,891,898,247806,898,320,1049
20151126 09:46:00.000,897,906,891,898,247818,898,320,1043
20151126 09:46:02.000,897,906,891,898,247818,898,321,1043
20151126 09:46:02.000,897,906,891,898,247820,898,321,1042
20151126 09:46:03.000,897,906,891,898,247820,898,311,1042
20151126 09:46:05.000,897,906,891,898,247824,898,311,1040
20151126 09:46:05.000,897,906,891,898,247934,898,310,986
20151126 09:46:06.000,897,906,891,898,247954,898,310,976
20151126 09:46:06.000,897,906,891,898,247958,898,310,974
20151126 09:46:09.000,897,906,891,898,247960,898,310,973
20151126 09:46:09.000,897,906,891,898,247962,898,311,974
20151126 09:46:12.000,897,906,891,898,247962,898,311,994
20151126 09:46:13.000,897,906,891,898,247968,898,311,991
20151126 09:46:15.000,897,906,891,898,247968,898,323,991
20151126 09:46:16.000,897,906,891,898,247968,898,323,992
20151126 09:46:17.000,897,906,891,898,247970,897,322,992
20151126 09:46:18.000,897,906,891,898,247970,897,323,992
20151126 09:46:20.000,897,906,891,898,247970,897,324,1007
20151126 09:46:20.000,897,906,891,898,247972,897,323,1007
20151126 09:46:21.000,897,906,891,898,247972,897,323,1008
20151126 09:46:23.000,897,906,891,898,247976,898,320,1016
20151126 09:46:23.000,897,906,891,898,247980,897,318,1018
20151126 09:46:25.000,897,906,891,898,248000,897,315,1018
20151126 09:46:28.000,897,906,891,898,248000,897,314,1018
20151126 09:46:29.000,897,906,891,898,248002,897,314,1019
20151126 09:46:30.000,897,906,891,898,248002,897,254,1019
20151126 09:46:30.000,897,906,891,898,248004,897,254,1019
20151126 09:46:31.000,897,906,891,898,248042,897,254,1019
20151126 09:46:34.000,897,906,891,898,248042,897,254,1018
20151126 09:46:35.000,897,906,891,898,248044,898,254,1017
20151126 09:46:36.000,897,906,891,898,248044,898,259,1018
20151126 09:46:37.000,897,906,891,898,248046,897,260,1019
20151126 09:46:38.000,897,906,891,898,248046,897,291,1018
20151126 09:46:38.000,897,906,891,898,248076,898,292,1003
20151126 09:46:39.000,897,906,891,898,248076,898,292,1004
20151126 09:46:40.000,897,906,891,898,248080,897,292,1004
20151126 09:46:41.000,897,906,891,898,248080,897,292,1005
20151126 09:46:42.000,897,906,891,898,248080,897,298,1005
20151126 09:46:43.000,897,906,891,898,248080,897,298,1008
20151126 09:46:44.000,897,906,891,898,248092,897,297,1008
20151126 09:46:45.000,897,906,891,898,248092,897,267,1008
20151126 09:46:46.000,897,906,891,898,248092,897,267,1006
20151126 09:46:47.000,897,906,891,898,248092,897,268,1006
20151126 09:46:48.000,897,906,891,898,248096,898,268,1004
20151126 09:46:49.000,897,906,891,898,248096,898,268,1015
20151126 09:46:49.000,897,906,891,898,248098,897,267,1016
