Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20151126 09:43:00.000,4602,4620,4506,4604,739930,4604,185,322
20151126 09:43:01.000,4602,4620,4506,4604,740092,4604,185,245
20151126 09:43:01.000,4602,4620,4506,4606,740792,4606,116,267
20151126 09:43:02.000,4602,4620,4506,4606,740916,4606,116,206
20151126 09:43:02.000,4602,4620,4506,4608,741328,4606,110,15
20151126 09:43:03.000,4604,4620,4506,4610,741328,4606,16,130
20151126 09:43:03.000,4604,4620,4506,4610,741544,4610,19,24
20151126 09:43:04.000,4604,4620,4506,4608,741544,4610,19,350
20151126 09:43:04.000,4604,4620,4506,4608,741546,4608,53,349
20151126 09:43:05.000,4604,4620,4506,4608,741550,4604,61,363
20151126 09:43:05.000,4604,4620,4506,4608,741950,4608,61,164
20151126 09:43:06.000,4604,4620,4506,4606,741950,4608,61,1
20151126 09:43:06.000,4604,4620,4506,4606,741954,4604,79,1
20151126 09:43:07.000,4604,4620,4506,4606,741954,4604,81,1
20151126 09:43:07.000,4606,4620,4506,4608,741962,4606,3,164
20151126 09:43:08.000,4606,4620,4506,4608,741964,4608,3,163
20151126 09:43:08.000,4606,4620,4506,4608,741972,4608,3,174
20151126 09:43:09.000,4604,4620,4506,4606,741978,4606,83,2
20151126 09:43:09.000,4606,4620,4506,4608,742002,4606,13,174
20151126 09:43:09.000,4606,4620,4506,4608,742402,4610,13,15
20151126 09:43:10.000,4606,4620,4506,4608,742418,4606,6,14
20151126 09:43:11.000,4606,4620,4506,4608,742420,4608,6,13
20151126 09:43:11.000,4606,4620,4506,4608,742422,4608,6,22
20151126 09:43:12.000,4606,4620,4506,4608,742828,4606,3,3
20151126 09:43:13.000,4604,4620,4506,4606,742844,4606,105,25
20151126 09:43:14.000,4602,4620,4506,4604,743098,4604,329,274
20151126 09:43:14.000,4602,4620,4506,4604,743112,4604,339,282
20151126 09:43:15.000,4602,4620,4506,4604,743112,4604,329,282
20151126 09:43:15.000,4602,4620,4506,4604,743538,4604,345,54
20151126 09:43:16.000,4604,4620,4506,4608,743846,4608,546,13
20151126 09:43:16.000,4604,4620,4506,4608,743866,4608,2,18
20151126 09:43:17.000,4604,4620,4506,4606,743876,4608,2,45
20151126 09:43:17.000,4602,4620,4506,4604,743884,4604,297,71
20151126 09:43:18.000,4602,4620,4506,4604,743936,4604,297,45
20151126 09:43:19.000,4602,4620,4506,4604,743952,4604,299,39
20151126 09:43:19.000,4606,4620,4506,4608,744354,4608,10,261
20151126 09:43:20.000,4602,4620,4506,4606,744580,4606,304,72
20151126 09:43:21.000,4604,4620,4506,4606,744580,4606,2,72
20151126 09:43:22.000,4606,4620,4506,4608,744980,4608,1,155
20151126 09:43:22.000,4604,4620,4506,4608,744984,4608,1,154
20151126 09:43:23.000,4602,4620,4506,4606,744990,4606,320,130
20151126 09:43:24.000,4602,4620,4506,4606,745194,4602,319,82
20151126 09:43:24.000,4602,4620,4506,4606,745596,4602,319,1
20151126 09:43:25.000,4602,4620,4506,4606,745596,4602,320,1
20151126 09:43:26.000,4602,4620,4506,4608,745602,4608,371,43
20151126 09:43:26.000,4604,4620,4506,4608,745604,4606,1,43
20151126 09:43:27.000,4602,4620,4506,4608,745604,4606,371,45
20151126 09:43:27.000,4602,4620,4506,4608,745614,4602,366,43
20151126 09:43:28.000,4604,4620,4506,4608,745820,4608,1,23
20151126 09:43:29.000,4604,4620,4506,4608,745822,4608,11,73
20151126 09:43:29.000,4604,4620,4506,4608,745826,4604,11,75
20151126 09:43:30.000,4604,4620,4506,4606,745830,4604,12,1
