Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20151126 09:42:51.000,334.2,335.4,331.4,334.4,1824,334.4,10,1
20151126 09:43:02.000,334.2,335.4,331.4,334.4,1824,334.4,10,3
20151126 09:43:25.000,334.2,335.4,331.4,334.4,1824,334.4,10,2
20151126 09:43:31.000,334.2,335.4,331.4,334.4,1826,334.2,9,2
20151126 09:43:47.000,334.2,335.4,331.4,334.4,1826,334.2,9,3
20151126 09:43:50.000,334.2,335.4,331.4,334.4,1826,334.2,9,2
20151126 09:43:55.000,334.2,335.4,331.4,334.4,1828,334.2,8,2
20151126 09:43:59.000,334.2,335.4,331.4,334.4,1838,334.2,3,2
20151126 09:44:00.000,334.2,335.4,331.4,334.4,1838,334.2,3,7
20151126 09:44:01.000,334.2,335.4,331.4,334.4,1840,334.2,2,7
20151126 09:44:01.000,334.0,335.4,331.4,334.2,1844,334.2,12,5
20151126 09:44:06.000,334.0,335.4,331.4,334.2,1846,334.2,12,4
20151126 09:45:03.000,334.2,335.4,331.4,334.4,1854,334.2,1,7
20151126 09:45:23.000,334.2,335.4,331.4,334.4,1854,334.2,5,7
20151126 09:45:32.000,334.2,335.4,331.4,334.4,1856,334.4,5,6
20151126 09:45:33.000,334.0,335.4,331.4,334.4,1856,334.4,12,6
20151126 09:45:45.000,334.0,335.4,331.4,334.2,1856,334.4,12,2
20151126 09:45:46.000,334.2,335.4,331.4,334.4,1860,334.2,13,6
20151126 09:46:44.000,334.2,335.4,331.4,334.4,1860,334.2,13,7
20151126 09:46:52.000,334.2,335.4,331.4,334.4,1864,334.2,11,7
20151126 09:46:53.000,334.0,335.4,331.4,334.4,1864,334.2,12,7
20151126 09:47:10.000,334.0,335.4,331.4,334.4,1864,334.2,2,7
20151126 09:47:25.000,334.0,335.4,331.4,334.2,1864,334.2,2,1
20151126 09:48:14.000,334.0,335.4,331.4,334.2,1864,334.2,2,3
20151126 09:48:27.000,334.0,335.4,331.4,334.2,1864,334.2,8,3
20151126 09:48:32.000,334.0,335.4,331.4,334.2,1864,334.2,8,4
20151126 09:48:51.000,334.0,335.4,331.4,334.2,1864,334.2,9,4
20151126 09:49:04.000,334.0,335.4,331.4,334.2,1864,334.2,10,4
20151126 09:49:16.000,334.0,335.4,331.4,334.2,1864,334.2,10,5
