Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20151126 09:43:01.100,99.800,99.900,99.750,99.805,5736,99.805,7,5
20151126 09:43:01.600,99.800,99.900,99.750,99.805,5736,99.805,7,5
20151126 09:43:02.100,99.800,99.900,99.750,99.805,5737,99.800,6,5
20151126 09:43:04.100,99.800,99.900,99.750,99.805,5737,99.800,6,7
20151126 09:43:04.600,99.800,99.900,99.750,99.805,5738,99.805,6,6
20151126 09:43:05.100,99.800,99.900,99.750,99.805,5739,99.800,5,6
20151126 09:43:05.600,99.800,99.900,99.750,99.805,5740,99.800,4,6
20151126 09:43:06.100,99.800,99.900,99.750,99.805,5742,99.800,1,7
20151126 09:43:06.600,99.795,99.900,99.750,99.805,5743,99.800,7,7
20151126 09:43:07.100,99.800,99.900,99.750,99.805,5743,99.800,5,7
20151126 09:43:07.600,99.800,99.900,99.750,99.805,5746,99.800,2,4
20151126 09:43:10.600,99.800,99.900,99.750,99.805,5746,99.800,2,4
20151126 09:43:11.100,99.800,99.900,99.750,99.805,5746,99.800,3,5
20151126 09:43:12.100,99.800,99.900,99.750,99.805,5746,99.800,3,5
20151126 09:43:12.600,99.800,99.900,99.750,99.805,5747,99.805,4,4
20151126 09:43:13.100,99.800,99.900,99.750,99.805,5747,99.805,4,3
20151126 09:43:14.100,99.800,99.900,99.750,99.805,5747,99.805,4,3
20151126 09:43:15.100,99.800,99.900,99.750,99.805,5747,99.805,4,3
20151126 09:43:17.600,99.800,99.900,99.750,99.805,5747,99.805,4,3
20151126 09:43:18.100,99.800,99.900,99.750,99.805,5747,99.805,4,3
20151126 09:43:19.100,99.805,99.900,99.750,99.810,5750,99.805,4,8
20151126 09:43:19.600,99.805,99.900,99.750,99.810,5750,99.805,4,8
20151126 09:43:20.100,99.805,99.900,99.750,99.810,5750,99.805,4,8
20151126 09:43:20.600,99.805,99.900,99.750,99.810,5751,99.805,3,8
20151126 09:43:22.600,99.805,99.900,99.750,99.810,5751,99.805,3,8
20151126 09:43:23.600,99.805,99.900,99.750,99.810,5753,99.805,1,8
20151126 09:43:24.100,99.800,99.900,99.750,99.810,5756,99.810,10,8
20151126 09:43:24.600,99.800,99.900,99.750,99.810,5756,99.810,10,8
20151126 09:43:25.100,99.800,99.900,99.750,99.805,5756,99.810,10,1
20151126 09:43:25.600,99.805,99.900,99.750,99.810,5758,99.805,5,8
20151126 09:43:26.100,99.805,99.900,99.750,99.810,5758,99.805,8,8
20151126 09:43:26.600,99.805,99.900,99.750,99.810,5758,99.805,3,8
20151126 09:43:28.600,99.805,99.900,99.750,99.810,5758,99.805,3,9
20151126 09:43:29.600,99.805,99.900,99.750,99.810,5758,99.805,3,9
20151126 09:43:30.100,99.805,99.900,99.750,99.810,5758,99.805,8,9
20151126 09:43:31.100,99.805,99.900,99.750,99.810,5758,99.805,8,9
20151126 09:43:34.100,99.805,99.900,99.750,99.810,5758,99.805,8,8
20151126 09:43:34.600,99.805,99.900,99.750,99.810,5758,99.805,8,11
20151126 09:43:35.600,99.805,99.900,99.750,99.810,5763,99.805,3,11
20151126 09:43:36.100,99.800,99.900,99.750,99.805,5766,99.805,5,10
20151126 09:43:36.600,99.800,99.900,99.750,99.805,5766,99.805,5,10
20151126 09:43:37.100,99.800,99.900,99.750,99.810,5766,99.805,5,14
20151126 09:43:37.600,99.800,99.900,99.750,99.805,5767,99.805,7,1
20151126 09:43:38.100,99.800,99.900,99.750,99.805,5767,99.805,7,1
20151126 09:43:38.600,99.800,99.900,99.750,99.805,5767,99.805,15,1
20151126 09:43:39.100,99.805,99.900,99.750,99.810,5768,99.805,6,15
20151126 09:43:39.600,99.805,99.900,99.750,99.810,5768,99.805,6,15
20151126 09:43:40.100,99.800,99.900,99.750,99.810,5768,99.805,17,15
20151126 09:43:40.600,99.800,99.900,99.750,99.805,5768,99.805,17,1
20151126 09:43:41.100,99.800,99.900,99.750,99.805,5768,99.805,17,1
20151126 09:43:42.100,99.800,99.900,99.750,99.805,5768,99.805,17,1
20151126 09:43:43.100,99.800,99.900,99.750,99.810,5769,99.805,17,15
20151126 09:43:43.600,99.800,99.900,99.750,99.810,5769,99.805,17,15
20151126 09:43:44.100,99.800,99.900,99.750,99.810,5769,99.805,17,15
20151126 09:43:44.600,99.805,99.900,99.750,99.810,5769,99.805,3,16
20151126 09:43:45.100,99.800,99.900,99.750,99.810,5769,99.805,17,17
20151126 09:43:45.600,99.800,99.900,99.750,99.810,5769,99.805,17,17
20151126 09:43:46.100,99.800,99.900,99.750,99.810,5769,99.805,17,17
20151126 09:43:47.600,99.800,99.900,99.750,99.810,5769,99.805,17,17
20151126 09:43:48.100,99.800,99.900,99.750,99.810,5769,99.805,17,17
20151126 09:43:49.100,99.805,99.900,99.750,99.810,5769,99.805,1,17
20151126 09:43:50.600,99.805,99.900,99.750,99.810,5769,99.805,1,17
20151126 09:43:51.600,99.805,99.900,99.750,99.810,5769,99.805,1,17
20151126 09:43:54.100,99.800,99.900,99.750,99.810,5769,99.805,17,14
20151126 09:43:55.100,99.800,99.900,99.750,99.810,5770,99.810,17,13
20151126 09:43:55.600,99.800,99.900,99.750,99.810,5770,99.810,17,14
20151126 09:43:56.600,99.805,99.900,99.750,99.810,5770,99.810,1,14
20151126 09:43:58.100,99.805,99.900,99.750,99.810,5770,99.810,1,14
20151126 09:43:58.600,99.805,99.900,99.750,99.810,5770,99.810,2,14
20151126 09:44:00.600,99.805,99.900,99.750,99.810,5770,99.810,2,14
20151126 09:44:01.100,99.805,99.900,99.750,99.810,5770,99.810,2,14
20151126 09:44:02.600,99.805,99.900,99.750,99.810,5770,99.810,2,14
20151126 09:44:03.100,99.805,99.900,99.750,99.810,5770,99.810,2,14
20151126 09:44:03.600,99.805,99.900,99.750,99.810,5770,99.810,3,14
20151126 09:44:04.100,99.805,99.900,99.750,99.810,5770,99.810,4,14
20151126 09:44:04.600,99.805,99.900,99.750,99.810,5770,99.810,4,14
20151126 09:44:05.100,99.805,99.900,99.750,99.810,5770,99.810,4,14
20151126 09:44:06.600,99.805,99.900,99.750,99.810,5770,99.810,4,14
20151126 09:44:07.600,99.805,99.900,99.750,99.810,5770,99.810,4,14
20151126 09:44:08.100,99.805,99.900,99.750,99.810,5770,99.810,4,14
20151126 09:44:09.100,99.805,99.900,99.750,99.810,5770,99.810,4,13
20151126 09:44:10.600,99.805,99.900,99.750,99.810,5770,99.810,4,13
20151126 09:44:12.600,99.805,99.900,99.750,99.810,5770,99.810,4,13
20151126 09:44:13.100,99.800,99.900,99.750,99.810,5775,99.805,19,14
20151126 09:44:14.600,99.800,99.900,99.750,99.810,5775,99.805,19,14
20151126 09:44:16.100,99.800,99.900,99.750,99.810,5775,99.805,19,15
20151126 09:44:17.100,99.800,99.900,99.750,99.810,5775,99.805,20,15
20151126 09:44:20.100,99.800,99.900,99.750,99.810,5775,99.805,20,15
20151126 09:44:22.600,99.800,99.900,99.750,99.810,5775,99.805,20,15
20151126 09:44:23.100,99.800,99.900,99.750,99.810,5776,99.800,19,15
20151126 09:44:24.100,99.800,99.900,99.750,99.810,5776,99.800,19,19
20151126 09:44:25.100,99.800,99.900,99.750,99.810,5776,99.800,19,19
20151126 09:44:26.100,99.800,99.900,99.750,99.805,5776,99.800,19,4
20151126 09:44:26.600,99.800,99.900,99.750,99.805,5777,99.805,19,1
20151126 09:44:27.100,99.800,99.900,99.750,99.805,5777,99.805,20,1
20151126 09:44:29.100,99.800,99.900,99.750,99.805,5777,99.805,20,4
20151126 09:44:30.100,99.800,99.900,99.750,99.805,5778,99.800,19,7
20151126 09:44:30.600,99.800,99.900,99.750,99.805,5778,99.800,19,8
