Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20151126 09:42:42.000,2810,2819,2810,2812,280,2811,1,1
20151126 09:43:05.000,2809,2819,2810,2812,282,2810,2,1
20151126 09:43:13.000,2809,2819,2810,2812,282,2810,1,1
20151126 09:43:18.000,2808,2819,2810,2812,282,2810,6,1
20151126 09:43:29.000,2808,2819,2810,2811,282,2810,6,1
20151126 09:43:48.000,2809,2819,2810,2811,282,2810,1,1
20151126 09:43:50.000,2809,2819,2810,2811,282,2810,6,1
20151126 09:44:15.000,2809,2819,2810,2812,282,2810,6,1
20151126 09:44:19.000,2809,2819,2810,2812,282,2810,6,2
20151126 09:44:56.000,2809,2819,2810,2810,282,2810,6,5
20151126 09:44:59.000,2809,2819,2810,2812,282,2810,6,2
20151126 09:45:14.000,2809,2819,2810,2812,282,2810,3,2
20151126 09:45:31.000,2808,2819,2809,2809,288,2809,4,2
20151126 09:45:34.000,2809,2819,2809,2812,292,2809,1,2
20151126 09:45:43.000,2809,2819,2809,2812,292,2809,1,4
20151126 09:45:54.000,2809,2819,2809,2812,292,2809,1,3
20151126 09:46:13.000,2809,2819,2809,2812,292,2809,1,2
20151126 09:46:19.000,2809,2819,2809,2810,292,2809,1,1
20151126 09:47:05.000,2809,2819,2809,2812,294,2810,1,2
20151126 09:47:16.000,2810,2819,2809,2812,294,2810,1,2
20151126 09:47:24.000,2810,2819,2809,2812,294,2810,1,3
20151126 09:48:05.000,2810,2819,2809,2812,294,2810,1,1
20151126 09:48:41.000,2810,2819,2809,2812,294,2810,4,1
20151126 09:49:17.000,2810,2819,2809,2815,296,2812,3,6
20151126 09:49:28.000,2811,2819,2809,2815,296,2812,1,6
20151126 09:49:40.000,2811,2819,2809,2815,296,2812,2,6
20151126 09:49:42.000,2811,2819,2809,2815,296,2812,3,6
20151126 09:49:55.000,2813,2819,2809,2815,296,2812,1,6
20151126 09:50:23.000,2811,2819,2809,2815,298,2813,3,6
20151126 09:50:28.000,2811,2819,2809,2815,298,2813,2,6
20151126 09:50:38.000,2811,2819,2809,2814,298,2813,1,2
20151126 09:50:44.000,2811,2819,2809,2814,298,2813,1,1
20151126 09:50:53.000,2811,2819,2809,2814,298,2813,1,2
20151126 09:51:19.000,2810,2819,2809,2814,300,2811,4,2
20151126 09:51:42.000,2811,2819,2809,2814,300,2811,1,2
20151126 09:54:04.000,2810,2819,2809,2811,302,2811,4,1
20151126 09:54:13.000,2811,2819,2809,2814,304,2811,2,2
20151126 09:54:14.000,2811,2819,2809,2813,304,2811,2,1
20151126 09:55:39.000,2811,2819,2809,2813,304,2811,3,1
20151126 09:57:18.000,2811,2819,2809,2813,304,2811,5,1
20151126 09:57:43.000,2811,2819,2809,2813,304,2811,6,1
20151126 09:57:55.000,2811,2819,2809,2815,304,2811,6,5
20151126 09:57:59.000,2812,2819,2809,2814,304,2811,2,1
20151126 09:58:55.000,2812,2819,2809,2815,306,2814,2,5
20151126 09:58:59.000,2813,2819,2809,2815,306,2814,2,5
20151126 09:59:02.000,2813,2819,2809,2815,306,2814,3,5
20151126 10:00:00.000,2813,2819,2809,2816,316,2815,3,5
20151126 10:00:14.000,2813,2819,2809,2816,316,2815,2,5
20151126 10:00:35.000,2813,2819,2809,2816,316,2815,3,5
20151126 10:00:44.000,2813,2819,2809,2816,316,2815,1,7
20151126 10:00:56.000,2813,2819,2809,2816,316,2815,1,5
20151126 10:00:57.000,2813,2819,2809,2816,316,2815,1,6
20151126 10:01:04.000,2813,2819,2809,2816,316,2815,1,7
20151126 10:01:26.000,2812,2819,2809,2816,316,2815,3,7
20151126 10:01:28.000,2813,2819,2809,2816,316,2815,1,7
20151126 10:01:43.000,2813,2819,2809,2815,316,2815,1,1
20151126 10:02:56.000,2813,2819,2809,2815,316,2815,1,3
20151126 10:03:44.000,2812,2819,2809,2813,318,2813,3,1
20151126 10:53:58.000,2812,2819,2809,2813,380,2815,1,4
20151126 10:55:33.000,2811,2819,2809,2813,380,2815,10,4
20151126 10:55:39.000,2812,2819,2809,2813,380,2815,1,4
20151126 10:58:09.000,2811,2819,2809,2812,382,2812,10,3
20151126 10:58:41.000,2811,2819,2809,2812,384,2812,9,2
20151126 10:59:28.000,2811,2819,2809,2813,388,2812,9,4
20151126 10:59:35.000,2811,2819,2809,2813,388,2812,9,5
20151126 10:59:38.000,2811,2819,2809,2813,388,2812,9,6
20151126 11:01:26.000,2811,2819,2809,2813,392,2811,7,6
20151126 11:04:16.000,2811,2819,2809,2813,392,2811,8,6
20151126 11:05:19.000,2811,2819,2809,2813,392,2811,8,10
20151126 11:05:38.000,2812,2819,2809,2813,392,2811,1,10
20151126 11:05:55.000,2811,2819,2809,2812,394,2812,8,1
20151126 11:06:03.000,2811,2819,2809,2812,394,2812,7,1
20151126 11:06:05.000,2811,2819,2809,2812,398,2811,5,1
20151126 11:06:39.000,2811,2819,2809,2812,402,2811,3,1
20151126 11:06:48.000,2811,2819,2809,2812,406,2811,1,1
20151126 11:07:00.000,2810,2819,2809,2812,408,2811,34,1
20151126 11:07:18.000,2811,2819,2809,2812,408,2811,3,1
20151126 11:07:31.000,2811,2819,2809,2812,408,2811,3,2
20151126 11:07:53.000,2811,2819,2809,2812,412,2811,1,2
20151126 11:08:06.000,2810,2819,2809,2812,414,2811,34,2
20151126 11:09:22.000,2810,2819,2809,2811,414,2811,34,3
20151126 11:12:21.000,2811,2819,2809,2812,420,2811,2,2
20151126 11:13:39.000,2811,2819,2809,2813,424,2812,10,10
20151126 11:13:48.000,2811,2819,2809,2813,424,2812,11,10
20151126 11:14:10.000,2811,2819,2809,2813,424,2812,9,10
20151126 11:14:14.000,2811,2819,2809,2813,424,2812,8,10
20151126 11:14:31.000,2811,2819,2809,2812,424,2812,8,2
20151126 11:16:12.000,2811,2819,2809,2812,424,2812,7,2
20151126 11:16:30.000,2811,2819,2809,2812,424,2812,6,2
20151126 11:16:38.000,2811,2819,2809,2812,424,2812,5,2
20151126 11:16:52.000,2811,2819,2809,2812,428,2811,3,2
20151126 11:16:55.000,2811,2819,2809,2812,430,2812,3,1
20151126 11:16:56.000,2811,2819,2809,2812,430,2812,2,1
20151126 11:17:03.000,2811,2819,2809,2812,430,2812,2,3
20151126 11:17:23.000,2811,2819,2809,2813,436,2812,2,10
20151126 11:17:25.000,2811,2819,2809,2813,436,2812,1,10
20151126 11:17:26.000,2811,2819,2809,2813,436,2812,5,10
20151126 11:17:57.000,2811,2819,2809,2813,436,2812,4,10
20151126 11:18:22.000,2811,2819,2809,2813,436,2812,5,10
20151126 11:20:28.000,2812,2819,2809,2813,436,2812,3,10
20151126 11:20:30.000,2812,2819,2809,2813,436,2812,4,10
20151126 11:20:39.000,2812,2819,2809,2813,436,2812,3,10
20151126 11:21:17.000,2812,2819,2809,2813,436,2812,4,10
20151126 11:21:20.000,2812,2819,2809,2813,436,2812,3,10
20151126 11:21:50.000,2812,2819,2809,2813,438,2813,4,9
20151126 11:22:13.000,2812,2819,2809,2813,442,2812,2,9
20151126 11:22:23.000,2811,2819,2809,2813,446,2812,1,9
20151126 11:22:41.000,2811,2819,2809,2812,446,2812,1,2
20151126 11:22:46.000,2811,2819,2809,2812,446,2812,5,2
20151126 11:22:50.000,2812,2819,2809,2813,450,2812,2,9
20151126 11:22:58.000,2811,2819,2809,2812,454,2812,5,1
20151126 11:23:11.000,2811,2819,2809,2812,458,2811,3,1
20151126 11:24:01.000,2811,2819,2809,2812,462,2811,1,1
20151126 11:24:13.000,2812,2819,2809,2813,464,2812,1,9
20151126 11:24:15.000,2811,2819,2809,2812,466,2812,1,1
20151126 11:24:23.000,2810,2819,2809,2811,468,2811,31,1
20151126 11:24:36.000,2810,2819,2809,2812,470,2811,31,2
20151126 11:24:48.000,2810,2819,2809,2812,470,2811,31,4
20151126 11:25:09.000,2810,2819,2809,2812,472,2812,31,3
20151126 11:25:19.000,2811,2819,2809,2812,472,2812,1,3
20151126 11:25:33.000,2811,2819,2809,2812,472,2812,1,5
20151126 11:26:28.000,2811,2819,2809,2812,474,2812,1,4
20151126 11:26:32.000,2811,2819,2809,2812,474,2812,2,4
20151126 11:27:10.000,2811,2819,2809,2812,474,2812,1,4
20151126 11:27:13.000,2811,2819,2809,2813,482,2812,1,9
20151126 11:27:25.000,2811,2819,2809,2813,486,2813,1,7
20151126 11:27:35.000,2811,2819,2809,2813,496,2813,1,2
20151126 11:29:00.000,2811,2819,2809,2813,496,2813,1,3
20151126 11:29:30.000,2811,2819,2809,2813,498,2813,1,2
20151126 11:29:40.000,2811,2819,2809,2813,498,2813,2,2
20151126 13:30:00.000,2811,2819,2809,2813,500,2812,3,1
20151126 13:30:13.000,2812,2819,2809,2813,500,2812,1,1
20151126 13:30:23.000,2811,2819,2809,2812,502,2812,3,1
20151126 13:31:11.000,2811,2819,2809,2813,504,2812,4,1
20151126 13:31:23.000,2811,2819,2809,2813,504,2812,4,1
20151126 13:31:38.000,2811,2819,2809,2813,504,2812,4,3
20151126 13:31:45.000,2812,2819,2809,2813,504,2812,2,3
20151126 13:31:58.000,2811,2819,2809,2813,504,2812,4,3
20151126 13:32:06.000,2811,2819,2809,2812,504,2812,4,2
20151126 13:32:15.000,2812,2819,2809,2813,508,2812,5,3
20151126 13:32:24.000,2812,2819,2809,2814,514,2813,2,5
20151126 13:32:37.000,2811,2819,2809,2814,514,2813,4,5
20151126 13:32:45.000,2811,2819,2809,2814,514,2813,6,5
20151126 13:32:48.000,2811,2819,2809,2814,514,2813,5,5
20151126 13:32:58.000,2812,2819,2809,2814,514,2813,2,5
20151126 13:33:34.000,2813,2819,2809,2814,514,2813,2,5
20151126 13:33:41.000,2813,2819,2809,2815,524,2814,2,4
20151126 13:33:48.000,2813,2819,2809,2815,524,2814,3,4
20151126 13:33:53.000,2814,2819,2809,2815,526,2815,2,3
20151126 13:34:07.000,2814,2819,2809,2815,530,2815,1,1
20151126 13:34:29.000,2813,2819,2809,2815,530,2815,1,1
20151126 13:34:31.000,2813,2819,2809,2815,530,2815,2,1
20151126 13:34:51.000,2814,2819,2809,2815,530,2815,1,1
20151126 13:35:24.000,2814,2819,2809,2816,532,2815,1,7
20151126 13:35:32.000,2815,2819,2809,2816,532,2815,1,7
20151126 13:35:36.000,2814,2819,2809,2816,532,2815,1,7
20151126 13:35:44.000,2815,2819,2809,2816,532,2815,1,7
20151126 13:35:58.000,2814,2819,2809,2816,532,2815,1,7
20151126 13:36:29.000,2814,2819,2809,2815,532,2815,1,4
20151126 13:36:53.000,2813,2819,2809,2815,534,2814,3,4
20151126 13:37:04.000,2813,2819,2809,2815,534,2814,2,4
20151126 13:37:26.000,2813,2819,2809,2814,536,2814,1,3
20151126 13:37:59.000,2813,2819,2809,2814,536,2814,5,3
20151126 13:38:05.000,2813,2819,2809,2814,536,2814,4,3
20151126 13:38:15.000,2813,2819,2809,2814,536,2814,2,3
20151126 13:38:21.000,2813,2819,2809,2814,536,2814,1,3
20151126 13:38:23.000,2813,2819,2809,2815,542,2814,1,4
20151126 13:38:28.000,2814,2819,2809,2815,542,2814,4,4
20151126 13:38:36.000,2814,2819,2809,2815,542,2814,2,4
20151126 13:38:49.000,2815,2819,2809,2816,550,2815,1,7
20151126 13:40:39.000,2815,2819,2809,2816,550,2815,1,8
20151126 13:40:43.000,2815,2819,2809,2816,550,2815,1,10
20151126 13:40:46.000,2815,2819,2809,2816,550,2815,1,7
20151126 13:40:51.000,2813,2819,2809,2815,552,2815,9,1
20151126 13:40:59.000,2814,2819,2809,2816,556,2816,5,6
20151126 13:41:00.000,2814,2819,2809,2816,556,2816,4,6
20151126 13:41:01.000,2814,2819,2809,2816,556,2816,3,6
20151126 13:41:03.000,2814,2819,2809,2816,556,2816,2,6
20151126 13:41:04.000,2813,2819,2809,2816,556,2816,9,6
20151126 13:41:07.000,2814,2819,2809,2816,556,2816,1,6
20151126 13:41:37.000,2814,2819,2809,2816,560,2816,1,4
20151126 13:41:56.000,2814,2819,2809,2815,560,2816,1,4
20151126 13:43:01.000,2813,2819,2809,2814,562,2814,4,1
20151126 13:43:20.000,2813,2819,2809,2814,562,2814,47,1
20151126 13:43:36.000,2813,2819,2809,2814,566,2813,45,1
20151126 13:44:05.000,2813,2819,2809,2814,566,2813,50,1
20151126 13:44:32.000,2813,2819,2809,2815,568,2814,49,5
20151126 13:45:00.000,2814,2819,2809,2815,568,2814,4,5
20151126 13:45:18.000,2814,2819,2809,2815,568,2814,4,8
20151126 13:45:27.000,2814,2819,2809,2815,576,2815,1,4
20151126 13:45:46.000,2813,2819,2809,2815,578,2815,45,3
20151126 13:45:57.000,2813,2819,2809,2815,578,2815,45,6
20151126 13:46:01.000,2814,2819,2809,2815,578,2815,1,6
20151126 13:47:21.000,2813,2819,2809,2815,578,2815,45,6
20151126 13:47:24.000,2814,2819,2809,2815,578,2815,1,6
20151126 13:48:07.000,2813,2819,2809,2814,580,2814,45,3
20151126 14:01:33.000,2813,2819,2809,2814,588,2813,41,3
20151126 14:02:03.000,2813,2819,2809,2814,588,2813,41,4
20151126 14:02:07.000,2813,2819,2809,2814,592,2813,39,4
20151126 14:02:17.000,2813,2819,2809,2814,596,2813,37,4
20151126 14:02:52.000,2813,2819,2809,2814,600,2813,35,4
20151126 14:03:09.000,2813,2819,2809,2814,604,2813,33,4
20151126 14:03:21.000,2813,2819,2809,2814,608,2813,31,4
20151126 14:03:40.000,2813,2819,2809,2814,612,2813,29,4
20151126 14:03:54.000,2813,2819,2809,2814,616,2813,27,4
20151126 14:04:02.000,2813,2819,2809,2814,620,2813,25,4
20151126 14:04:10.000,2813,2819,2809,2814,628,2813,21,4
20151126 14:04:17.000,2813,2819,2809,2814,636,2813,17,4
20151126 14:04:27.000,2813,2819,2809,2814,644,2813,13,4
20151126 14:04:36.000,2813,2819,2809,2814,652,2813,9,4
20151126 14:04:44.000,2813,2819,2809,2814,660,2813,5,4
20151126 14:04:46.000,2813,2819,2809,2814,660,2813,5,3
20151126 14:04:47.000,2813,2819,2809,2814,662,2813,4,3
20151126 14:05:49.000,2811,2819,2809,2814,670,2813,3,3
20151126 14:05:52.000,2811,2819,2809,2813,670,2813,3,1
20151126 14:12:16.000,2811,2819,2809,2814,672,2813,3,3
20151126 14:12:26.000,2811,2819,2809,2814,672,2813,3,6
20151126 14:12:52.000,2811,2819,2809,2813,672,2813,3,3
20151126 14:13:07.000,2811,2819,2809,2813,672,2813,1,3
20151126 14:13:39.000,2811,2819,2809,2812,672,2813,1,3
20151126 14:13:41.000,2811,2819,2809,2813,672,2813,1,3
20151126 14:13:49.000,2811,2819,2809,2812,672,2813,1,1
20151126 14:13:50.000,2810,2819,2809,2811,674,2811,29,2
20151126 14:13:52.000,2810,2819,2809,2812,674,2811,29,1
20151126 14:13:57.000,2810,2819,2809,2812,674,2811,29,2
20151126 14:13:59.000,2810,2819,2809,2812,674,2811,29,1
20151126 14:14:06.000,2810,2819,2809,2812,674,2811,29,3
20151126 14:14:07.000,2810,2819,2809,2812,674,2811,29,2
20151126 14:14:10.000,2810,2819,2809,2811,674,2811,29,1
20151126 14:14:11.000,2810,2819,2809,2812,674,2811,29,3
20151126 14:14:18.000,2810,2819,2809,2812,674,2811,29,4
20151126 14:14:34.000,2810,2819,2809,2812,676,2810,28,4
20151126 14:14:35.000,2810,2819,2809,2812,676,2810,28,2
20151126 14:14:37.000,2810,2819,2809,2811,676,2810,28,2
20151126 14:14:51.000,2810,2819,2809,2811,676,2810,28,1
20151126 14:14:55.000,2810,2819,2809,2812,676,2810,28,3
20151126 14:15:04.000,2810,2819,2809,2811,676,2810,28,1
20151126 14:15:20.000,2810,2819,2809,2812,676,2810,28,3
20151126 14:15:45.000,2810,2819,2809,2811,676,2810,28,2
20151126 14:16:04.000,2810,2819,2809,2812,676,2810,28,3
20151126 14:16:15.000,2810,2819,2809,2811,676,2810,28,2
20151126 14:16:26.000,2810,2819,2809,2811,690,2810,21,3
20151126 14:16:27.000,2810,2819,2809,2811,692,2810,20,3
20151126 14:16:33.000,2810,2819,2809,2811,692,2810,20,4
20151126 14:16:52.000,2810,2819,2809,2811,692,2810,20,5
20151126 14:16:58.000,2810,2819,2809,2811,692,2810,23,4
20151126 14:17:00.000,2810,2819,2809,2811,692,2810,24,4
20151126 14:17:02.000,2810,2819,2809,2811,692,2810,20,5
20151126 14:17:17.000,2810,2819,2809,2811,692,2810,25,4
20151126 14:17:36.000,2810,2819,2809,2811,692,2810,26,4
20151126 14:17:40.000,2810,2819,2809,2811,692,2810,27,4
20151126 14:17:41.000,2810,2819,2809,2811,692,2810,30,4
20151126 14:17:50.000,2811,2819,2809,2812,700,2811,6,1
20151126 14:18:04.000,2811,2819,2809,2812,700,2811,6,5
20151126 14:18:08.000,2810,2819,2809,2812,700,2811,20,5
20151126 14:21:24.000,2810,2819,2809,2812,700,2811,20,6
20151126 14:21:39.000,2810,2819,2809,2812,700,2811,20,5
20151126 14:21:48.000,2810,2819,2809,2811,700,2811,20,2
20151126 14:25:46.000,2810,2819,2809,2811,704,2810,18,2
20151126 14:25:57.000,2810,2819,2809,2811,708,2810,16,2
20151126 14:26:17.000,2810,2819,2809,2811,708,2810,17,2
