Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20151126 09:43:01.829,1872,1878,1866,1873,155692,1873,135,628
20151126 09:43:06.846,1872,1878,1866,1873,155692,1873,143,628
20151126 09:43:07.446,1872,1878,1866,1873,155694,1873,143,627
20151126 09:43:08.469,1872,1878,1866,1873,155696,1872,142,676
20151126 09:43:08.876,1872,1878,1866,1873,155696,1872,145,676
20151126 09:43:09.479,1872,1878,1866,1873,155696,1872,145,662
20151126 09:43:09.843,1872,1878,1866,1873,155696,1872,130,661
20151126 09:43:10.511,1872,1878,1866,1873,155696,1872,130,664
20151126 09:43:11.011,1872,1878,1866,1873,155726,1873,130,644
20151126 09:43:11.462,1872,1878,1866,1873,155726,1873,130,647
20151126 09:43:11.963,1872,1878,1866,1873,155726,1873,151,647
20151126 09:43:12.423,1872,1878,1866,1873,155726,1873,151,648
20151126 09:43:13.907,1872,1878,1866,1873,155726,1873,167,648
20151126 09:43:14.481,1872,1878,1866,1873,155726,1873,167,650
20151126 09:43:15.040,1872,1878,1866,1873,155726,1873,167,656
20151126 09:43:15.502,1872,1878,1866,1873,155728,1873,167,655
20151126 09:43:16.042,1872,1878,1866,1873,155728,1873,163,655
20151126 09:43:16.417,1872,1878,1866,1873,155730,1873,163,654
20151126 09:43:16.974,1872,1878,1866,1873,155730,1873,163,662
20151126 09:43:17.949,1872,1878,1866,1873,155930,1872,65,662
20151126 09:43:18.479,1872,1878,1866,1873,155930,1872,65,663
20151126 09:43:19.046,1871,1878,1866,1872,156060,1872,451,107
20151126 09:43:19.526,1871,1878,1866,1872,156060,1872,451,116
20151126 09:43:20.025,1871,1878,1866,1872,156060,1872,450,119
20151126 09:43:22.119,1871,1878,1866,1872,156060,1872,350,120
20151126 09:43:22.351,1871,1878,1866,1872,156064,1872,350,119
20151126 09:43:23.635,1871,1878,1866,1872,156066,1872,351,118
20151126 09:43:24.157,1871,1878,1866,1872,156070,1871,344,118
20151126 09:43:25.113,1871,1878,1866,1872,156072,1872,344,118
20151126 09:43:25.636,1871,1878,1866,1872,156072,1872,347,118
20151126 09:43:26.269,1871,1878,1866,1872,156078,1872,347,115
20151126 09:43:26.838,1871,1878,1866,1872,156078,1872,347,124
20151126 09:43:27.625,1871,1878,1866,1872,156078,1872,347,134
20151126 09:43:29.255,1871,1878,1866,1872,156078,1872,347,135
20151126 09:43:30.103,1871,1878,1866,1872,156078,1872,347,145
20151126 09:43:30.717,1871,1878,1866,1872,156078,1872,347,159
20151126 09:43:31.158,1871,1878,1866,1872,156084,1872,347,156
20151126 09:43:32.259,1871,1878,1866,1872,156084,1872,347,158
20151126 09:43:32.687,1871,1878,1866,1872,156100,1871,345,159
20151126 09:43:33.684,1871,1878,1866,1872,156100,1871,345,184
20151126 09:43:34.200,1871,1878,1866,1872,156100,1871,340,184
20151126 09:43:34.716,1871,1878,1866,1872,156102,1872,340,183
20151126 09:43:35.256,1871,1878,1866,1872,156102,1872,340,184
20151126 09:43:36.954,1871,1878,1866,1872,156106,1871,338,184
20151126 09:43:37.796,1871,1878,1866,1872,156106,1871,338,185
20151126 09:43:38.259,1871,1878,1866,1872,156106,1871,338,186
20151126 09:43:38.737,1871,1878,1866,1872,156106,1871,335,209
20151126 09:43:39.242,1871,1878,1866,1872,156106,1871,335,210
20151126 09:43:39.809,1871,1878,1866,1872,156112,1872,335,207
20151126 09:43:40.291,1871,1878,1866,1872,156112,1872,334,207
20151126 09:43:41.876,1871,1878,1866,1872,156112,1872,354,207
20151126 09:43:42.199,1871,1878,1866,1872,156114,1872,354,206
20151126 09:43:42.895,1871,1878,1866,1872,156116,1871,353,212
20151126 09:43:44.423,1871,1878,1866,1872,156156,1871,333,212
20151126 09:43:44.921,1871,1878,1866,1872,156156,1871,333,240
20151126 09:43:45.300,1871,1878,1866,1872,156156,1871,333,242
20151126 09:43:45.924,1871,1878,1866,1872,156156,1871,333,258
20151126 09:43:46.434,1871,1878,1866,1872,156158,1871,332,263
20151126 09:43:46.851,1871,1878,1866,1872,156168,1871,327,263
20151126 09:43:48.389,1871,1878,1866,1872,156172,1872,327,261
20151126 09:43:48.917,1871,1878,1866,1872,156172,1872,327,262
20151126 09:43:49.317,1871,1878,1866,1872,156172,1872,327,264
20151126 09:43:49.916,1871,1878,1866,1872,156172,1872,327,271
20151126 09:43:50.488,1871,1878,1866,1872,156174,1871,426,271
20151126 09:43:50.888,1871,1878,1866,1872,156180,1872,426,268
20151126 09:43:52.502,1871,1878,1866,1872,156180,1872,427,268
20151126 09:43:52.901,1871,1878,1866,1872,156180,1872,428,272
20151126 09:43:53.521,1872,1878,1866,1873,156732,1872,646,771
20151126 09:43:53.937,1872,1878,1866,1873,156732,1872,646,771
20151126 09:43:54.465,1872,1878,1866,1873,156732,1872,656,771
20151126 09:43:55.447,1872,1878,1866,1873,156734,1873,656,770
20151126 09:43:55.935,1872,1878,1866,1873,156754,1872,646,770
20151126 09:43:56.392,1872,1878,1866,1873,156780,1872,633,771
20151126 09:43:57.013,1872,1878,1866,1873,156780,1872,633,782
20151126 09:43:59.059,1872,1878,1866,1873,156780,1872,633,781
20151126 09:43:59.448,1872,1878,1866,1873,156780,1872,633,760
20151126 09:44:01.522,1872,1878,1866,1873,156780,1872,633,761
20151126 09:44:01.976,1872,1878,1866,1873,156932,1873,642,686
20151126 09:44:02.513,1872,1878,1866,1873,156934,1872,641,686
20151126 09:44:03.029,1872,1878,1866,1873,156934,1872,646,686
20151126 09:44:03.510,1872,1878,1866,1873,156934,1872,647,686
20151126 09:44:04.149,1872,1878,1866,1873,156934,1872,647,736
20151126 09:44:05.157,1872,1878,1866,1873,157054,1872,587,746
20151126 09:44:06.665,1872,1878,1866,1873,157056,1873,587,745
20151126 09:44:07.466,1872,1878,1866,1873,157256,1872,487,745
20151126 09:44:09.165,1872,1878,1866,1873,157258,1873,487,744
20151126 09:44:11.648,1872,1878,1866,1873,157258,1873,489,744
20151126 09:44:12.179,1872,1878,1866,1873,157258,1873,490,744
20151126 09:44:12.714,1872,1878,1866,1873,157260,1872,489,744
20151126 09:44:13.304,1872,1878,1866,1873,157260,1872,484,714
20151126 09:44:14.253,1872,1878,1866,1873,157260,1872,485,714
20151126 09:44:14.764,1872,1878,1866,1873,157360,1873,485,664
20151126 09:44:16.182,1872,1878,1866,1873,157370,1873,485,665
20151126 09:44:16.835,1872,1878,1866,1873,157370,1873,485,2665
20151126 09:44:17.369,1872,1878,1866,1873,157370,1873,485,2673
20151126 09:44:17.883,1872,1878,1866,1873,157374,1872,483,2673
20151126 09:44:18.642,1872,1878,1866,1873,157388,1872,476,2673
20151126 09:44:19.326,1872,1878,1866,1873,157390,1872,475,2673
20151126 09:44:19.834,1872,1878,1866,1873,157390,1872,475,2674
20151126 09:44:20.300,1872,1878,1866,1873,157410,1873,475,2666
20151126 09:44:20.728,1872,1878,1866,1873,157412,1873,473,2665
20151126 09:44:21.849,1872,1878,1866,1873,157424,1872,474,2660
20151126 09:44:22.417,1872,1878,1866,1873,157442,1872,465,2660
20151126 09:44:22.761,1872,1878,1866,1873,157442,1872,485,2660
20151126 09:44:23.950,1872,1878,1866,1873,157446,1873,485,2658
20151126 09:44:24.291,1872,1878,1866,1873,157446,1873,486,2658
20151126 09:44:25.978,1872,1878,1866,1873,157448,1872,485,2658
20151126 09:44:26.384,1872,1878,1866,1873,157454,1872,482,2658
20151126 09:44:26.881,1872,1878,1866,1873,157454,1872,482,2650
20151126 09:44:27.482,1872,1878,1866,1873,157456,1873,482,2649
20151126 09:44:28.892,1872,1878,1866,1873,157488,1872,466,2649
20151126 09:44:29.041,1872,1878,1866,1873,157498,1872,461,2649
20151126 09:44:30.510,1872,1878,1866,1873,157498,1872,476,2649
20151126 09:44:31.428,1872,1878,1866,1873,157598,1872,426,2640
20151126 09:44:32.005,1872,1878,1866,1873,157602,1872,430,2640
