Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20151126 09:42:59.168,580,582,566,580,42802,580,15,62
20151126 09:43:10.555,580,582,566,580,42802,580,16,62
20151126 09:43:10.901,580,582,566,580,42802,580,17,62
20151126 09:43:12.591,580,582,566,580,42802,580,18,62
20151126 09:43:14.177,580,582,566,580,42802,580,17,62
20151126 09:43:14.777,580,582,566,580,42802,580,17,65
20151126 09:43:15.156,579,582,566,580,42836,580,23,3
20151126 09:43:15.766,579,582,566,580,42840,580,23,1
20151126 09:43:16.667,579,582,566,580,42842,580,23,65
20151126 09:43:17.661,579,582,566,580,42842,580,23,66
20151126 09:43:20.417,579,582,566,580,42842,580,22,66
20151126 09:43:21.377,579,582,566,580,42842,580,23,66
20151126 09:43:21.758,579,582,566,580,42842,580,23,1
20151126 09:43:24.781,579,582,566,580,42842,580,28,1
20151126 09:43:25.799,579,582,566,580,42842,580,27,1
20151126 09:43:26.688,579,582,566,580,42842,580,28,1
20151126 09:43:29.324,579,582,566,580,42842,580,27,1
20151126 09:43:30.210,579,582,566,580,42842,580,28,1
20151126 09:43:31.019,579,582,566,580,42842,580,29,1
20151126 09:43:31.542,580,582,566,580,42844,580,2,67
20151126 09:43:32.866,579,582,566,580,42848,580,29,67
20151126 09:43:33.315,579,582,566,580,42848,580,29,65
20151126 09:43:34.902,579,582,566,580,42848,580,31,1
20151126 09:43:35.122,579,582,566,580,42848,580,31,2
20151126 09:43:36.780,579,582,566,580,42848,580,32,2
20151126 09:43:47.297,579,582,566,580,42850,580,32,2
20151126 09:43:47.598,579,582,566,580,42850,580,32,37
20151126 09:43:48.197,579,582,566,580,42850,580,32,45
20151126 09:43:49.168,579,582,566,580,42850,580,32,36
20151126 09:43:50.307,579,582,566,580,42850,580,32,44
20151126 09:43:52.776,579,582,566,580,42850,580,32,36
20151126 09:43:56.454,579,582,566,580,42850,580,33,36
20151126 09:43:57.280,579,582,566,580,42850,580,34,36
20151126 09:43:58.120,579,582,566,580,42850,580,34,44
20151126 09:43:59.121,579,582,566,580,42850,580,33,36
20151126 09:44:00.023,579,582,566,580,42850,580,33,41
20151126 09:44:02.866,579,582,566,580,42850,580,33,42
20151126 09:44:03.533,579,582,566,580,42850,580,32,42
20151126 09:44:07.234,579,582,566,580,42850,580,32,43
20151126 09:44:08.144,579,582,566,580,42850,580,32,46
20151126 09:44:08.531,579,582,566,579,42914,579,14,20
20151126 09:44:09.401,579,582,566,579,42916,579,13,28
20151126 09:44:09.846,579,582,566,579,42924,579,13,24
20151126 09:44:12.635,579,582,566,579,42924,579,13,16
20151126 09:44:13.053,579,582,566,580,42956,579,34,82
20151126 09:44:13.629,579,582,566,580,42976,579,24,82
20151126 09:44:16.615,579,582,566,579,43024,579,15,11
20151126 09:44:16.877,579,582,566,579,43034,579,10,12
20151126 09:44:19.242,579,582,566,579,43034,579,10,32
20151126 09:44:20.253,579,582,566,579,43034,579,10,34
20151126 09:44:21.651,579,582,566,579,43034,579,8,34
20151126 09:44:22.247,579,582,566,579,43034,579,13,34
20151126 09:44:22.675,579,582,566,579,43036,579,13,35
