Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20151126 09:43:01.341,2369,2374,2305,2370,105648,2370,759,132
20151126 09:43:02.856,2369,2374,2305,2370,105648,2370,761,132
20151126 09:43:03.165,2369,2374,2305,2370,105648,2370,762,132
20151126 09:43:03.875,2369,2374,2305,2370,105650,2370,790,131
20151126 09:43:04.300,2369,2374,2305,2370,105674,2369,779,131
20151126 09:43:04.658,2369,2374,2305,2370,105674,2369,781,131
20151126 09:43:05.335,2369,2374,2305,2370,105674,2369,780,141
20151126 09:43:06.378,2369,2374,2305,2370,105674,2369,786,141
20151126 09:43:06.807,2369,2374,2305,2370,105674,2369,797,141
20151126 09:43:07.370,2369,2374,2305,2370,105674,2369,853,141
20151126 09:43:07.950,2369,2374,2305,2370,105680,2369,850,141
20151126 09:43:08.886,2369,2374,2305,2370,105724,2370,829,119
20151126 09:43:09.462,2369,2374,2305,2371,105948,2370,26,134
20151126 09:43:09.974,2370,2374,2305,2371,105948,2370,329,134
20151126 09:43:10.496,2370,2374,2305,2371,105948,2370,338,134
20151126 09:43:11.010,2370,2374,2305,2371,105948,2370,333,134
20151126 09:43:11.409,2370,2374,2305,2371,105948,2370,342,134
20151126 09:43:11.966,2370,2374,2305,2371,105948,2370,244,134
20151126 09:43:12.483,2370,2374,2305,2371,105948,2370,243,134
20151126 09:43:12.968,2370,2374,2305,2371,105948,2370,257,134
20151126 09:43:13.171,2370,2374,2305,2371,105948,2370,256,134
20151126 09:43:13.976,2370,2374,2305,2371,105950,2371,252,133
20151126 09:43:14.408,2370,2374,2305,2371,105950,2371,248,133
20151126 09:43:14.921,2370,2374,2305,2371,105950,2371,115,133
20151126 09:43:15.451,2370,2374,2305,2371,105950,2371,85,133
20151126 09:43:15.959,2370,2374,2305,2371,105970,2370,42,144
20151126 09:43:16.525,2370,2374,2305,2371,105972,2370,30,147
20151126 09:43:17.057,2370,2374,2305,2371,105972,2370,30,152
20151126 09:43:17.858,2370,2374,2305,2371,105972,2370,30,147
20151126 09:43:19.085,2370,2374,2305,2371,106014,2370,9,147
20151126 09:43:21.583,2369,2374,2305,2370,106032,2370,716,8
20151126 09:43:22.563,2369,2374,2305,2370,106036,2370,716,6
20151126 09:43:23.941,2369,2374,2305,2370,106038,2370,716,5
20151126 09:43:25.155,2369,2374,2305,2370,106038,2370,716,27
20151126 09:43:26.098,2370,2374,2305,2371,106092,2370,173,148
20151126 09:43:26.458,2370,2374,2305,2371,106172,2370,133,148
20151126 09:43:27.883,2370,2374,2305,2371,106174,2370,132,148
20151126 09:43:28.493,2370,2374,2305,2371,106176,2370,131,148
20151126 09:43:30.214,2370,2374,2305,2371,106178,2371,131,147
20151126 09:43:30.745,2370,2374,2305,2371,106178,2371,132,148
20151126 09:43:33.587,2370,2374,2305,2371,106182,2370,130,149
20151126 09:43:35.225,2370,2374,2305,2371,106220,2370,111,414
20151126 09:43:35.690,2370,2374,2305,2371,106242,2370,100,445
20151126 09:43:36.292,2370,2374,2305,2371,106278,2370,82,447
20151126 09:43:36.680,2370,2374,2305,2371,106278,2370,82,457
20151126 09:43:37.236,2370,2374,2305,2371,106348,2370,47,856
20151126 09:43:37.551,2370,2374,2305,2371,106348,2370,47,905
20151126 09:43:38.330,2370,2374,2305,2371,106372,2370,35,905
20151126 09:43:38.575,2370,2374,2305,2371,106374,2371,35,904
20151126 09:43:39.310,2370,2374,2305,2371,106376,2370,34,913
20151126 09:43:39.857,2370,2374,2305,2371,106384,2370,30,912
20151126 09:43:40.382,2370,2374,2305,2371,106394,2370,25,819
20151126 09:43:40.856,2370,2374,2305,2371,106414,2370,15,814
20151126 09:43:41.146,2370,2374,2305,2371,106414,2370,15,819
20151126 09:43:41.846,2370,2374,2305,2371,106426,2370,9,814
20151126 09:43:42.319,2369,2374,2305,2371,106442,2370,3,810
20151126 09:43:42.850,2369,2374,2305,2370,106442,2370,3,12
20151126 09:43:43.261,2369,2374,2305,2370,106442,2370,3,36
20151126 09:43:43.825,2369,2374,2305,2370,106442,2370,4,85
20151126 09:43:44.401,2369,2374,2305,2370,106444,2370,4,85
20151126 09:43:44.908,2369,2374,2305,2370,106446,2370,4,84
20151126 09:43:48.464,2369,2374,2305,2370,106448,2369,3,84
20151126 09:43:50.490,2369,2374,2305,2370,106448,2369,4,84
20151126 09:43:50.905,2369,2374,2305,2370,106452,2370,4,82
20151126 09:43:51.960,2369,2374,2305,2370,106452,2370,4,84
20151126 09:43:52.526,2369,2374,2305,2370,106454,2369,3,84
20151126 09:43:52.926,2369,2374,2305,2370,106456,2369,2,84
20151126 09:43:56.070,2369,2374,2305,2370,106458,2370,2,217
20151126 09:43:56.539,2369,2374,2305,2370,106458,2370,2,324
20151126 09:43:57.069,2369,2374,2305,2370,106460,2369,1,328
20151126 09:43:57.573,2369,2374,2305,2370,106460,2369,1,326
20151126 09:43:58.409,2369,2374,2305,2370,106464,2370,1,324
20151126 09:43:58.988,2369,2374,2305,2370,106464,2370,1,353
20151126 09:43:59.620,2369,2374,2305,2370,106464,2370,1,355
20151126 09:44:00.076,2369,2374,2305,2370,106464,2370,1,154
20151126 09:44:00.451,2369,2374,2305,2370,106464,2370,1,162
20151126 09:44:01.050,2369,2374,2305,2370,106464,2370,1,262
20151126 09:44:01.600,2368,2374,2305,2370,106466,2369,162,262
20151126 09:44:02.637,2368,2374,2305,2370,106466,2369,162,342
20151126 09:44:03.103,2368,2374,2305,2370,106466,2369,162,345
20151126 09:44:03.591,2368,2374,2305,2370,106466,2369,147,342
20151126 09:44:04.125,2368,2374,2305,2370,106472,2370,145,347
20151126 09:44:04.481,2368,2374,2305,2370,106492,2370,145,337
20151126 09:44:05.174,2368,2374,2305,2370,106492,2370,145,351
20151126 09:44:05.696,2368,2374,2305,2370,106492,2370,145,354
20151126 09:44:06.191,2369,2374,2305,2370,106492,2370,1,354
20151126 09:44:06.688,2369,2374,2305,2370,106492,2370,1,355
20151126 09:44:06.960,2369,2374,2305,2370,106492,2370,1,354
20151126 09:44:08.227,2369,2374,2305,2370,106492,2370,1,352
20151126 09:44:08.702,2369,2374,2305,2370,106492,2370,1,353
20151126 09:44:09.252,2369,2374,2305,2370,106492,2370,1,262
20151126 09:44:09.684,2369,2374,2305,2370,106492,2370,1,266
20151126 09:44:10.713,2369,2374,2305,2370,106492,2370,1,264
20151126 09:44:11.278,2369,2374,2305,2370,106492,2370,1,259
20151126 09:44:11.638,2369,2374,2305,2370,106492,2370,1,281
20151126 09:44:12.113,2369,2374,2305,2370,106492,2370,1,299
20151126 09:44:12.767,2369,2374,2305,2370,106492,2370,1,297
20151126 09:44:13.277,2369,2374,2305,2370,106492,2370,1,306
20151126 09:44:13.789,2369,2374,2305,2370,106492,2370,1,317
20151126 09:44:13.977,2369,2374,2305,2370,106492,2370,1,231
20151126 09:44:14.840,2369,2374,2305,2370,106492,2370,1,228
20151126 09:44:15.334,2368,2374,2305,2369,106494,2369,142,9
20151126 09:44:16.230,2368,2374,2305,2369,106494,2369,142,10
20151126 09:44:17.843,2368,2374,2305,2369,106494,2369,142,11
20151126 09:44:18.799,2368,2374,2305,2369,106494,2369,142,378
20151126 09:44:19.385,2368,2374,2305,2369,106494,2369,142,389
20151126 09:44:19.880,2368,2374,2305,2369,106494,2369,142,452
20151126 09:44:20.346,2368,2374,2305,2369,106516,2368,131,441
20151126 09:44:20.752,2368,2374,2305,2369,106516,2368,131,442
20151126 09:44:21.371,2368,2374,2305,2369,106526,2369,131,471
20151126 09:44:22.435,2368,2374,2305,2369,106526,2369,131,437
20151126 09:44:22.883,2368,2374,2305,2369,106526,2369,131,429
20151126 09:44:23.969,2368,2374,2305,2369,106526,2369,131,430
20151126 09:44:24.336,2368,2374,2305,2369,106526,2369,131,424
20151126 09:44:24.962,2368,2374,2305,2369,106526,2369,131,434
20151126 09:44:25.422,2368,2374,2305,2369,106526,2369,131,436
20151126 09:44:25.989,2368,2374,2305,2369,106528,2369,131,417
20151126 09:44:26.495,2368,2374,2305,2369,106528,2369,131,415
20151126 09:44:27.010,2368,2374,2305,2369,106528,2369,131,413
20151126 09:44:27.500,2368,2374,2305,2369,106528,2369,131,414
20151126 09:44:27.930,2368,2374,2305,2369,106528,2369,131,412
20151126 09:44:29.405,2368,2374,2305,2369,106528,2369,131,422
20151126 09:44:30.002,2368,2374,2305,2369,106530,2368,130,429
20151126 09:44:31.051,2368,2374,2305,2369,106530,2368,132,425
20151126 09:44:31.416,2368,2374,2305,2369,106530,2368,132,426
20151126 09:44:31.901,2368,2374,2305,2369,106530,2368,137,427
20151126 09:44:32.999,2368,2374,2305,2369,106532,2368,136,417
20151126 09:44:33.257,2368,2374,2305,2369,106534,2368,135,417
20151126 09:44:33.998,2368,2374,2305,2369,106534,2368,135,418
20151126 09:44:34.378,2368,2374,2305,2369,106534,2368,135,420
20151126 09:44:35.599,2368,2374,2305,2369,106534,2368,135,385
20151126 09:44:36.093,2368,2374,2305,2369,106534,2368,135,59
20151126 09:44:36.625,2368,2374,2305,2369,106534,2368,134,30
20151126 09:44:37.100,2368,2374,2305,2369,106534,2368,134,29
20151126 09:44:38.610,2368,2374,2305,2369,106536,2368,133,27
20151126 09:44:39.651,2368,2374,2305,2369,106542,2368,130,27
20151126 09:44:39.975,2368,2374,2305,2369,106554,2368,124,27
20151126 09:44:41.703,2368,2374,2305,2369,106554,2368,124,235
20151126 09:44:42.129,2368,2374,2305,2369,106554,2368,124,232
20151126 09:44:43.584,2368,2374,2305,2369,106554,2368,124,222
20151126 09:44:45.280,2368,2374,2305,2369,106554,2368,124,223
20151126 09:44:45.753,2368,2374,2305,2369,106554,2368,124,224
20151126 09:44:46.237,2368,2374,2305,2369,106554,2368,124,221
20151126 09:44:46.789,2368,2374,2305,2369,106556,2368,130,231
20151126 09:44:47.025,2368,2374,2305,2369,106558,2368,129,228
20151126 09:44:47.734,2368,2374,2305,2369,106558,2368,129,227
20151126 09:44:48.261,2368,2374,2305,2369,106558,2368,129,226
20151126 09:44:48.652,2368,2374,2305,2369,106558,2368,129,236
20151126 09:44:49.317,2368,2374,2305,2369,106558,2368,129,348
20151126 09:44:50.108,2368,2374,2305,2369,106558,2368,129,349
20151126 09:44:50.778,2368,2374,2305,2369,106558,2368,129,353
20151126 09:44:51.841,2368,2374,2305,2369,106558,2368,129,296
20151126 09:44:52.113,2368,2374,2305,2369,106558,2368,129,298
20151126 09:44:52.614,2368,2374,2305,2369,106558,2368,129,296
20151126 09:44:53.873,2368,2374,2305,2369,106558,2368,129,298
20151126 09:44:54.295,2368,2374,2305,2369,106558,2368,129,296
20151126 09:44:54.838,2368,2374,2305,2369,106558,2368,129,297
20151126 09:44:55.397,2368,2374,2305,2369,106558,2368,129,294
20151126 09:44:55.728,2368,2374,2305,2369,106558,2368,129,283
20151126 09:44:56.854,2368,2374,2305,2369,106560,2368,128,198
20151126 09:44:57.311,2368,2374,2305,2369,106560,2368,128,109
20151126 09:44:57.892,2368,2374,2305,2369,106560,2368,128,137
20151126 09:44:58.238,2368,2374,2305,2369,106560,2368,128,129
20151126 09:44:58.887,2368,2374,2305,2369,106560,2368,141,100
20151126 09:44:59.232,2368,2374,2305,2369,106560,2368,141,99
20151126 09:44:59.923,2368,2374,2305,2369,106576,2369,604,83
20151126 09:45:00.275,2368,2374,2305,2369,106622,2369,597,60
20151126 09:45:00.938,2368,2374,2305,2369,106638,2369,587,52
20151126 09:45:01.443,2369,2374,2305,2370,106742,2369,9,69
20151126 09:45:01.966,2369,2374,2305,2370,106742,2369,21,69
20151126 09:45:02.988,2369,2374,2305,2370,106742,2369,43,70
20151126 09:45:03.470,2369,2374,2305,2370,106746,2369,41,70
20151126 09:45:04.894,2369,2374,2305,2370,106746,2369,41,72
20151126 09:45:05.395,2369,2374,2305,2370,106748,2369,324,70
20151126 09:45:06.028,2369,2374,2305,2370,106752,2369,49,70
20151126 09:45:06.444,2369,2374,2305,2370,106752,2369,50,70
20151126 09:45:07.058,2369,2374,2305,2370,106752,2369,44,140
20151126 09:45:07.533,2369,2374,2305,2370,106752,2369,44,107
20151126 09:45:08.092,2369,2374,2305,2370,106754,2370,44,183
20151126 09:45:08.589,2369,2374,2305,2370,106754,2370,44,177
20151126 09:45:09.054,2369,2374,2305,2370,106754,2370,54,177
20151126 09:45:09.503,2369,2374,2305,2370,106754,2370,44,177
20151126 09:45:10.116,2369,2374,2305,2370,106754,2370,44,174
20151126 09:45:10.560,2369,2374,2305,2370,106754,2370,44,187
20151126 09:45:11.131,2369,2374,2305,2370,106754,2370,125,72
20151126 09:45:11.144,2369,2374,2305,2370,106754,2370,126,72
20151126 09:45:12.122,2369,2374,2305,2370,106754,2370,325,72
20151126 09:45:12.565,2369,2374,2305,2370,106754,2370,393,72
20151126 09:45:12.794,2369,2374,2305,2370,106756,2369,393,72
20151126 09:45:14.092,2369,2374,2305,2370,106756,2369,388,72
20151126 09:45:14.466,2369,2374,2305,2370,106756,2369,289,72
20151126 09:45:15.029,2369,2374,2305,2370,106756,2369,237,48
20151126 09:45:15.651,2369,2374,2305,2370,106756,2369,222,48
20151126 09:45:16.134,2369,2374,2305,2370,106762,2370,226,45
20151126 09:45:16.677,2369,2374,2305,2370,106762,2370,128,31
20151126 09:45:17.075,2369,2374,2305,2370,106764,2370,88,30
20151126 09:45:17.684,2369,2374,2305,2370,106764,2370,100,30
20151126 09:45:18.110,2369,2374,2305,2370,106764,2370,126,30
20151126 09:45:18.478,2369,2374,2305,2370,106764,2370,122,30
20151126 09:45:19.065,2369,2374,2305,2370,106764,2370,119,30
20151126 09:45:19.558,2369,2374,2305,2370,106766,2369,118,30
20151126 09:45:20.150,2369,2374,2305,2370,106766,2369,127,30
20151126 09:45:20.527,2369,2374,2305,2370,106766,2369,129,30
20151126 09:45:21.245,2369,2374,2305,2370,106766,2369,129,30
20151126 09:45:21.695,2369,2374,2305,2370,106770,2370,126,28
