Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20151201 23:29:58.000,12085,12175,12060,12090,19132,12090,20,1
20151201 09:00:00.000,12070,12175,12060,12075,19378,12070,192,35
20151201 09:00:00.000,12065,12175,12060,12070,19772,12065,543,128
20151201 09:00:01.000,12065,12175,12060,12070,19844,12070,510,105
20151201 09:00:01.000,12070,12175,12060,12075,19856,12065,10,94
20151201 09:00:02.000,12070,12175,12060,12080,19860,12070,9,135
20151201 09:00:03.000,12070,12175,12060,12075,19860,12070,10,18
20151201 09:00:03.000,12065,12175,12060,12075,19878,12070,505,78
20151201 09:00:05.000,12070,12175,12060,12075,19888,12070,5,70
20151201 09:00:05.000,12065,12175,12060,12075,19898,12070,505,69
20151201 09:00:07.000,12070,12175,12060,12075,19900,12070,9,17
20151201 09:00:07.000,12070,12175,12060,12075,19902,12070,11,16
20151201 09:00:08.000,12070,12175,12060,12080,19902,12070,15,125
20151201 09:00:09.000,12070,12175,12060,12080,19918,12070,7,75
20151201 09:00:10.000,12070,12175,12060,12075,19922,12070,5,2
20151201 09:00:10.000,12065,12175,12060,12080,19930,12070,505,80
20151201 09:00:10.000,12065,12175,12060,12075,19932,12065,505,10
20151201 09:00:11.000,12070,12175,12060,12080,19932,12065,3,81
20151201 09:00:12.000,12070,12175,12060,12080,19932,12065,6,81
20151201 09:00:13.000,12075,12175,12060,12085,19932,12065,1,96
20151201 09:00:15.000,12070,12175,12060,12085,19940,12070,16,45
20151201 09:00:16.000,12070,12175,12060,12080,19940,12070,15,63
20151201 09:00:17.000,12070,12175,12060,12080,19940,12070,15,57
20151201 09:00:18.000,12070,12175,12060,12080,19940,12070,16,6
20151201 09:00:19.000,12070,12175,12060,12080,19940,12070,16,70
20151201 09:00:20.000,12070,12175,12060,12080,19940,12070,16,83
20151201 09:00:21.000,12070,12175,12060,12080,19940,12070,16,63
20151201 09:00:22.000,12070,12175,12060,12080,19940,12070,16,117
20151201 09:00:23.000,12070,12175,12060,12080,19940,12070,17,38
20151201 09:00:24.000,12070,12175,12060,12080,19940,12070,17,20
20151201 09:00:25.000,12075,12175,12060,12085,19940,12070,1,48
20151201 09:00:26.000,12075,12175,12060,12085,19940,12070,1,49
20151201 09:00:28.000,12080,12175,12060,12085,19944,12080,8,54
20151201 09:00:29.000,12080,12175,12060,12085,19944,12080,8,55
20151201 09:00:30.000,12080,12175,12060,12085,19944,12080,8,40
20151201 09:00:31.000,12080,12175,12060,12090,19948,12085,9,108
20151201 09:00:32.000,12080,12175,12060,12090,19948,12085,9,91
20151201 09:00:33.000,12080,12175,12060,12090,19948,12085,9,6
20151201 09:00:34.000,12085,12175,12060,12090,19948,12085,11,6
20151201 09:00:34.000,12085,12175,12060,12090,19966,12090,3,33
20151201 09:00:34.000,12080,12175,12060,12085,19980,12085,9,13
20151201 09:00:36.000,12080,12175,12060,12085,19980,12085,17,13
20151201 09:00:38.000,12080,12175,12060,12085,19980,12085,9,13
20151201 09:00:39.000,12080,12175,12060,12085,19980,12085,509,13
20151201 09:00:40.000,12080,12175,12060,12085,19980,12085,510,13
20151201 09:00:42.000,12080,12175,12060,12085,19980,12085,530,13
20151201 09:00:43.000,12080,12175,12060,12085,19980,12085,30,13
20151201 09:00:44.000,12080,12175,12060,12085,19982,12085,30,12
20151201 09:00:46.000,12080,12175,12060,12085,19984,12085,38,11
20151201 09:00:47.000,12080,12175,12060,12085,19984,12085,60,12
20151201 09:00:50.000,12080,12175,12060,12085,19984,12085,68,11
20151201 09:00:51.000,12080,12175,12060,12085,19984,12085,61,11
20151201 09:00:52.000,12085,12175,12060,12090,20006,12085,9,1
20151201 09:00:53.000,12085,12175,12060,12090,20008,12085,8,5
20151201 09:00:53.000,12085,12175,12060,12090,20012,12085,6,3
20151201 09:00:55.000,12085,12175,12060,12095,20018,12085,3,49
20151201 09:00:56.000,12090,12175,12060,12095,20018,12085,8,52
20151201 09:00:57.000,12090,12175,12060,12095,20018,12085,8,37
20151201 09:00:58.000,12090,12175,12060,12095,20018,12085,8,3
20151201 09:00:59.000,12090,12175,12060,12095,20022,12100,8,32
20151201 09:00:59.000,12090,12175,12060,12095,20026,12095,8,30
20151201 09:01:00.000,12085,12175,12060,12095,20042,12095,11,22
20151201 09:01:03.000,12090,12175,12060,12095,20042,12095,8,22
20151201 09:01:04.000,12090,12175,12060,12095,20062,12095,2,18
20151201 09:01:05.000,12085,12175,12060,12095,20066,12095,4,16
20151201 09:01:08.000,12090,12175,12060,12095,20066,12095,1,16
20151201 09:01:09.000,12090,12175,12060,12095,20068,12095,1,15
20151201 09:01:10.000,12090,12175,12060,12095,20068,12095,1,15
20151201 09:01:10.000,12085,12175,12060,12095,20094,12095,4,2
20151201 09:01:14.000,12085,12175,12060,12095,20094,12095,3,2
20151201 09:01:18.000,12085,12175,12060,12095,20094,12095,4,2
20151201 09:01:19.000,12085,12175,12060,12095,20094,12095,3,2
20151201 09:01:21.000,12085,12175,12060,12095,20094,12095,4,2
20151201 09:01:22.000,12085,12175,12060,12095,20094,12095,3,2
20151201 09:01:24.000,12085,12175,12060,12095,20094,12095,3,7
20151201 09:01:26.000,12085,12175,12060,12095,20094,12095,8,7
20151201 09:01:29.000,12085,12175,12060,12090,20094,12095,8,2
20151201 09:01:30.000,12090,12175,12060,12095,20098,12090,2,7
20151201 09:01:33.000,12090,12175,12060,12095,20104,12095,2,4
20151201 09:01:34.000,12085,12175,12060,12095,20104,12095,8,4
20151201 09:01:36.000,12085,12175,12060,12095,20104,12095,9,4
20151201 09:01:38.000,12085,12175,12060,12095,20104,12095,9,4
20151201 09:01:39.000,12085,12175,12060,12095,20108,12095,9,2
20151201 09:01:40.000,12085,12175,12060,12095,20108,12095,8,2
20151201 09:01:44.000,12085,12175,12060,12095,20108,12095,8,3
20151201 09:01:46.000,12085,12175,12060,12095,20108,12095,9,2
20151201 09:01:49.000,12090,12175,12060,12095,20108,12095,1,2
20151201 09:01:52.000,12090,12175,12060,12095,20108,12095,6,2
20151201 09:01:54.000,12090,12175,12060,12095,20114,12090,5,11
20151201 09:01:55.000,12090,12175,12060,12095,20114,12090,5,16
20151201 09:01:56.000,12090,12175,12060,12095,20118,12090,3,15
20151201 09:01:57.000,12090,12175,12060,12095,20118,12090,4,15
20151201 09:02:07.000,12090,12175,12060,12095,20118,12090,3,15
20151201 09:02:09.000,12080,12175,12060,12085,20136,12085,123,1
20151201 09:02:09.000,12085,12175,12060,12095,20138,12085,59,15
