Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20151201 02:30:00.500,215.00,223.70,222.40,225.00,10,223.70,1,1
20151201 09:00:00.500,215.00,223.70,222.40,225.00,10,223.70,1,1
20151201 09:00:01.000,219.15,223.70,222.40,224.95,10,223.70,1,2
20151201 09:00:01.500,219.20,223.70,222.40,225.00,10,223.70,1,1
20151201 09:00:02.000,219.30,223.70,222.40,225.00,10,223.70,9,1
20151201 09:00:02.500,221.20,223.70,222.40,225.00,10,223.70,1,1
20151201 09:00:03.000,221.25,223.70,222.40,225.00,10,223.70,1,1
20151201 09:00:04.000,221.30,223.70,222.40,225.00,10,223.70,2,1
20151201 09:00:04.500,221.35,223.70,222.40,225.00,10,223.70,1,1
20151201 09:00:05.000,221.35,223.70,222.40,225.00,10,223.70,1,1
20151201 09:00:05.500,221.40,223.70,222.40,225.00,10,223.70,2,1
20151201 09:00:06.000,222.30,223.70,222.40,224.95,10,223.70,1,1
20151201 09:00:06.500,222.35,223.70,222.40,224.95,10,223.70,2,1
20151201 09:00:07.500,222.35,223.70,222.40,224.95,10,223.70,2,1
20151201 09:00:14.000,222.35,223.70,222.40,224.90,10,223.70,2,2
20151201 09:00:14.500,222.40,223.70,222.40,224.85,10,223.70,3,1
20151201 09:00:15.000,222.45,223.70,222.40,224.85,10,223.70,2,1
20151201 09:00:18.500,222.50,223.70,222.40,224.85,10,223.70,2,1
20151201 09:00:19.000,222.55,223.70,222.40,224.85,10,223.70,2,1
20151201 09:00:19.500,222.55,223.70,222.40,224.85,10,223.70,2,1
20151201 09:00:20.000,222.60,223.70,222.40,224.85,10,223.70,2,1
20151201 09:00:20.500,222.65,223.70,222.40,224.80,10,223.70,4,1
20151201 09:00:21.000,222.70,223.70,222.40,224.75,10,223.70,1,1
20151201 09:00:21.500,222.75,223.70,222.40,224.70,10,223.70,2,1
20151201 09:00:22.000,222.80,223.70,222.40,224.65,10,223.70,1,1
20151201 09:00:22.500,222.85,223.70,222.40,224.65,10,223.70,2,1
20151201 09:00:23.000,222.90,223.70,222.40,224.65,10,223.70,1,1
20151201 09:00:23.500,222.95,223.70,222.40,224.65,10,223.70,2,1
20151201 09:00:24.000,223.00,223.70,222.40,224.65,10,223.70,1,1
20151201 09:00:24.500,223.05,223.70,222.40,224.65,10,223.70,2,1
20151201 09:00:25.000,223.10,223.70,222.40,224.65,10,223.70,1,1
20151201 09:00:25.500,223.15,223.70,222.40,224.65,10,223.70,1,1
20151201 09:00:26.000,223.20,223.70,222.40,225.00,10,223.70,1,1
20151201 09:00:26.500,223.25,223.70,222.40,224.95,10,223.70,2,4
20151201 09:00:27.000,223.30,223.70,222.40,224.95,10,223.70,1,2
20151201 09:00:27.500,223.35,223.70,222.40,224.95,10,223.70,2,2
20151201 09:00:28.000,223.40,223.70,222.40,224.95,10,223.70,1,2
20151201 09:00:28.500,223.45,223.70,222.40,224.95,10,223.70,2,2
20151201 09:00:29.000,223.50,223.70,222.40,224.95,10,223.70,1,2
20151201 09:00:29.500,223.55,223.70,222.40,224.95,10,223.70,2,2
20151201 09:00:30.000,223.60,223.70,222.40,224.95,10,223.70,1,2
20151201 09:00:30.500,223.65,223.70,222.40,224.95,10,223.70,2,2
20151201 09:00:31.000,223.70,223.70,222.40,224.95,10,223.70,1,2
20151201 09:00:31.500,223.75,223.70,222.40,224.95,10,223.70,2,2
20151201 09:00:32.000,223.75,223.70,222.40,224.95,10,223.70,2,2
20151201 09:00:39.000,223.75,223.70,222.40,224.90,10,223.70,2,2
20151201 09:00:39.500,223.75,223.70,222.40,224.85,10,223.70,2,2
20151201 09:00:47.500,223.80,223.70,222.40,224.85,10,223.70,3,2
20151201 09:00:48.000,223.85,223.70,222.40,224.85,10,223.70,2,2
20151201 09:00:51.000,223.85,223.70,222.40,224.85,10,223.70,1,2
20151201 09:00:56.000,223.85,223.70,222.40,224.60,10,223.70,1,1
20151201 09:00:56.500,223.85,223.70,222.40,224.60,10,223.70,1,1
20151201 09:01:06.500,223.90,223.70,222.40,224.60,10,223.70,3,1
20151201 09:01:07.000,223.95,223.70,222.40,224.60,10,223.70,1,1
20151201 09:01:08.000,223.95,223.70,222.40,224.60,10,223.70,1,1
20151201 09:01:11.000,222.30,223.70,222.40,224.60,10,223.70,2,1
