Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20151201 13:30:36.090,82.15,83.00,83.00,85.00,2,83.00,1,1
20151201 13:30:37.883,82.20,83.00,83.00,85.00,2,83.00,1,1
20151201 13:30:40.448,82.20,83.00,83.00,84.95,2,83.00,1,1
20151201 13:31:09.660,82.20,83.00,83.00,84.90,2,83.00,1,1
20151201 13:31:29.140,82.20,83.00,83.00,84.75,2,83.00,1,1
20151201 13:31:39.252,82.20,83.00,83.00,84.70,2,83.00,1,1
20151201 13:32:02.857,82.20,83.00,83.00,84.75,2,83.00,1,1
20151201 13:32:04.543,82.20,83.00,83.00,84.70,2,83.00,1,1
20151201 13:33:22.524,82.20,83.00,83.00,84.50,2,83.00,1,1
20151201 13:33:29.577,82.15,83.00,83.00,84.50,2,83.00,1,1
20151201 13:33:30.733,82.20,83.00,83.00,84.50,2,83.00,1,1
20151201 13:33:31.357,82.20,83.00,83.00,84.45,2,83.00,1,1
20151201 13:34:36.325,82.15,83.00,83.00,84.45,2,83.00,1,1
20151201 13:34:37.418,82.20,83.00,83.00,84.45,2,83.00,1,1
20151201 13:37:54.077,82.20,83.00,83.00,84.50,2,83.00,1,1
20151201 13:37:55.639,82.20,83.00,83.00,84.45,2,83.00,1,1
20151201 13:38:02.963,82.20,83.00,83.00,84.40,2,83.00,1,1
20151201 13:38:16.629,82.20,83.00,83.00,84.45,2,83.00,1,1
20151201 13:42:16.532,82.15,83.00,83.00,84.50,2,83.00,1,1
20151201 13:42:18.000,82.20,83.00,83.00,84.50,2,83.00,1,1
20151201 13:42:18.548,82.20,83.00,83.00,84.45,2,83.00,1,1
20151201 13:49:23.001,82.15,83.00,83.00,84.80,2,83.00,1,1
20151201 13:49:24.893,82.15,83.00,83.00,84.75,2,83.00,1,1
20151201 13:49:25.424,82.20,83.00,83.00,84.75,2,83.00,1,1
20151201 13:51:32.029,82.20,83.00,83.00,84.70,2,83.00,1,1
20151201 13:52:03.062,82.20,83.00,83.00,84.75,2,83.00,1,1
20151201 13:52:11.986,82.20,84.75,83.00,84.80,4,84.75,1,1
20151201 13:52:17.141,82.15,84.75,83.00,84.80,4,84.75,1,1
20151201 13:52:18.130,82.20,84.75,83.00,84.80,4,84.75,1,1
20151201 13:55:45.971,82.20,84.75,83.00,84.75,4,84.75,1,1
20151201 13:58:10.013,82.25,84.75,83.00,84.75,4,84.75,1,1
20151201 13:58:55.226,82.30,84.75,83.00,84.75,4,84.75,1,1
20151201 14:00:42.535,82.30,84.75,83.00,84.75,4,84.75,2,1
20151201 14:00:48.311,82.35,84.75,83.00,84.75,4,84.75,1,1
20151201 14:01:17.129,82.30,84.75,83.00,84.75,4,84.75,1,1
20151201 14:03:09.844,82.30,84.75,83.00,84.50,4,84.75,1,1
20151201 14:06:43.377,81.00,84.75,83.00,84.50,4,84.75,1,1
20151201 14:06:44.785,81.05,84.75,83.00,84.50,4,84.75,1,1
20151201 14:08:26.678,81.05,84.75,83.00,84.50,4,84.75,2,1
20151201 14:14:14.391,81.10,84.75,83.00,84.50,4,84.75,1,1
20151201 14:14:23.568,81.15,84.75,83.00,84.50,4,84.75,1,1
20151201 14:14:44.842,81.25,84.75,83.00,84.50,4,84.75,1,1
20151201 14:14:47.332,81.30,84.75,83.00,84.50,4,84.75,1,1
20151201 14:15:03.504,81.25,84.75,83.00,84.50,4,84.75,1,1
20151201 14:15:04.506,81.35,84.75,83.00,84.50,4,84.75,1,1
20151201 14:15:06.146,81.25,84.75,83.00,84.50,4,84.75,1,1
20151201 14:15:07.271,81.30,84.75,83.00,84.50,4,84.75,1,1
20151201 14:17:58.665,81.25,84.75,83.00,84.50,4,84.75,1,1
20151201 14:17:59.724,81.30,84.75,83.00,84.50,4,84.75,1,1
20151201 14:20:27.016,81.30,84.75,83.00,84.75,6,84.50,1,1
20151201 14:20:32.867,81.25,84.75,83.00,84.75,6,84.50,1,1
20151201 14:20:34.648,81.30,84.75,83.00,84.75,6,84.50,1,1
20151201 14:20:44.345,81.35,84.75,83.00,84.75,6,84.50,1,1
20151201 14:20:52.628,81.35,84.75,83.00,85.00,6,84.50,1,2
20151201 14:20:59.160,81.35,84.75,83.00,85.00,6,84.50,1,1
20151201 14:20:59.254,81.35,84.75,83.00,84.95,6,84.50,1,1
20151201 14:21:04.868,81.40,84.75,83.00,84.95,6,84.50,1,1
20151201 14:21:17.373,81.45,84.75,83.00,84.95,6,84.50,1,1
20151201 14:21:26.805,81.50,84.75,83.00,84.95,6,84.50,1,1
20151201 14:21:38.659,81.55,84.75,83.00,84.95,6,84.50,1,1
20151201 14:21:42.758,81.60,84.75,83.00,84.95,6,84.50,1,1
20151201 14:21:47.757,81.65,84.75,83.00,84.95,6,84.50,1,1
20151201 14:21:54.836,81.70,84.75,83.00,84.95,6,84.50,1,1
20151201 14:22:00.988,81.75,84.75,83.00,84.95,6,84.50,1,1
20151201 14:22:04.782,81.75,84.75,83.00,84.60,6,84.50,1,1
20151201 14:22:05.365,81.80,84.75,83.00,84.60,6,84.50,1,1
20151201 14:22:07.851,81.80,84.75,83.00,84.60,6,84.50,1,2
20151201 14:22:12.120,81.95,84.75,83.00,84.60,6,84.50,1,2
20151201 14:22:18.723,82.00,84.75,83.00,84.60,6,84.50,1,2
20151201 14:22:24.537,82.05,84.75,83.00,84.60,6,84.50,1,2
20151201 14:22:27.147,82.10,84.75,83.00,84.60,6,84.50,1,2
20151201 14:22:37.802,82.65,84.75,83.00,84.60,6,84.50,1,2
20151201 14:22:41.618,82.70,84.75,83.00,84.60,6,84.50,1,2
20151201 14:22:50.199,83.10,84.75,83.00,84.60,6,84.50,1,2
20151201 14:22:54.352,83.15,84.75,83.00,84.60,6,84.50,1,2
20151201 14:22:59.398,81.25,84.75,83.00,84.60,6,84.50,1,2
20151201 14:23:00.882,81.30,84.75,83.00,84.60,6,84.50,1,2
20151201 14:27:19.974,81.30,84.75,83.00,84.60,6,84.50,2,2
20151201 15:00:00.259,81.30,84.75,83.00,84.60,6,84.50,2,2
20151201 15:00:16.040,81.30,84.75,83.00,84.60,6,84.50,2,2
