Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20151201 01:00:00.500,1936,1962,1934,1938,4346,1936,8,12
20151201 09:00:00.500,1936,1962,1934,1938,4346,1936,8,12
20151201 09:00:01.000,1936,1962,1934,1938,4346,1936,8,18
20151201 09:00:01.500,1936,1962,1934,1938,4358,1936,2,18
20151201 09:00:02.000,1932,1962,1932,1938,4378,1932,1,18
20151201 09:00:02.500,1926,1962,1926,1938,4400,1938,2,17
20151201 09:00:03.000,1926,1962,1926,1938,4400,1938,2,17
20151201 09:00:03.500,1926,1962,1926,1938,4400,1938,2,17
20151201 09:00:04.500,1926,1962,1926,1934,4400,1938,2,2
20151201 09:00:05.000,1926,1962,1926,1934,4402,1938,2,1
20151201 09:00:06.000,1926,1962,1926,1934,4404,1926,6,1
20151201 09:00:06.500,1924,1962,1924,1932,4416,1932,3,5
20151201 09:00:07.000,1924,1962,1924,1932,4416,1932,3,4
20151201 09:00:07.500,1924,1962,1924,1932,4416,1932,3,10
20151201 09:00:08.000,1924,1962,1924,1932,4416,1932,5,9
20151201 09:00:08.500,1926,1962,1924,1932,4416,1932,3,9
20151201 09:00:09.000,1924,1962,1924,1932,4416,1932,3,10
20151201 09:00:09.500,1924,1962,1924,1932,4416,1932,3,10
20151201 09:00:11.000,1924,1962,1924,1932,4416,1932,5,9
20151201 09:00:11.500,1928,1962,1924,1932,4416,1932,3,9
20151201 09:00:12.500,1928,1962,1924,1932,4416,1932,3,9
20151201 09:00:13.000,1928,1962,1924,1932,4416,1932,3,9
20151201 09:00:14.000,1926,1962,1924,1932,4416,1932,3,9
20151201 09:00:14.500,1928,1962,1924,1932,4416,1932,4,9
20151201 09:00:15.000,1928,1962,1924,1932,4416,1932,1,9
20151201 09:00:15.500,1928,1962,1924,1932,4416,1932,4,9
20151201 09:00:17.000,1928,1962,1924,1932,4416,1932,1,9
20151201 09:00:18.500,1928,1962,1924,1932,4416,1932,1,9
20151201 09:00:19.000,1926,1962,1924,1932,4418,1928,3,10
20151201 09:00:19.500,1924,1962,1924,1932,4422,1926,4,11
20151201 09:00:20.000,1926,1962,1924,1932,4424,1924,2,10
20151201 09:00:20.500,1928,1962,1924,1932,4424,1924,1,10
20151201 09:00:21.000,1928,1962,1924,1932,4424,1924,1,10
20151201 09:00:22.500,1928,1962,1924,1932,4424,1924,1,11
20151201 09:00:24.000,1928,1962,1924,1932,4424,1924,1,11
20151201 09:00:24.500,1924,1962,1924,1928,4424,1924,3,2
20151201 09:00:25.500,1926,1962,1924,1928,4424,1924,1,2
20151201 09:00:28.500,1924,1962,1924,1932,4430,1926,3,11
20151201 09:00:30.000,1928,1962,1924,1932,4430,1926,1,11
20151201 09:00:31.000,1920,1962,1924,1932,4438,1924,21,12
20151201 09:00:33.000,1922,1962,1924,1924,4438,1924,2,2
20151201 09:00:33.500,1922,1962,1924,1932,4442,1924,2,13
20151201 09:00:34.000,1922,1962,1924,1932,4442,1924,2,13
20151201 09:00:34.500,1922,1962,1924,1932,4442,1924,2,14
20151201 09:00:35.000,1920,1962,1924,1930,4442,1924,23,2
20151201 09:00:35.500,1920,1962,1920,1930,4462,1920,13,2
20151201 09:00:36.000,1920,1962,1920,1930,4464,1920,12,2
20151201 09:00:36.500,1922,1962,1920,1932,4464,1920,2,20
20151201 09:00:37.000,1920,1962,1920,1930,4464,1920,12,2
20151201 09:00:38.000,1920,1962,1920,1930,4466,1920,11,2
20151201 09:00:38.500,1922,1962,1920,1930,4466,1920,1,2
20151201 09:00:39.000,1922,1962,1920,1930,4466,1920,1,2
20151201 09:00:39.500,1922,1962,1920,1930,4466,1920,1,2
20151201 09:00:40.000,1920,1962,1920,1930,4482,1920,4,2
20151201 09:00:40.500,1922,1962,1920,1932,4482,1920,2,20
20151201 09:00:41.500,1922,1962,1920,1932,4482,1920,2,20
20151201 09:00:42.500,1922,1962,1920,1932,4482,1920,2,20
20151201 09:00:44.000,1922,1962,1920,1930,4482,1920,2,1
20151201 09:00:44.500,1924,1962,1920,1930,4482,1920,2,1
20151201 09:00:46.500,1924,1962,1920,1930,4482,1920,2,5
20151201 09:00:47.000,1924,1962,1920,1930,4482,1920,2,5
20151201 09:00:47.500,1924,1962,1920,1930,4484,1930,2,4
20151201 09:00:48.000,1924,1962,1920,1930,4484,1930,2,4
20151201 09:00:48.500,1924,1962,1920,1928,4492,1924,2,1
20151201 09:00:50.000,1924,1962,1920,1928,4492,1924,2,1
20151201 09:00:51.500,1926,1962,1920,1928,4492,1924,2,1
20151201 09:00:52.000,1926,1962,1920,1928,4492,1924,2,1
20151201 09:00:53.500,1926,1962,1920,1928,4492,1924,2,1
20151201 09:00:54.500,1926,1962,1920,1928,4492,1924,2,1
20151201 09:00:55.000,1926,1962,1920,1928,4492,1924,2,1
20151201 09:00:55.500,1926,1962,1920,1928,4492,1924,2,1
20151201 09:00:56.500,1924,1962,1920,1928,4492,1924,2,1
20151201 09:01:00.000,1924,1962,1920,1930,4494,1928,2,7
20151201 09:01:00.500,1924,1962,1920,1930,4494,1928,3,7
20151201 09:01:02.000,1928,1962,1920,1930,4494,1928,1,7
20151201 09:01:03.000,1928,1962,1920,1930,4494,1928,1,7
20151201 09:01:04.000,1928,1962,1920,1930,4494,1928,1,8
20151201 09:01:06.000,1928,1962,1920,1930,4494,1928,1,8
20151201 09:01:07.500,1928,1962,1920,1930,4496,1930,1,7
20151201 09:01:08.000,1928,1962,1920,1930,4496,1930,1,6
20151201 09:01:09.500,1928,1962,1920,1930,4496,1930,1,7
20151201 09:01:10.000,1928,1962,1920,1930,4496,1930,1,7
20151201 09:01:11.500,1928,1962,1920,1930,4496,1930,1,7
20151201 09:01:12.500,1928,1962,1920,1930,4502,1930,1,4
20151201 09:01:13.500,1928,1962,1920,1930,4502,1930,1,16
20151201 09:01:14.500,1928,1962,1920,1930,4502,1930,1,16
20151201 09:01:15.000,1928,1962,1920,1930,4502,1930,1,15
20151201 09:01:19.500,1928,1962,1920,1930,4502,1930,1,15
20151201 09:01:25.000,1928,1962,1920,1930,4502,1930,1,16
20151201 09:01:25.500,1924,1962,1920,1930,4504,1928,3,16
20151201 09:01:26.000,1924,1962,1920,1930,4504,1928,3,16
20151201 09:01:27.500,1924,1962,1920,1930,4506,1930,3,15
20151201 09:01:31.000,1924,1962,1920,1930,4506,1930,4,15
20151201 09:01:33.000,1924,1962,1920,1930,4506,1930,4,15
20151201 09:01:34.500,1924,1962,1920,1930,4506,1930,4,15
20151201 09:01:35.000,1924,1962,1920,1930,4506,1930,4,16
20151201 09:01:36.000,1924,1962,1920,1930,4506,1930,5,16
20151201 09:01:38.000,1924,1962,1920,1930,4506,1930,3,16
20151201 09:01:39.000,1924,1962,1920,1930,4506,1930,9,16
20151201 09:01:39.500,1924,1962,1920,1930,4508,1930,9,15
20151201 09:01:42.500,1924,1962,1920,1930,4510,1930,9,14
20151201 09:01:44.500,1924,1962,1920,1930,4514,1924,7,14
20151201 09:01:45.000,1924,1962,1920,1930,4516,1930,8,13
20151201 09:01:47.000,1924,1962,1920,1930,4516,1930,8,13
20151201 09:01:48.500,1924,1962,1920,1930,4516,1930,8,12
20151201 09:01:51.000,1924,1962,1920,1930,4516,1930,10,12
20151201 09:01:52.000,1924,1962,1920,1928,4516,1930,10,1
20151201 09:01:52.500,1924,1962,1920,1928,4516,1930,11,1
20151201 09:01:53.000,1924,1962,1920,1928,4516,1930,11,1
20151201 09:01:58.000,1924,1962,1920,1928,4516,1930,11,1
20151201 09:02:02.000,1924,1962,1920,1928,4516,1930,11,1
20151201 09:02:02.500,1924,1962,1920,1930,4518,1928,11,12
20151201 09:02:05.500,1924,1962,1920,1930,4518,1928,9,12
20151201 09:02:06.000,1924,1962,1920,1930,4518,1928,9,13
20151201 09:02:06.500,1924,1962,1920,1930,4518,1928,11,13
20151201 09:02:12.500,1924,1962,1920,1930,4518,1928,12,13
20151201 09:02:13.000,1924,1962,1920,1930,4518,1928,13,13
20151201 09:02:14.000,1924,1962,1920,1930,4518,1928,14,13
20151201 09:02:15.500,1926,1962,1920,1930,4518,1928,2,13
20151201 09:02:16.000,1926,1962,1920,1930,4518,1928,2,13
20151201 09:02:17.000,1926,1962,1920,1930,4518,1928,2,13
20151201 09:02:22.500,1926,1962,1920,1930,4518,1928,2,13
20151201 09:02:23.500,1926,1962,1920,1930,4518,1928,1,13
20151201 09:02:24.000,1926,1962,1920,1930,4518,1928,3,13
20151201 09:02:24.500,1926,1962,1920,1930,4520,1926,2,13
20151201 09:02:25.500,1926,1962,1920,1930,4522,1926,1,13
20151201 09:02:26.500,1926,1962,1920,1930,4522,1926,2,13
20151201 09:02:27.500,1926,1962,1920,1930,4522,1926,2,13
20151201 09:02:28.000,1926,1962,1920,1930,4522,1926,2,13
20151201 09:02:28.500,1924,1962,1920,1930,4522,1926,13,13
20151201 09:02:31.500,1924,1962,1920,1930,4524,1930,13,12
20151201 09:02:32.000,1926,1962,1920,1930,4524,1930,2,12
20151201 09:02:32.500,1924,1962,1920,1930,4524,1930,18,12
20151201 09:02:33.000,1924,1962,1920,1930,4526,1924,12,12
20151201 09:02:35.500,1924,1962,1920,1930,4528,1924,11,12
20151201 09:02:37.500,1924,1962,1920,1930,4530,1924,10,12
20151201 09:02:39.500,1922,1962,1920,1924,4570,1924,5,30
20151201 09:02:40.000,1922,1962,1920,1924,4572,1924,5,29
20151201 09:02:42.500,1922,1962,1920,1924,4572,1924,5,29
20151201 09:02:43.500,1922,1962,1920,1924,4576,1922,3,29
20151201 09:02:46.500,1922,1962,1920,1924,4576,1922,3,29
20151201 09:02:48.000,1922,1962,1920,1924,4592,1924,3,21
20151201 09:02:49.000,1922,1962,1920,1924,4592,1924,3,21
20151201 09:02:49.500,1922,1962,1920,1924,4592,1924,3,21
20151201 09:02:51.500,1920,1962,1920,1922,4598,1922,57,7
20151201 09:02:52.000,1920,1962,1920,1922,4608,1922,63,2
20151201 09:02:53.500,1920,1962,1920,1922,4608,1922,63,2
20151201 09:02:54.500,1920,1962,1920,1922,4608,1922,57,2
20151201 09:02:55.000,1922,1962,1920,1924,4612,1922,1,21
20151201 09:02:56.000,1922,1962,1920,1924,4612,1922,1,21
20151201 09:02:57.500,1922,1962,1920,1924,4612,1922,1,21
20151201 09:02:58.000,1922,1962,1920,1924,4612,1922,1,21
20151201 09:02:58.500,1920,1962,1920,1924,4614,1922,60,21
20151201 09:02:59.000,1920,1962,1920,1924,4614,1922,60,21
20151201 09:03:00.500,1920,1962,1920,1922,4614,1922,60,2
