Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20151201 01:00:00.500,34680,34920,34530,34800,3996,34680,1,1
20151201 09:00:00.500,34670,34920,34530,34800,3998,34680,3,2
20151201 09:00:01.000,34650,34920,34530,34790,4026,34790,1,4
20151201 09:00:01.500,34720,34920,34530,34740,4030,34720,1,3
20151201 09:00:02.000,34650,34920,34530,34680,4036,34650,1,3
20151201 09:00:02.500,34640,34920,34530,34670,4036,34650,4,6
20151201 09:00:03.000,34650,34920,34530,34660,4036,34650,1,3
20151201 09:00:03.500,34650,34920,34530,34660,4036,34650,1,3
20151201 09:00:04.000,34620,34920,34530,34650,4040,34640,1,15
20151201 09:00:04.500,34620,34920,34530,34640,4040,34640,1,2
20151201 09:00:05.000,34630,34920,34530,34640,4040,34640,1,2
20151201 09:00:05.500,34630,34920,34530,34640,4040,34640,1,2
20151201 09:00:06.000,34620,34920,34530,34630,4042,34630,1,2
20151201 09:00:06.500,34620,34920,34530,34630,4046,34620,3,7
20151201 09:00:07.000,34620,34920,34530,34650,4050,34630,2,10
20151201 09:00:07.500,34620,34920,34530,34640,4050,34630,3,5
20151201 09:00:08.000,34630,34920,34530,34650,4050,34630,4,7
20151201 09:00:08.500,34630,34920,34530,34650,4050,34630,4,12
20151201 09:00:09.000,34640,34920,34530,34650,4050,34630,3,7
20151201 09:00:09.500,34640,34920,34530,34650,4052,34650,3,6
20151201 09:00:10.000,34640,34920,34530,34650,4058,34650,4,3
20151201 09:00:10.500,34630,34920,34530,34650,4058,34650,4,3
20151201 09:00:11.000,34640,34920,34530,34670,4064,34650,8,3
20151201 09:00:11.500,34650,34920,34530,34680,4064,34650,1,3
20151201 09:00:12.000,34640,34920,34530,34670,4064,34650,8,3
20151201 09:00:12.500,34640,34920,34530,34670,4064,34650,6,3
20151201 09:00:13.000,34630,34920,34530,34670,4064,34650,4,8
20151201 09:00:13.500,34630,34920,34530,34670,4064,34650,5,5
20151201 09:00:14.000,34630,34920,34530,34660,4064,34650,7,5
20151201 09:00:14.500,34650,34920,34530,34680,4074,34660,4,13
20151201 09:00:15.000,34650,34920,34530,34670,4074,34660,7,5
20151201 09:00:15.500,34650,34920,34530,34680,4074,34660,6,18
20151201 09:00:16.000,34630,34920,34530,34670,4074,34660,4,8
20151201 09:00:16.500,34660,34920,34530,34680,4074,34660,6,15
20151201 09:00:17.000,34660,34920,34530,34680,4074,34660,6,20
20151201 09:00:18.500,34660,34920,34530,34680,4074,34660,6,20
20151201 09:00:19.000,34670,34920,34530,34700,4074,34660,4,3
