Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20151201 10:05:12.244,57.30,59.15,59.15,59.45,2,59.15,1,1
20151201 10:05:21.535,57.05,59.15,59.15,59.45,2,59.15,2,1
20151201 10:05:22.700,57.10,59.15,59.15,59.45,2,59.15,1,1
20151201 10:05:27.957,57.15,59.15,59.15,59.45,2,59.15,1,1
20151201 10:05:43.114,57.20,59.15,59.15,59.45,2,59.15,1,1
20151201 10:05:46.144,57.20,59.15,59.15,59.45,2,59.15,2,1
20151201 10:07:17.239,57.20,59.15,59.15,59.40,2,59.15,2,1
20151201 10:09:45.437,57.20,59.15,59.15,59.40,2,59.15,3,1
20151201 10:11:32.868,57.20,59.15,59.15,59.35,2,59.15,3,1
20151201 10:31:17.152,57.20,59.15,59.15,59.35,2,59.15,2,1
20151201 10:45:08.262,57.20,59.15,59.15,59.40,2,59.15,2,1
20151201 10:45:14.184,57.20,59.15,59.15,59.35,2,59.15,2,1
20151201 10:55:23.376,58.00,59.15,59.15,59.35,2,59.15,1,1
20151201 11:03:54.384,58.00,59.15,59.15,59.40,2,59.15,1,1
20151201 11:04:00.916,58.00,59.15,59.15,59.35,2,59.15,1,1
20151201 14:10:45.118,58.00,59.15,59.15,59.40,2,59.15,1,1
20151201 14:10:50.306,58.00,59.15,59.15,59.35,2,59.15,1,1
20151201 14:35:26.793,58.20,59.15,59.15,59.35,2,59.15,1,1
20151201 15:00:00.259,58.20,59.15,59.15,59.35,2,59.15,1,1
20151201 15:00:16.046,58.20,59.15,59.15,59.35,2,59.15,1,1
