Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20151201 23:30:00.403,5782,5794,5662,5794,46064,5784,20,21
20151201 09:00:01.039,5780,5794,5662,5782,46258,5782,23,25
20151201 09:00:01.532,5776,5794,5662,5782,46306,5778,23,22
20151201 09:00:02.040,5778,5794,5662,5780,46358,5778,8,2
20151201 09:00:02.540,5776,5794,5662,5784,46426,5778,30,27
20151201 09:00:03.036,5778,5794,5662,5782,46468,5780,8,20
20151201 09:00:03.540,5780,5794,5662,5782,46488,5782,1,15
20151201 09:00:04.037,5780,5794,5662,5782,46490,5780,11,30
20151201 09:00:04.520,5780,5794,5662,5782,46490,5780,11,26
20151201 09:00:05.027,5778,5794,5662,5782,46514,5780,20,25
20151201 09:00:06.024,5778,5794,5662,5780,46516,5780,20,26
20151201 09:00:06.552,5778,5794,5662,5780,46516,5780,21,26
20151201 09:00:07.038,5778,5794,5662,5780,46516,5780,21,66
20151201 09:00:07.523,5778,5794,5662,5780,46602,5778,1,23
20151201 09:00:08.032,5776,5794,5662,5780,46604,5778,30,21
20151201 09:00:08.578,5776,5794,5662,5778,46624,5776,20,27
20151201 09:00:09.086,5776,5794,5662,5778,46624,5776,20,31
20151201 09:00:09.541,5774,5794,5662,5776,46658,5776,4,17
20151201 09:00:09.951,5772,5794,5662,5774,46666,5774,9,5
20151201 09:00:10.591,5772,5794,5662,5774,46666,5774,11,7
20151201 09:00:11.053,5772,5794,5662,5774,46666,5774,46,7
20151201 09:00:11.589,5772,5794,5662,5776,46680,5774,46,59
20151201 09:00:12.080,5772,5794,5662,5776,46680,5774,51,59
20151201 09:00:13.094,5774,5794,5662,5776,46680,5774,6,59
20151201 09:00:14.046,5772,5794,5662,5776,46702,5772,33,59
20151201 09:00:14.608,5772,5794,5662,5776,46702,5772,13,59
20151201 09:00:15.106,5772,5794,5662,5774,46702,5772,46,2
20151201 09:00:15.606,5770,5794,5662,5772,46736,5772,79,5
20151201 09:00:16.109,5772,5794,5662,5774,46746,5772,21,5
20151201 09:00:17.105,5772,5794,5662,5774,46746,5772,21,6
20151201 09:00:17.604,5772,5794,5662,5774,46746,5772,21,11
20151201 09:00:18.121,5772,5794,5662,5774,46772,5772,9,12
20151201 09:00:18.608,5772,5794,5662,5774,46786,5772,2,13
20151201 09:00:19.049,5770,5794,5662,5772,46790,5772,11,3
20151201 09:00:19.640,5770,5794,5662,5772,46790,5772,12,3
20151201 09:00:20.129,5768,5794,5662,5770,46814,5770,5,58
20151201 09:00:20.647,5766,5794,5662,5768,46824,5768,76,17
20151201 09:00:21.130,5766,5794,5662,5768,46826,5768,69,16
20151201 09:00:21.550,5766,5794,5662,5768,46832,5766,66,16
20151201 09:00:22.145,5766,5794,5662,5768,46832,5766,9,16
20151201 09:00:22.584,5766,5794,5662,5768,46834,5766,6,16
20151201 09:00:23.135,5766,5794,5662,5768,46836,5766,5,16
20151201 09:00:23.587,5764,5794,5662,5770,46888,5768,12,59
20151201 09:00:24.156,5766,5794,5662,5770,46898,5768,38,59
20151201 09:00:24.679,5766,5794,5662,5770,46904,5766,36,59
20151201 09:00:25.619,5766,5794,5662,5770,46904,5766,39,59
20151201 09:00:26.134,5764,5794,5662,5766,46982,5766,135,21
20151201 09:00:26.590,5764,5794,5662,5766,46982,5766,136,21
20151201 09:00:27.145,5764,5794,5662,5766,46982,5766,121,21
20151201 09:00:27.643,5764,5794,5662,5766,46982,5766,102,21
20151201 09:00:28.168,5764,5794,5662,5766,47062,5766,103,81
20151201 09:00:28.692,5764,5794,5662,5766,47110,5766,101,77
20151201 09:00:29.196,5764,5794,5662,5766,47110,5766,18,77
20151201 09:00:29.593,5764,5794,5662,5766,47112,5764,17,77
