Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20151201 01:00:00.500,12735,12915,12650,12740,271220,12735,271,62
20151201 09:00:00.500,12735,12915,12650,12740,271804,12740,5,236
20151201 09:00:01.000,12730,12915,12650,12740,271876,12740,23,211
20151201 09:00:01.500,12715,12915,12650,12720,272104,12715,12,3
20151201 09:00:02.000,12725,12915,12650,12735,272176,12725,1,3
20151201 09:00:02.500,12720,12915,12650,12725,272186,12725,10,1
20151201 09:00:03.000,12720,12915,12650,12735,272210,12735,3,39
20151201 09:00:03.500,12725,12915,12650,12730,272214,12730,20,19
20151201 09:00:04.000,12725,12915,12650,12730,272216,12725,21,4
20151201 09:00:04.500,12730,12915,12650,12735,272220,12730,48,39
20151201 09:00:05.000,12730,12915,12650,12735,272294,12730,11,46
20151201 09:00:05.500,12725,12915,12650,12730,272336,12725,23,4
20151201 09:00:06.000,12730,12915,12650,12735,272346,12730,10,25
20151201 09:00:06.500,12730,12915,12650,12735,272364,12730,1,26
20151201 09:00:07.000,12725,12915,12650,12735,272370,12730,21,26
20151201 09:00:07.500,12735,12915,12650,12740,272422,12735,31,233
20151201 09:00:08.000,12735,12915,12650,12740,272432,12740,26,217
20151201 09:00:08.500,12735,12915,12650,12740,272432,12740,32,216
20151201 09:00:09.000,12735,12915,12650,12740,272436,12735,30,218
20151201 09:00:09.500,12735,12915,12650,12740,272448,12740,33,207
20151201 09:00:10.000,12735,12915,12650,12740,272448,12740,34,206
20151201 09:00:10.500,12735,12915,12650,12740,272448,12740,42,206
20151201 09:00:11.000,12735,12915,12650,12740,272448,12740,54,209
20151201 09:00:11.500,12735,12915,12650,12740,272450,12735,46,209
20151201 09:00:12.000,12735,12915,12650,12740,272504,12735,37,191
20151201 09:00:12.500,12735,12915,12650,12740,272638,12735,46,124
20151201 09:00:13.000,12735,12915,12650,12740,272710,12735,26,103
20151201 09:00:13.500,12735,12915,12650,12740,272738,12740,27,89
20151201 09:00:14.000,12735,12915,12650,12740,272738,12740,23,90
20151201 09:00:14.500,12735,12915,12650,12740,272750,12735,44,88
20151201 09:00:15.000,12735,12915,12650,12740,272756,12740,45,87
20151201 09:00:15.500,12735,12915,12650,12740,272762,12735,43,90
20151201 09:00:16.000,12735,12915,12650,12740,272782,12740,45,80
20151201 09:00:16.500,12735,12915,12650,12740,272782,12740,45,80
20151201 09:00:17.000,12735,12915,12650,12740,272858,12740,45,42
20151201 09:00:17.500,12735,12915,12650,12740,272896,12740,63,19
20151201 09:00:18.000,12740,12915,12650,12745,272952,12740,23,5
20151201 09:00:18.500,12745,12915,12650,12750,272982,12745,29,24
20151201 09:00:19.000,12745,12915,12650,12755,273064,12745,49,10
20151201 09:00:19.500,12750,12915,12650,12760,273112,12750,30,11
20151201 09:00:20.000,12765,12915,12650,12770,273156,12770,2,22
20151201 09:00:20.500,12760,12915,12650,12765,273222,12765,5,1
20151201 09:00:21.000,12765,12915,12650,12770,273232,12765,8,1
20151201 09:00:21.500,12770,12915,12650,12775,273244,12770,4,17
20151201 09:00:22.000,12765,12915,12650,12770,273314,12770,6,20
20151201 09:00:22.500,12765,12915,12650,12770,273340,12770,35,9
20151201 09:00:23.000,12770,12915,12650,12775,273358,12770,18,17
20151201 09:00:23.500,12760,12915,12650,12765,273482,12765,2,36
20151201 09:00:24.000,12760,12915,12650,12765,273556,12765,42,16
20151201 09:00:24.500,12760,12915,12650,12765,273570,12760,1,25
20151201 09:00:25.000,12755,12915,12650,12760,273596,12755,9,14
20151201 09:00:25.500,12755,12915,12650,12760,273600,12755,16,2
20151201 09:00:26.000,12750,12915,12650,12755,273614,12760,16,11
20151201 09:00:26.500,12750,12915,12650,12755,273622,12755,3,24
