Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160104 09:53:56.000,3489.0,3489.0,3489.0,3504.0,2,3489.0,2,1
20160104 10:10:13.000,3443.0,3489.0,3489.0,3489.0,4,3489.0,1,1
20160104 13:49:04.000,3450.0,3461.0,3461.0,3462.0,2,3461.0,7,1
20160104 13:49:07.000,3451.0,3461.0,3461.0,3462.0,2,3461.0,1,1
20160104 13:56:54.000,3460.0,3465.0,3465.0,3465.0,2,3465.0,5,1
20160104 13:57:00.000,3460.0,3465.0,3465.0,3470.0,2,3465.0,5,2
20160104 14:28:05.000,3434.0,3450.0,3450.0,3465.0,2,3450.0,3,1
20160104 14:30:04.000,3445.0,3445.0,3445.0,3454.0,2,3445.0,2,1
20160104 14:30:44.000,3445.0,3445.0,3445.0,3454.0,2,3445.0,1,1
20160104 14:31:06.000,3441.0,3445.0,3445.0,3453.0,2,3445.0,1,3
20160104 14:31:11.000,3395.0,3451.0,3451.0,3451.0,2,3451.0,4,2
20160104 14:31:16.000,3398.0,3450.0,3450.0,3452.0,2,3450.0,2,1
20160104 14:43:32.000,3432.0,3444.0,3444.0,3444.0,2,3444.0,2,1
20160104 14:43:33.000,3432.0,3444.0,3444.0,3449.0,2,3444.0,2,5
20160104 14:51:38.000,3436.0,3437.0,3437.0,3444.0,2,3437.0,1,2
20160104 14:51:41.000,3430.0,3436.0,3436.0,3444.0,2,3436.0,1,2
20160104 14:59:51.000,3436.0,3437.0,3437.0,3440.0,2,3437.0,1,1
