Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160104 08:59:00.000,1894.0,1895.0,1895.0,1895.0,340,1895.0,6,42
20160104 09:00:00.000,1895.0,1895.0,1895.0,1896.0,162,1895.0,6,45
20160104 09:00:01.000,1893.0,1894.0,1894.0,1894.0,206,1894.0,67,185
20160104 09:00:01.500,1894.0,1895.0,1895.0,1895.0,102,1895.0,50,19
20160104 09:00:02.000,1895.0,1895.0,1895.0,1896.0,18,1895.0,51,10
20160104 09:00:02.500,1896.0,1897.0,1897.0,1897.0,120,1897.0,195,23
20160104 09:00:03.000,1897.0,1897.0,1897.0,1898.0,56,1897.0,107,247
20160104 09:00:03.500,1897.0,1897.0,1897.0,1898.0,46,1897.0,95,234
20160104 09:00:04.000,1897.0,1897.0,1897.0,1898.0,6,1897.0,94,229
20160104 09:00:04.500,1897.0,1897.0,1897.0,1898.0,6,1897.0,94,227
20160104 09:00:05.000,1897.0,1898.0,1898.0,1898.0,12,1898.0,99,222
20160104 09:00:05.500,1897.0,1898.0,1898.0,1898.0,10,1898.0,99,217
20160104 09:00:06.000,1897.0,1897.0,1897.0,1898.0,24,1897.0,88,216
20160104 09:00:06.500,1897.0,1897.0,1897.0,1898.0,22,1897.0,83,410
20160104 09:00:07.000,1897.0,1898.0,1898.0,1898.0,804,1898.0,81,12
20160104 09:00:08.000,1898.0,1898.0,1898.0,1899.0,28,1898.0,60,114
20160104 09:00:08.500,1898.0,1898.0,1898.0,1899.0,8,1898.0,56,114
20160104 09:00:09.000,1898.0,1898.0,1898.0,1899.0,6,1898.0,75,113
20160104 09:00:09.500,1898.0,1898.0,1898.0,1899.0,2,1898.0,74,113
20160104 09:00:11.000,1898.0,1898.0,1898.0,1899.0,16,1898.0,69,108
20160104 09:00:11.500,1898.0,1899.0,1899.0,1899.0,14,1899.0,49,101
20160104 09:00:12.000,1898.0,1898.0,1898.0,1899.0,18,1898.0,51,94
20160104 09:00:12.500,1898.0,1898.0,1898.0,1899.0,4,1898.0,51,94
20160104 09:00:13.000,1898.0,1899.0,1899.0,1899.0,2,1899.0,59,94
20160104 09:00:13.500,1898.0,1899.0,1899.0,1899.0,2,1899.0,52,115
20160104 09:00:14.000,1898.0,1898.0,1898.0,1899.0,42,1898.0,31,94
20160104 09:00:15.000,1897.0,1898.0,1898.0,1898.0,64,1898.0,47,275
20160104 09:00:15.500,1896.0,1897.0,1897.0,1897.0,42,1897.0,59,79
20160104 09:00:16.000,1896.0,1897.0,1897.0,1897.0,4,1897.0,32,98
20160104 09:00:16.500,1896.0,1897.0,1897.0,1897.0,2,1897.0,30,97
20160104 09:00:17.000,1896.0,1896.0,1896.0,1897.0,8,1896.0,26,97
20160104 09:00:18.000,1895.0,1896.0,1896.0,1896.0,24,1896.0,81,64
20160104 09:00:18.500,1895.0,1896.0,1896.0,1896.0,22,1896.0,67,64
20160104 09:00:19.000,1895.0,1896.0,1896.0,1896.0,2,1896.0,67,63
20160104 09:00:21.000,1895.0,1896.0,1896.0,1896.0,4,1896.0,67,62
20160104 09:00:21.500,1895.0,1896.0,1896.0,1896.0,38,1896.0,69,53
20160104 09:00:22.000,1895.0,1896.0,1896.0,1896.0,72,1896.0,83,17
20160104 09:00:24.000,1895.0,1896.0,1896.0,1896.0,60,1896.0,101,7
20160104 09:00:24.500,1896.0,1896.0,1896.0,1897.0,34,1896.0,138,34
20160104 09:00:25.000,1896.0,1897.0,1897.0,1897.0,20,1897.0,138,8
20160104 09:00:26.000,1897.0,1897.0,1897.0,1898.0,38,1897.0,114,84
20160104 09:00:28.000,1897.0,1898.0,1898.0,1898.0,8,1898.0,132,88
20160104 09:00:28.500,1897.0,1897.0,1897.0,1898.0,4,1897.0,136,88
20160104 09:00:29.000,1897.0,1898.0,1898.0,1898.0,12,1898.0,136,92
20160104 09:00:29.500,1897.0,1897.0,1897.0,1898.0,20,1897.0,140,88
20160104 09:00:30.000,1897.0,1898.0,1898.0,1898.0,62,1898.0,140,57
20160104 09:00:30.500,1897.0,1898.0,1898.0,1898.0,12,1898.0,140,51
20160104 09:00:31.000,1897.0,1897.0,1897.0,1898.0,2,1897.0,133,55
20160104 09:00:31.500,1897.0,1898.0,1898.0,1898.0,168,1898.0,31,79
20160104 09:00:32.000,1897.0,1898.0,1898.0,1898.0,22,1898.0,31,68
20160104 09:00:32.500,1897.0,1898.0,1898.0,1898.0,4,1898.0,31,66
20160104 09:00:33.000,1896.0,1897.0,1897.0,1897.0,62,1897.0,113,669
20160104 09:00:34.000,1896.0,1896.0,1896.0,1897.0,2,1896.0,112,670
