Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160104 08:59:00.000,325.5,325.5,325.5,326.0,20264,325.5,311,1122
20160104 09:00:00.000,326.0,326.0,326.0,326.5,7646,326.0,1236,831
20160104 09:00:01.000,326.5,326.5,326.5,327.0,13490,326.5,997,1763
20160104 09:00:01.500,326.5,326.5,326.5,327.0,5030,326.5,2269,1
20160104 09:00:02.000,327.0,326.5,326.5,327.5,4080,326.5,15,2600
20160104 09:00:02.500,326.0,327.0,327.0,327.0,5058,327.0,1524,1615
20160104 09:00:03.000,326.5,326.5,326.5,327.0,2328,326.5,931,722
20160104 09:00:03.500,326.0,326.0,326.0,327.0,3342,326.0,3222,2262
20160104 09:00:04.000,326.5,327.0,327.0,327.0,362,327.0,6,2289
20160104 09:00:04.500,326.0,326.5,326.5,326.5,942,326.5,3770,284
20160104 09:00:05.000,326.5,327.0,327.0,327.0,1444,327.0,30,2541
20160104 09:00:05.500,326.5,326.5,326.5,327.0,308,326.5,244,2633
20160104 09:00:06.000,326.0,326.5,326.5,326.5,3234,326.5,2726,216
20160104 09:00:06.500,326.0,326.5,326.5,326.5,428,326.5,2722,320
20160104 09:00:07.000,326.0,326.0,326.0,326.5,374,326.0,2599,1204
20160104 09:00:07.500,326.0,326.0,326.0,326.5,266,326.0,2493,2441
20160104 09:00:08.000,326.0,326.5,326.5,326.5,1600,326.5,2508,2289
20160104 09:00:08.500,326.0,326.5,326.5,326.5,324,326.5,2492,3925
20160104 09:00:09.000,326.0,326.5,326.5,326.5,338,326.5,2495,4290
20160104 09:00:09.500,326.0,326.0,326.0,326.5,1378,326.0,2511,3955
20160104 09:00:10.000,326.0,326.5,326.5,326.5,810,326.5,2572,4178
20160104 09:00:10.500,326.0,326.0,326.0,326.5,308,326.0,2528,4103
20160104 09:00:11.000,326.0,326.0,326.0,326.5,496,326.0,2297,4020
20160104 09:00:11.500,326.0,326.5,326.5,326.5,468,326.5,2261,4703
20160104 09:00:12.000,326.0,326.5,326.5,326.5,1560,326.5,1865,4463
20160104 09:00:12.500,326.0,326.5,326.5,326.5,582,326.5,1594,4393
20160104 09:00:13.000,326.0,326.0,326.0,326.5,276,326.0,1451,4413
20160104 09:00:13.500,326.0,326.0,326.0,326.5,6750,326.0,585,4325
20160104 09:00:14.000,326.0,326.0,326.0,326.5,568,326.0,337,4233
20160104 09:00:14.500,325.5,326.0,326.0,326.0,2452,326.0,6601,2898
20160104 09:00:15.000,325.5,326.0,326.0,326.0,924,326.0,6950,2560
20160104 09:00:15.500,325.5,325.5,325.5,326.0,28,325.5,6910,2565
20160104 09:00:16.000,325.5,326.0,326.0,326.0,20,326.0,6909,2564
20160104 09:00:16.500,325.5,326.0,326.0,326.0,24,326.0,6761,2692
20160104 09:00:17.000,325.5,325.5,325.5,326.0,232,325.5,6724,2605
20160104 09:00:17.500,325.5,326.0,326.0,326.0,102,326.0,6676,2580
20160104 09:00:18.000,325.5,326.0,326.0,326.0,756,326.0,6727,2195
20160104 09:00:18.500,325.5,326.0,326.0,326.0,68,326.0,6672,2177
20160104 09:00:19.000,325.5,326.0,326.0,326.0,138,326.0,6895,2216
20160104 09:00:19.500,325.5,326.0,326.0,326.0,68,326.0,7020,2221
20160104 09:00:20.000,325.5,325.5,325.5,326.0,1882,325.5,7036,1291
20160104 09:00:20.500,325.5,326.0,326.0,326.0,238,326.0,7029,1193
20160104 09:00:21.000,325.5,326.0,326.0,326.0,3010,326.0,7057,217
20160104 09:00:21.500,325.5,326.0,326.0,326.0,1458,326.0,7049,16
20160104 09:00:22.000,326.0,326.5,326.5,326.5,250,326.5,38,2807
20160104 09:00:22.500,326.0,326.0,326.0,326.5,204,326.0,943,2820
20160104 09:00:23.000,326.0,326.0,326.0,326.5,346,326.0,934,2810
20160104 09:00:23.500,326.0,326.5,326.5,326.5,484,326.5,820,2846
20160104 09:00:24.000,326.0,326.0,326.0,326.5,406,326.0,1739,2839
20160104 09:00:24.500,326.0,326.0,326.0,326.5,170,326.0,1664,2837
20160104 09:00:25.000,326.0,326.0,326.0,326.5,240,326.0,1575,2960
20160104 09:00:25.500,326.0,326.0,326.0,326.5,436,326.0,1390,2889
20160104 09:00:26.000,326.0,326.0,326.0,326.5,132,326.0,1407,2839
20160104 09:00:26.500,325.5,325.5,325.5,326.0,2984,325.5,7043,519
20160104 09:00:27.000,325.5,326.0,326.0,326.0,938,326.0,7045,431
20160104 09:00:27.500,325.5,326.0,326.0,326.0,1060,326.0,7047,1519
20160104 09:00:28.000,325.5,325.5,325.5,326.0,286,325.5,7035,1549
20160104 09:00:28.500,325.5,325.5,325.5,326.0,50,325.5,7121,1548
20160104 09:00:29.000,325.5,326.0,326.0,326.0,90,326.0,7126,1503
20160104 09:00:29.500,326.0,326.0,326.0,326.5,3180,326.0,563,3949
20160104 09:00:30.000,326.0,326.0,326.0,326.5,1160,326.0,539,4013
20160104 09:00:30.500,325.5,326.0,326.0,326.0,2060,326.0,7135,312
20160104 09:00:31.000,325.5,326.0,326.0,326.0,398,326.0,7036,299
20160104 09:00:31.500,326.0,326.0,326.0,326.5,1250,326.0,2521,4039
20160104 09:00:32.000,326.0,326.5,326.5,326.5,344,326.5,2432,4055
20160104 09:00:32.500,326.0,326.0,326.0,326.5,1040,326.0,1932,4056
20160104 09:00:33.000,326.0,326.0,326.0,326.5,120,326.0,1894,4040
20160104 09:00:33.500,326.0,326.0,326.0,326.5,116,326.0,1836,4040
20160104 09:00:34.000,326.0,326.5,326.5,326.5,44,326.5,1865,4248
20160104 09:00:34.500,326.0,326.0,326.0,326.5,290,326.0,1886,3993
20160104 09:00:35.000,326.0,326.0,326.0,326.5,112,326.0,1845,4013
20160104 09:00:35.500,326.0,326.0,326.0,326.5,18,326.0,1838,4113
20160104 09:00:36.000,326.0,326.0,326.0,326.5,70,326.0,2796,4153
20160104 09:00:36.500,326.0,326.0,326.0,326.5,206,326.0,2750,4156
20160104 09:00:37.000,326.0,326.0,326.0,326.5,190,326.0,2680,4180
20160104 09:00:37.500,325.5,325.5,325.5,326.5,5360,325.5,7201,4184
20160104 09:00:38.000,325.5,326.0,326.0,326.0,406,326.0,6654,307
20160104 09:00:38.500,325.5,326.0,326.0,326.0,42,326.0,6656,696
20160104 09:00:39.000,325.5,325.5,325.5,326.0,450,325.5,6506,621
20160104 09:00:39.500,325.5,325.5,325.5,326.0,462,325.5,6492,547
20160104 09:00:40.000,325.5,326.0,326.0,326.0,188,326.0,6492,462
20160104 09:00:40.500,325.5,325.5,325.5,326.0,664,325.5,6186,445
20160104 09:00:41.000,326.0,326.0,326.0,326.5,924,326.0,716,4236
20160104 09:00:41.500,326.0,326.0,326.0,326.5,18,326.0,781,4263
20160104 09:00:42.000,326.0,326.0,326.0,326.5,1082,326.0,355,4259
20160104 09:00:42.500,326.0,326.0,326.0,326.5,312,326.0,1009,4230
20160104 09:00:43.000,326.0,326.0,326.0,326.5,78,326.0,1129,4242
20160104 09:00:43.500,326.0,326.0,326.0,326.5,1592,326.0,720,3888
20160104 09:00:44.000,326.0,326.0,326.0,326.5,96,326.0,759,3878
20160104 09:00:44.500,326.0,326.0,326.0,326.5,126,326.0,1712,3919
