Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160104 08:59:00.000,640.5,640.5,640.5,641.5,240,640.5,80,1
20160104 09:00:00.000,640.5,640.5,640.5,641.5,38,640.5,62,6
20160104 09:00:01.000,640.0,640.5,640.5,640.5,162,640.5,130,9
20160104 09:00:01.500,640.0,640.5,640.5,640.5,10,640.5,131,4
20160104 09:00:04.000,640.0,640.5,640.5,640.5,4,640.5,134,5
20160104 09:00:05.000,640.0,640.5,640.5,641.0,50,640.5,114,1
20160104 09:00:06.000,640.0,640.5,640.5,641.0,4,640.5,114,1
20160104 09:00:06.500,640.0,640.0,640.0,641.5,14,640.0,110,7
20160104 09:00:07.000,640.0,640.5,640.5,641.5,2,640.5,110,7
20160104 09:00:08.000,640.0,640.5,640.5,641.5,2,640.5,110,7
20160104 09:00:13.000,640.5,641.0,641.0,641.0,22,641.0,20,4
20160104 09:00:13.500,640.5,641.5,641.5,642.0,26,641.5,1,1
20160104 09:00:14.000,641.0,641.0,641.0,643.0,2,641.0,10,21
20160104 09:00:16.000,642.0,643.0,643.0,643.5,2,643.0,21,28
20160104 09:00:16.500,642.0,643.0,643.0,643.0,2,643.0,2,1
20160104 09:00:17.000,641.5,642.0,642.0,643.0,2,642.0,1,58
20160104 09:00:18.000,641.0,641.5,641.5,641.5,6,641.5,11,20
20160104 09:00:19.000,641.0,641.5,641.5,641.5,6,641.5,13,17
20160104 09:00:20.000,641.0,642.0,642.0,642.5,36,642.0,25,22
20160104 09:00:20.500,642.5,642.5,642.5,643.0,2,642.5,1,4
20160104 09:00:21.000,642.0,642.5,642.5,643.0,2,642.5,31,6
20160104 09:00:22.000,642.5,643.0,643.0,643.0,6,643.0,41,4
20160104 09:00:22.500,642.5,642.5,642.5,643.0,6,642.5,21,33
20160104 09:00:23.000,642.5,642.5,642.5,643.0,2,642.5,20,54
20160104 09:00:24.000,642.5,642.5,642.5,643.0,2,642.5,19,54
20160104 09:00:25.000,642.5,642.5,642.5,643.0,2,642.5,18,54
20160104 09:00:25.500,642.5,642.5,642.5,643.0,2,642.5,17,55
20160104 09:00:27.000,641.5,642.0,642.0,642.0,56,642.0,1,18
20160104 09:00:27.500,641.0,641.5,641.5,642.0,6,641.5,6,19
20160104 09:00:28.000,640.5,641.0,641.0,641.5,10,641.0,24,43
20160104 09:00:33.000,640.5,641.0,641.0,641.0,2,641.0,9,1
20160104 09:00:35.000,641.0,641.0,641.0,641.5,2,641.0,3,21
20160104 09:00:37.000,640.5,640.5,640.5,641.5,12,640.5,42,21
20160104 09:00:39.000,640.5,640.5,640.5,641.5,4,640.5,36,21
20160104 09:00:46.000,640.5,640.5,640.5,641.0,2,640.5,28,12
20160104 09:00:50.000,640.5,640.5,640.5,641.0,2,640.5,28,13
20160104 09:00:53.000,641.0,641.0,641.0,641.5,26,641.0,14,43
20160104 09:00:53.500,641.0,641.0,641.0,641.5,12,641.0,8,43
20160104 09:00:54.000,641.0,641.0,641.0,641.5,2,641.0,7,43
20160104 09:01:00.000,640.5,640.5,640.5,641.5,24,640.5,22,50
20160104 09:01:05.000,640.5,640.5,640.5,641.0,12,640.5,16,5
20160104 09:01:07.000,640.0,640.5,640.5,640.5,32,640.5,118,14
20160104 09:01:10.000,640.0,640.0,640.0,640.5,2,640.0,117,15
20160104 09:01:12.000,640.0,640.0,640.0,640.5,4,640.0,115,15
20160104 09:01:14.000,640.0,640.5,640.5,640.5,10,640.5,110,10
20160104 09:01:15.000,640.0,640.5,640.5,640.5,4,640.5,118,8
20160104 09:01:15.500,640.5,640.5,640.5,641.0,2,640.5,12,47
20160104 09:01:18.000,640.5,640.5,640.5,641.0,2,640.5,14,47
20160104 09:01:19.000,640.5,640.5,640.5,641.0,2,640.5,13,47
20160104 09:01:22.000,640.5,640.5,640.5,641.0,2,640.5,13,47
20160104 09:01:27.000,640.5,640.5,640.5,641.0,6,640.5,11,49
20160104 09:01:27.500,640.5,640.5,640.5,641.0,2,640.5,10,49
20160104 09:01:28.000,640.5,641.0,641.0,641.0,2,641.0,10,48
20160104 09:01:29.000,640.0,640.5,640.5,640.5,20,640.5,132,11
20160104 09:01:31.000,640.0,640.5,640.5,641.0,28,640.5,127,48
20160104 09:01:31.500,640.0,640.5,640.5,641.0,74,640.5,134,10
20160104 09:01:33.000,640.5,640.5,640.5,641.0,2,640.5,6,10
20160104 09:01:34.000,640.5,640.5,640.5,641.0,2,640.5,5,10
20160104 09:01:40.000,640.0,640.0,640.0,640.5,2,640.0,108,3
20160104 09:01:42.000,640.0,640.0,640.0,640.5,2,640.0,107,4
20160104 09:01:44.000,640.0,640.5,640.5,640.5,2,640.5,107,5
20160104 09:01:46.000,640.0,640.0,640.0,640.5,14,640.0,100,5
20160104 09:01:52.000,640.5,640.5,640.5,641.0,22,640.5,22,29
20160104 09:01:54.000,640.5,640.5,640.5,641.0,4,640.5,20,29
20160104 09:01:55.000,640.5,640.5,640.5,641.0,2,640.5,19,40
20160104 09:01:56.000,640.0,640.5,640.5,641.0,42,640.5,103,36
