Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160104 09:00:09.000,3206.0,3238.0,3238.0,3238.0,2,3238.0,1,5
20160104 09:11:57.000,3216.0,3228.0,3228.0,3258.0,2,3228.0,1,1
20160104 09:18:36.000,3216.0,3217.0,3217.0,3217.0,2,3217.0,1,8
20160104 09:20:18.000,3216.0,3217.0,3217.0,3217.0,2,3217.0,1,7
20160104 09:21:17.000,3206.0,3216.0,3216.0,3217.0,2,3216.0,1,7
20160104 09:30:50.000,3206.0,3217.0,3217.0,3217.0,2,3217.0,2,6
20160104 10:07:37.000,3206.0,3211.0,3211.0,3217.0,2,3211.0,2,6
20160104 10:09:16.000,3206.0,3206.0,3206.0,3216.0,2,3206.0,1,1
20160104 10:10:24.000,3205.0,3206.0,3206.0,3206.0,2,3206.0,1,1
20160104 10:30:54.000,3191.0,3205.0,3205.0,3205.0,2,3205.0,1,3
20160104 10:31:07.000,3183.0,3191.0,3191.0,3217.0,2,3191.0,1,7
20160104 10:32:48.000,3192.0,3192.0,3192.0,3215.0,2,3192.0,1,3
20160104 10:34:11.000,3183.0,3192.0,3192.0,3215.0,2,3192.0,1,3
20160104 10:34:48.000,3100.0,3183.0,3183.0,3215.0,2,3183.0,4,3
20160104 10:41:44.000,3175.0,3178.0,3178.0,3199.0,2,3178.0,1,2
20160104 11:02:15.000,3166.0,3178.0,3178.0,3199.0,2,3178.0,1,4
