Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160104 09:00:00.000,0.0,569.0,569.0,0.0,554,569.0,0,0
20160104 09:00:01.000,0.0,569.1,569.1,0.0,278,569.1,0,0
20160104 09:00:03.000,0.0,569.1,569.1,0.0,72,569.1,0,0
20160104 09:00:04.000,0.0,569.5,569.5,0.0,92,569.5,0,0
20160104 09:00:05.000,0.0,569.5,569.5,0.0,52,569.5,0,0
20160104 09:00:06.000,0.0,569.1,569.1,0.0,22,569.1,0,0
20160104 09:00:07.000,0.0,569.5,569.5,0.0,68,569.5,0,0
20160104 09:00:08.000,0.0,569.5,569.5,0.0,10,569.5,0,0
20160104 09:00:09.000,0.0,569.4,569.4,0.0,40,569.4,0,0
20160104 09:00:10.000,0.0,569.9,569.9,0.0,32,569.9,0,0
20160104 09:00:11.000,0.0,569.9,569.9,0.0,154,569.9,0,0
20160104 09:00:12.000,0.0,569.9,569.9,0.0,12,569.9,0,0
20160104 09:00:13.000,0.0,569.5,569.5,0.0,72,569.5,0,0
20160104 09:00:14.000,0.0,569.5,569.5,0.0,42,569.5,0,0
20160104 09:00:15.000,0.0,569.9,569.9,0.0,42,569.9,0,0
20160104 09:00:16.000,0.0,569.9,569.9,0.0,344,569.9,0,0
20160104 09:00:17.000,0.0,569.5,569.5,0.0,2,569.5,0,0
20160104 09:00:18.000,0.0,569.0,569.0,0.0,498,569.0,0,0
20160104 09:00:19.000,0.0,569.9,569.9,0.0,16,569.9,0,0
20160104 09:00:20.000,0.0,569.5,569.5,0.0,630,569.5,0,0
20160104 09:00:21.000,0.0,569.5,569.5,0.0,62,569.5,0,0
20160104 09:00:22.000,0.0,569.5,569.5,0.0,66,569.5,0,0
20160104 09:00:23.000,0.0,569.5,569.5,0.0,2,569.5,0,0
20160104 09:00:25.000,0.0,569.5,569.5,0.0,4,569.5,0,0
20160104 09:00:27.000,0.0,569.9,569.9,0.0,4,569.9,0,0
20160104 09:00:28.000,0.0,569.9,569.9,0.0,40,569.9,0,0
20160104 09:00:29.000,0.0,569.9,569.9,0.0,134,569.9,0,0
20160104 09:00:30.000,0.0,569.9,569.9,0.0,4,569.9,0,0
20160104 09:00:31.000,0.0,569.9,569.9,0.0,22,569.9,0,0
20160104 09:00:32.000,0.0,569.9,569.9,0.0,52,569.9,0,0
20160104 09:00:33.000,0.0,569.9,569.9,0.0,2,569.9,0,0
20160104 09:00:34.000,0.0,570.4,570.4,0.0,156,570.4,0,0
20160104 09:00:35.000,0.0,570.4,570.4,0.0,4,570.4,0,0
20160104 09:00:36.000,0.0,570.4,570.4,0.0,16,570.4,0,0
20160104 09:00:37.000,0.0,570.9,570.9,0.0,2,570.9,0,0
20160104 09:00:38.000,0.0,570.4,570.4,0.0,4,570.4,0,0
20160104 09:00:39.000,0.0,570.4,570.4,0.0,20,570.4,0,0
20160104 09:00:40.000,0.0,570.8,570.8,0.0,56,570.8,0,0
20160104 09:00:41.000,0.0,570.4,570.4,0.0,86,570.4,0,0
20160104 09:00:43.000,0.0,570.4,570.4,0.0,8,570.4,0,0
20160104 09:00:44.000,0.0,570.4,570.4,0.0,2,570.4,0,0
20160104 09:00:45.000,0.0,570.4,570.4,0.0,16,570.4,0,0
20160104 09:00:46.000,0.0,570.0,570.0,0.0,88,570.0,0,0
20160104 09:00:47.000,0.0,570.0,570.0,0.0,14,570.0,0,0
20160104 09:00:49.000,0.0,570.0,570.0,0.0,102,570.0,0,0
20160104 09:00:51.000,0.0,570.0,570.0,0.0,6,570.0,0,0
20160104 09:00:52.000,0.0,570.0,570.0,0.0,36,570.0,0,0
20160104 09:00:55.000,0.0,570.0,570.0,0.0,30,570.0,0,0
20160104 09:00:56.000,0.0,569.5,569.5,0.0,2,569.5,0,0
20160104 09:00:59.000,0.0,570.0,570.0,0.0,16,570.0,0,0
20160104 09:01:00.000,0.0,569.5,569.5,0.0,618,569.5,0,0
20160104 09:01:01.000,0.0,569.0,569.0,0.0,18,569.0,0,0
20160104 09:01:02.000,0.0,569.0,569.0,0.0,22,569.0,0,0
20160104 09:01:03.000,0.0,568.6,568.6,0.0,30,568.6,0,0
20160104 09:01:04.000,0.0,569.0,569.0,0.0,20,569.0,0,0
20160104 09:01:05.000,0.0,569.0,569.0,0.0,30,569.0,0,0
20160104 09:01:06.000,0.0,568.5,568.5,0.0,72,568.5,0,0
20160104 09:01:07.000,0.0,568.5,568.5,0.0,40,568.5,0,0
20160104 09:01:09.000,0.0,568.5,568.5,0.0,2,568.5,0,0
20160104 09:01:11.000,0.0,568.5,568.5,0.0,6,568.5,0,0
20160104 09:01:13.000,0.0,569.0,569.0,0.0,190,569.0,0,0
20160104 09:01:14.000,0.0,569.4,569.4,0.0,24,569.4,0,0
20160104 09:01:16.000,0.0,569.0,569.0,0.0,6,569.0,0,0
20160104 09:01:17.000,0.0,569.4,569.4,0.0,58,569.4,0,0
20160104 09:01:20.000,0.0,569.9,569.9,0.0,8,569.9,0,0
20160104 09:01:26.000,0.0,569.9,569.9,0.0,10,569.9,0,0
20160104 09:01:27.000,0.0,569.9,569.9,0.0,2,569.9,0,0
20160104 09:01:29.000,0.0,569.9,569.9,0.0,8,569.9,0,0
20160104 09:01:30.000,0.0,569.9,569.9,0.0,120,569.9,0,0
20160104 09:01:31.000,0.0,570.0,570.0,0.0,58,570.0,0,0
20160104 09:01:32.000,0.0,570.0,570.0,0.0,176,570.0,0,0
20160104 09:01:33.000,0.0,570.0,570.0,0.0,48,570.0,0,0
20160104 09:01:34.000,0.0,570.0,570.0,0.0,46,570.0,0,0
20160104 09:01:35.000,0.0,570.0,570.0,0.0,2,570.0,0,0
20160104 09:01:36.000,0.0,570.0,570.0,0.0,10,570.0,0,0
20160104 09:01:38.000,0.0,569.5,569.5,0.0,162,569.5,0,0
20160104 09:01:39.000,0.0,570.0,570.0,0.0,100,570.0,0,0
20160104 09:01:40.000,0.0,569.5,569.5,0.0,110,569.5,0,0
20160104 09:01:42.000,0.0,569.5,569.5,0.0,22,569.5,0,0
