Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160104 08:59:00.000,647.0,647.0,647.0,647.5,736,647.0,398,60
20160104 09:00:00.000,647.5,647.5,647.5,648.5,242,647.5,110,77
20160104 09:00:01.000,647.5,648.5,648.5,648.5,80,648.5,336,65
20160104 09:00:01.500,648.5,648.5,648.5,649.0,194,648.5,529,1
20160104 09:00:02.000,648.5,649.0,649.0,649.5,8,649.0,527,202
20160104 09:00:02.500,648.5,649.5,649.5,649.0,16,649.5,528,15
20160104 09:00:03.000,648.5,649.5,649.5,649.0,8,649.5,529,83
20160104 09:00:03.500,648.5,649.5,649.5,649.0,10,649.5,529,112
20160104 09:00:04.000,648.5,649.0,649.0,649.0,10,649.0,2,109
20160104 09:00:05.000,648.5,649.0,649.0,649.0,72,649.0,3,78
20160104 09:00:05.500,648.5,649.0,649.0,649.0,2,649.0,4,147
20160104 09:00:06.000,649.0,649.0,649.0,649.5,316,649.0,343,208
20160104 09:00:06.500,649.0,649.5,649.5,649.5,18,649.5,364,207
20160104 09:00:07.000,649.0,649.0,649.0,649.5,4,649.0,369,207
20160104 09:00:08.000,649.0,649.0,649.0,649.5,86,649.0,29,166
20160104 09:00:08.500,649.0,649.5,649.5,649.5,124,649.5,18,113
20160104 09:00:09.000,649.0,649.0,649.0,649.5,6,649.0,27,112
20160104 09:00:09.500,649.0,649.5,649.5,649.5,46,649.5,25,92
20160104 09:00:10.000,649.5,649.5,649.5,650.0,184,649.5,267,160
20160104 09:00:10.500,649.5,650.0,650.0,650.0,12,650.0,305,156
20160104 09:00:11.000,649.5,649.5,649.5,650.0,4,649.5,304,155
20160104 09:00:11.500,649.5,650.0,650.0,650.0,6,650.0,304,155
20160104 09:00:12.000,649.5,650.0,650.0,650.0,18,650.0,41,174
20160104 09:00:13.000,649.0,650.0,650.0,650.0,484,650.0,45,38
20160104 09:00:14.000,650.5,650.5,650.5,651.0,132,650.5,32,6
20160104 09:00:14.500,651.0,651.0,651.0,651.5,30,651.0,24,26
20160104 09:00:15.000,651.5,652.0,652.0,652.0,26,652.0,10,90
20160104 09:00:15.500,651.0,651.5,651.5,651.5,106,651.5,24,13
20160104 09:00:16.000,650.5,651.0,651.0,651.0,46,651.0,1,20
20160104 09:00:16.500,650.0,650.5,650.5,651.5,92,650.5,24,92
20160104 09:00:17.000,650.5,650.5,650.5,651.0,4,650.5,28,5
20160104 09:00:17.500,650.0,650.0,650.0,650.5,10,650.0,3,20
20160104 09:00:18.000,650.5,650.5,650.5,651.0,18,650.5,199,23
20160104 09:00:18.500,650.5,651.0,651.0,651.0,4,651.0,223,11
20160104 09:00:19.000,650.5,650.5,650.5,651.0,22,650.5,212,37
20160104 09:00:19.500,650.5,651.0,651.0,651.0,64,651.0,182,35
20160104 09:00:20.000,650.5,651.0,651.0,651.0,72,651.0,181,7
20160104 09:00:21.000,650.5,650.5,650.5,651.0,22,650.5,172,6
20160104 09:00:22.000,650.5,650.5,650.5,651.0,12,650.5,176,36
20160104 09:00:22.500,650.5,651.0,651.0,651.0,6,651.0,176,36
20160104 09:00:23.000,650.5,651.0,651.0,651.0,2,651.0,176,55
20160104 09:00:23.500,650.5,651.0,651.0,651.0,2,651.0,176,54
20160104 09:00:24.000,650.5,650.5,650.5,651.0,4,650.5,175,53
20160104 09:00:24.500,650.5,651.0,651.0,651.0,4,651.0,192,61
20160104 09:00:25.000,650.5,651.0,651.0,651.0,4,651.0,191,60
20160104 09:00:25.500,650.5,651.0,651.0,651.0,4,651.0,192,59
20160104 09:00:26.000,650.5,650.5,650.5,651.0,4,650.5,170,59
20160104 09:00:26.500,650.5,651.0,651.0,651.0,6,651.0,178,58
