Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160104 08:59:00.000,567.0,567.0,567.0,567.5,274,567.0,50,32
20160104 09:00:00.000,567.5,567.5,567.5,568.0,66,567.5,57,63
20160104 09:00:01.000,567.5,568.0,568.0,568.0,112,568.0,35,44
20160104 09:00:01.500,567.0,567.5,567.5,567.5,218,567.5,125,18
20160104 09:00:02.000,567.0,568.0,568.0,568.0,46,568.0,137,3
20160104 09:00:02.500,568.0,568.5,568.5,568.5,48,568.5,1,87
20160104 09:00:03.000,567.5,568.0,568.0,568.0,22,568.0,60,1
20160104 09:00:03.500,568.0,568.0,568.0,568.5,26,568.0,11,81
20160104 09:00:04.000,568.0,568.5,568.5,568.5,66,568.5,4,55
20160104 09:00:04.500,568.0,568.5,568.5,568.5,20,568.5,4,45
20160104 09:00:05.000,568.0,568.5,568.5,568.5,32,568.5,4,29
20160104 09:00:06.000,568.0,568.0,568.0,568.5,22,568.0,40,28
20160104 09:00:06.500,568.0,568.5,568.5,568.5,40,568.5,39,14
20160104 09:00:07.000,568.0,568.5,568.5,568.5,28,568.5,39,1
20160104 09:00:07.500,568.0,568.5,568.5,568.5,2,568.5,49,12
20160104 09:00:08.000,568.0,568.5,568.5,568.5,8,568.5,48,11
20160104 09:00:08.500,568.0,568.5,568.5,569.0,24,568.5,50,737
20160104 09:00:09.000,568.0,568.5,568.5,569.0,8,568.5,46,740
20160104 09:00:09.500,568.5,568.0,568.0,569.0,20,568.0,10,740
20160104 09:00:10.000,568.5,569.0,569.0,569.0,12,569.0,19,734
20160104 09:00:10.500,568.5,569.0,569.0,569.0,128,569.0,20,699
20160104 09:00:11.000,568.5,569.0,569.0,569.0,26,569.0,30,688
20160104 09:00:12.000,568.5,569.0,569.0,569.0,12,569.0,50,693
20160104 09:00:12.500,568.5,568.5,568.5,569.0,24,568.5,44,687
20160104 09:00:13.000,568.5,568.5,568.5,569.0,46,568.5,21,687
20160104 09:00:13.500,568.5,568.5,568.5,569.0,4,568.5,19,687
20160104 09:00:14.000,568.0,568.5,568.5,569.0,38,568.5,71,687
20160104 09:00:14.500,568.0,569.0,569.0,569.0,34,569.0,70,672
20160104 09:00:15.000,568.0,569.0,569.0,569.0,8,569.0,100,668
20160104 09:00:15.500,568.0,569.0,569.0,569.0,344,569.0,100,496
20160104 09:00:16.000,568.5,568.5,568.5,569.0,2,568.5,18,486
20160104 09:00:18.000,568.0,568.0,568.0,569.0,498,568.0,51,337
20160104 09:00:18.500,568.5,568.5,568.5,569.0,2,568.5,9,329
20160104 09:00:19.000,568.5,569.0,569.0,569.0,14,569.0,9,323
20160104 09:00:19.500,568.5,569.0,569.0,569.0,628,569.0,8,9
20160104 09:00:20.000,568.5,568.5,568.5,569.0,2,568.5,7,9
20160104 09:00:20.500,568.0,568.5,568.5,568.5,62,568.5,79,29
20160104 09:00:21.000,568.0,568.5,568.5,568.5,6,568.5,79,26
20160104 09:00:22.000,568.5,568.5,568.5,569.0,60,568.5,154,20
20160104 09:00:23.000,568.5,568.5,568.5,569.0,2,568.5,157,20
20160104 09:00:24.000,568.5,568.5,568.5,569.0,2,568.5,157,21
20160104 09:00:25.000,568.5,568.5,568.5,569.0,2,568.5,156,25
20160104 09:00:27.000,568.5,569.0,569.0,569.0,4,569.0,209,48
20160104 09:00:28.000,568.5,569.0,569.0,569.0,40,569.0,274,61
20160104 09:00:28.500,569.0,569.0,569.0,569.5,122,569.0,4,79
20160104 09:00:29.000,569.0,569.0,569.0,569.5,12,569.0,59,79
20160104 09:00:29.500,569.0,569.0,569.0,569.5,2,569.0,67,79
20160104 09:00:30.000,569.0,569.0,569.0,569.5,2,569.0,72,79
20160104 09:00:30.500,569.0,569.0,569.0,569.5,14,569.0,69,75
20160104 09:00:31.000,569.0,569.5,569.5,569.5,8,569.5,69,72
20160104 09:00:32.000,569.0,569.0,569.0,569.5,44,569.0,44,66
20160104 09:00:33.000,569.0,569.5,569.5,569.5,102,569.5,93,17
20160104 09:00:34.000,569.5,569.5,569.5,570.0,54,569.5,28,54
20160104 09:00:35.000,569.5,569.5,569.5,570.0,4,569.5,43,53
20160104 09:00:35.500,569.5,570.0,570.0,570.0,2,570.0,55,52
20160104 09:00:36.000,569.5,569.5,569.5,570.0,14,569.5,54,47
20160104 09:00:37.000,569.5,570.0,570.0,570.0,2,570.0,54,47
20160104 09:00:37.500,569.5,570.0,570.0,570.0,2,570.0,54,46
20160104 09:00:38.000,569.5,569.5,569.5,570.0,2,569.5,53,46
20160104 09:00:39.000,569.5,569.5,569.5,570.0,20,569.5,43,47
20160104 09:00:40.000,569.5,570.0,570.0,570.0,56,570.0,43,375
20160104 09:00:40.500,569.0,569.5,569.5,569.5,86,569.5,45,1
20160104 09:00:42.000,569.0,569.5,569.5,569.5,8,569.5,45,106
20160104 09:00:44.000,569.0,569.5,569.5,569.5,2,569.5,46,115
20160104 09:00:45.000,569.0,569.5,569.5,569.5,16,569.5,46,107
20160104 09:00:46.000,568.5,569.0,569.0,569.5,86,569.0,275,107
20160104 09:00:46.500,568.5,569.0,569.0,569.5,4,569.0,277,118
20160104 09:00:47.000,568.5,568.5,568.5,569.5,2,568.5,276,64
20160104 09:00:47.500,568.5,569.0,569.0,569.0,4,569.0,285,1
20160104 09:00:48.000,568.5,568.5,568.5,569.0,66,568.5,252,118
20160104 09:00:49.000,568.5,569.0,569.0,569.0,36,569.0,235,91
20160104 09:00:50.000,568.5,569.0,569.0,569.0,6,569.0,260,91
20160104 09:00:51.000,568.5,569.0,569.0,569.0,20,569.0,261,81
20160104 09:00:53.000,568.5,569.0,569.0,569.0,16,569.0,261,73
20160104 09:00:55.000,568.5,569.0,569.0,569.0,30,569.0,260,81
20160104 09:00:56.000,568.5,568.5,568.5,569.0,2,568.5,259,81
20160104 09:00:59.000,568.5,569.0,569.0,569.0,10,569.0,259,96
20160104 09:01:00.000,568.0,568.5,568.5,568.5,518,568.5,44,42
20160104 09:01:00.500,567.5,568.5,568.5,568.5,100,568.5,94,35
20160104 09:01:01.000,567.5,568.0,568.0,568.0,16,568.0,176,140
20160104 09:01:02.000,567.5,568.0,568.0,568.0,20,568.0,177,133
20160104 09:01:03.000,567.5,568.0,568.0,568.0,20,568.0,243,124
20160104 09:01:04.000,567.5,567.5,567.5,568.0,10,567.5,181,124
20160104 09:01:04.500,567.5,567.5,567.5,568.0,18,567.5,179,117
