Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160104 09:00:00.000,0.0,7998.0,7998.0,0.0,4016,7998.0,0,0
20160104 09:00:01.000,0.0,8003.0,8003.0,0.0,312,8003.0,0,0
20160104 09:00:03.000,0.0,7998.0,7998.0,0.0,410,7998.0,0,0
20160104 09:00:04.000,0.0,8002.0,8002.0,0.0,1354,8002.0,0,0
20160104 09:00:05.000,0.0,8002.0,8002.0,0.0,394,8002.0,0,0
20160104 09:00:06.000,0.0,7992.0,7992.0,0.0,704,7992.0,0,0
20160104 09:00:07.000,0.0,7992.0,7992.0,0.0,58,7992.0,0,0
20160104 09:00:08.000,0.0,7991.0,7991.0,0.0,148,7991.0,0,0
20160104 09:00:09.000,0.0,7991.0,7991.0,0.0,202,7991.0,0,0
20160104 09:00:10.000,0.0,7992.0,7992.0,0.0,296,7992.0,0,0
20160104 09:00:11.000,0.0,7991.0,7991.0,0.0,232,7991.0,0,0
20160104 09:00:12.000,0.0,7992.0,7992.0,0.0,1012,7992.0,0,0
20160104 09:00:13.000,0.0,7992.0,7992.0,0.0,98,7992.0,0,0
20160104 09:00:14.000,0.0,7996.0,7996.0,0.0,138,7996.0,0,0
20160104 09:00:15.000,0.0,7996.0,7996.0,0.0,30,7996.0,0,0
20160104 09:00:16.000,0.0,7996.0,7996.0,0.0,50,7996.0,0,0
20160104 09:00:17.000,0.0,7996.0,7996.0,0.0,54,7996.0,0,0
20160104 09:00:18.000,0.0,7996.0,7996.0,0.0,140,7996.0,0,0
20160104 09:00:19.000,0.0,8000.0,8000.0,0.0,22,8000.0,0,0
20160104 09:00:20.000,0.0,7996.0,7996.0,0.0,488,7996.0,0,0
20160104 09:00:21.000,0.0,7992.0,7992.0,0.0,614,7992.0,0,0
20160104 09:00:22.000,0.0,7991.0,7991.0,0.0,320,7991.0,0,0
20160104 09:00:23.000,0.0,7991.0,7991.0,0.0,250,7991.0,0,0
20160104 09:00:24.000,0.0,7987.0,7987.0,0.0,734,7987.0,0,0
20160104 09:00:25.000,0.0,7986.0,7986.0,0.0,68,7986.0,0,0
20160104 09:00:26.000,0.0,7985.0,7985.0,0.0,950,7985.0,0,0
20160104 09:00:27.000,0.0,7982.0,7982.0,0.0,746,7982.0,0,0
20160104 09:00:28.000,0.0,7978.0,7978.0,0.0,434,7978.0,0,0
20160104 09:00:29.000,0.0,7982.0,7982.0,0.0,92,7982.0,0,0
20160104 09:00:30.000,0.0,7982.0,7982.0,0.0,262,7982.0,0,0
20160104 09:00:31.000,0.0,7978.0,7978.0,0.0,144,7978.0,0,0
20160104 09:00:32.000,0.0,7982.0,7982.0,0.0,378,7982.0,0,0
20160104 09:00:33.000,0.0,7982.0,7982.0,0.0,28,7982.0,0,0
20160104 09:00:34.000,0.0,7986.0,7986.0,0.0,244,7986.0,0,0
20160104 09:00:35.000,0.0,7987.0,7987.0,0.0,30,7987.0,0,0
20160104 09:00:36.000,0.0,7983.0,7983.0,0.0,108,7983.0,0,0
20160104 09:00:37.000,0.0,7987.0,7987.0,0.0,164,7987.0,0,0
20160104 09:00:38.000,0.0,7987.0,7987.0,0.0,174,7987.0,0,0
20160104 09:00:39.000,0.0,7988.0,7988.0,0.0,58,7988.0,0,0
20160104 09:00:40.000,0.0,7992.0,7992.0,0.0,94,7992.0,0,0
20160104 09:00:41.000,0.0,7992.0,7992.0,0.0,652,7992.0,0,0
20160104 09:00:42.000,0.0,7988.0,7988.0,0.0,38,7988.0,0,0
20160104 09:00:43.000,0.0,7988.0,7988.0,0.0,54,7988.0,0,0
20160104 09:00:44.000,0.0,7992.0,7992.0,0.0,524,7992.0,0,0
20160104 09:00:45.000,0.0,7993.0,7993.0,0.0,270,7993.0,0,0
20160104 09:00:46.000,0.0,7992.0,7992.0,0.0,118,7992.0,0,0
20160104 09:00:47.000,0.0,7994.0,7994.0,0.0,74,7994.0,0,0
20160104 09:00:48.000,0.0,7994.0,7994.0,0.0,156,7994.0,0,0
20160104 09:00:49.000,0.0,7994.0,7994.0,0.0,46,7994.0,0,0
20160104 09:00:50.000,0.0,7998.0,7998.0,0.0,10,7998.0,0,0
20160104 09:00:51.000,0.0,7996.0,7996.0,0.0,480,7996.0,0,0
20160104 09:00:52.000,0.0,8002.0,8002.0,0.0,108,8002.0,0,0
20160104 09:00:53.000,0.0,7998.0,7998.0,0.0,538,7998.0,0,0
20160104 09:00:54.000,0.0,7998.0,7998.0,0.0,62,7998.0,0,0
20160104 09:00:55.000,0.0,7998.0,7998.0,0.0,6,7998.0,0,0
20160104 09:00:56.000,0.0,7998.0,7998.0,0.0,114,7998.0,0,0
20160104 09:00:57.000,0.0,7994.0,7994.0,0.0,702,7994.0,0,0
20160104 09:00:58.000,0.0,7993.0,7993.0,0.0,450,7993.0,0,0
20160104 09:00:59.000,0.0,7993.0,7993.0,0.0,60,7993.0,0,0
20160104 09:01:00.000,0.0,7985.0,7985.0,0.0,374,7985.0,0,0
20160104 09:01:01.000,0.0,7989.0,7989.0,0.0,70,7989.0,0,0
20160104 09:01:02.000,0.0,7988.0,7988.0,0.0,1322,7988.0,0,0
20160104 09:01:03.000,0.0,7989.0,7989.0,0.0,30,7989.0,0,0
20160104 09:01:04.000,0.0,7989.0,7989.0,0.0,82,7989.0,0,0
20160104 09:01:05.000,0.0,7989.0,7989.0,0.0,40,7989.0,0,0
20160104 09:01:06.000,0.0,7989.0,7989.0,0.0,26,7989.0,0,0
20160104 09:01:07.000,0.0,7988.0,7988.0,0.0,34,7988.0,0,0
20160104 09:01:08.000,0.0,7988.0,7988.0,0.0,326,7988.0,0,0
20160104 09:01:09.000,0.0,7988.0,7988.0,0.0,32,7988.0,0,0
20160104 09:01:11.000,0.0,7987.0,7987.0,0.0,306,7987.0,0,0
20160104 09:01:12.000,0.0,7987.0,7987.0,0.0,58,7987.0,0,0
20160104 09:01:13.000,0.0,7987.0,7987.0,0.0,56,7987.0,0,0
20160104 09:01:14.000,0.0,7987.0,7987.0,0.0,22,7987.0,0,0
20160104 09:01:16.000,0.0,7992.0,7992.0,0.0,40,7992.0,0,0
20160104 09:01:17.000,0.0,7988.0,7988.0,0.0,82,7988.0,0,0
20160104 09:01:18.000,0.0,7988.0,7988.0,0.0,48,7988.0,0,0
20160104 09:01:19.000,0.0,7996.0,7996.0,0.0,626,7996.0,0,0
20160104 09:01:20.000,0.0,7996.0,7996.0,0.0,132,7996.0,0,0
20160104 09:01:21.000,0.0,7992.0,7992.0,0.0,154,7992.0,0,0
