Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160104 08:59:00.000,2369.0,2370.0,2370.0,2370.0,2286,2370.0,159,541
20160104 09:00:00.000,2369.0,2370.0,2370.0,2370.0,380,2370.0,56,486
20160104 09:00:01.000,2368.0,2369.0,2369.0,2369.0,874,2369.0,267,270
20160104 09:00:01.500,2367.0,2369.0,2369.0,2369.0,1290,2369.0,242,11
20160104 09:00:02.000,2368.0,2368.0,2368.0,2369.0,64,2368.0,93,146
20160104 09:00:02.500,2368.0,2369.0,2369.0,2369.0,598,2369.0,6,108
20160104 09:00:03.000,2367.0,2368.0,2368.0,2368.0,314,2368.0,55,47
20160104 09:00:03.500,2367.0,2368.0,2368.0,2368.0,154,2368.0,123,56
20160104 09:00:04.000,2369.0,2370.0,2370.0,2370.0,742,2370.0,149,652
20160104 09:00:04.500,2369.0,2370.0,2370.0,2370.0,466,2370.0,140,662
20160104 09:00:05.000,2367.0,2368.0,2368.0,2368.0,510,2368.0,161,17
20160104 09:00:05.500,2367.0,2370.0,2370.0,2370.0,260,2370.0,130,535
20160104 09:00:06.000,2367.0,2368.0,2368.0,2368.0,194,2368.0,125,86
20160104 09:00:06.500,2367.0,2367.0,2367.0,2369.0,466,2367.0,118,172
20160104 09:00:07.000,2367.0,2369.0,2369.0,2369.0,222,2369.0,140,82
20160104 09:00:07.500,2368.0,2368.0,2368.0,2369.0,254,2368.0,50,106
20160104 09:00:08.000,2368.0,2368.0,2368.0,2369.0,22,2368.0,144,154
20160104 09:00:08.500,2368.0,2369.0,2369.0,2369.0,10,2369.0,751,154
20160104 09:00:09.000,2369.0,2369.0,2369.0,2370.0,310,2369.0,51,754
20160104 09:00:09.500,2369.0,2370.0,2370.0,2370.0,2,2370.0,57,753
20160104 09:00:10.000,2369.0,2370.0,2370.0,2370.0,54,2370.0,481,731
20160104 09:00:10.500,2369.0,2369.0,2369.0,2370.0,110,2369.0,456,686
20160104 09:00:11.000,2369.0,2370.0,2370.0,2370.0,454,2370.0,447,473
20160104 09:00:11.500,2369.0,2370.0,2370.0,2370.0,474,2370.0,334,284
20160104 09:00:12.000,2369.0,2370.0,2370.0,2370.0,100,2370.0,420,254
20160104 09:00:12.500,2370.0,2370.0,2370.0,2371.0,1010,2370.0,409,788
20160104 09:00:13.000,2370.0,2370.0,2370.0,2371.0,12,2370.0,429,725
20160104 09:00:13.500,2370.0,2370.0,2370.0,2371.0,42,2370.0,452,715
20160104 09:00:14.000,2370.0,2371.0,2371.0,2371.0,344,2371.0,459,543
20160104 09:00:14.500,2370.0,2371.0,2371.0,2371.0,60,2371.0,483,516
20160104 09:00:15.000,2370.0,2371.0,2371.0,2371.0,228,2371.0,457,449
20160104 09:00:15.500,2370.0,2371.0,2371.0,2371.0,10,2371.0,472,447
20160104 09:00:16.000,2370.0,2371.0,2371.0,2371.0,356,2371.0,486,270
20160104 09:00:16.500,2370.0,2371.0,2371.0,2371.0,28,2371.0,482,261
20160104 09:00:17.000,2370.0,2371.0,2371.0,2371.0,172,2371.0,481,210
20160104 09:00:17.500,2371.0,2371.0,2371.0,2372.0,502,2371.0,127,591
20160104 09:00:18.000,2371.0,2371.0,2371.0,2372.0,48,2371.0,214,535
20160104 09:00:18.500,2371.0,2371.0,2371.0,2372.0,54,2371.0,268,819
20160104 09:00:19.000,2371.0,2371.0,2371.0,2372.0,16,2371.0,421,819
20160104 09:00:19.500,2371.0,2372.0,2372.0,2372.0,10,2372.0,432,824
20160104 09:00:20.000,2371.0,2372.0,2372.0,2372.0,38,2372.0,433,808
20160104 09:00:20.500,2370.0,2371.0,2371.0,2371.0,898,2371.0,560,72
20160104 09:00:21.000,2370.0,2371.0,2371.0,2371.0,274,2371.0,471,45
20160104 09:00:21.500,2370.0,2372.0,2372.0,2372.0,408,2372.0,483,765
20160104 09:00:22.000,2371.0,2371.0,2371.0,2372.0,4,2371.0,11,781
20160104 09:00:22.500,2370.0,2371.0,2371.0,2371.0,32,2371.0,473,988
20160104 09:00:23.000,2370.0,2370.0,2370.0,2371.0,20,2370.0,492,990
20160104 09:00:23.500,2370.0,2370.0,2370.0,2371.0,326,2370.0,365,1062
20160104 09:00:24.000,2370.0,2371.0,2371.0,2371.0,82,2371.0,360,1026
20160104 09:00:24.500,2370.0,2371.0,2371.0,2371.0,112,2371.0,359,1000
20160104 09:00:25.000,2370.0,2370.0,2370.0,2371.0,220,2370.0,358,891
20160104 09:00:25.500,2370.0,2371.0,2371.0,2371.0,72,2371.0,342,873
20160104 09:00:26.000,2369.0,2370.0,2370.0,2370.0,728,2370.0,957,112
20160104 09:00:26.500,2369.0,2370.0,2370.0,2370.0,716,2370.0,723,62
20160104 09:00:27.000,2369.0,2370.0,2370.0,2370.0,84,2370.0,720,121
20160104 09:00:27.500,2369.0,2370.0,2370.0,2370.0,18,2370.0,731,197
20160104 09:00:28.000,2370.0,2371.0,2371.0,2371.0,1018,2371.0,103,596
20160104 09:00:28.500,2370.0,2370.0,2370.0,2371.0,24,2370.0,162,617
20160104 09:00:29.000,2370.0,2370.0,2370.0,2371.0,4,2370.0,281,617
20160104 09:00:30.000,2370.0,2371.0,2371.0,2371.0,530,2371.0,325,717
20160104 09:00:30.500,2370.0,2371.0,2371.0,2371.0,38,2371.0,328,701
20160104 09:00:31.000,2370.0,2371.0,2371.0,2371.0,138,2371.0,384,785
20160104 09:00:31.500,2370.0,2370.0,2370.0,2371.0,42,2370.0,433,772
20160104 09:00:32.000,2370.0,2371.0,2371.0,2371.0,2,2371.0,439,680
20160104 09:00:32.500,2370.0,2370.0,2370.0,2371.0,100,2370.0,390,680
