Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160104 09:00:00.000,0.0,5839.0,5839.0,0.0,3906,5839.0,0,0
20160104 09:00:01.000,0.0,5835.0,5835.0,0.0,1784,5835.0,0,0
20160104 09:00:03.000,0.0,5829.0,5829.0,0.0,712,5829.0,0,0
20160104 09:00:04.000,0.0,5827.0,5827.0,0.0,596,5827.0,0,0
20160104 09:00:05.000,0.0,5826.0,5826.0,0.0,790,5826.0,0,0
20160104 09:00:06.000,0.0,5826.0,5826.0,0.0,738,5826.0,0,0
20160104 09:00:07.000,0.0,5826.0,5826.0,0.0,798,5826.0,0,0
20160104 09:00:08.000,0.0,5825.0,5825.0,0.0,864,5825.0,0,0
20160104 09:00:09.000,0.0,5827.0,5827.0,0.0,524,5827.0,0,0
20160104 09:00:10.000,0.0,5829.0,5829.0,0.0,664,5829.0,0,0
20160104 09:00:11.000,0.0,5828.0,5828.0,0.0,490,5828.0,0,0
20160104 09:00:12.000,0.0,5829.0,5829.0,0.0,558,5829.0,0,0
20160104 09:00:13.000,0.0,5832.0,5832.0,0.0,312,5832.0,0,0
20160104 09:00:14.000,0.0,5832.0,5832.0,0.0,258,5832.0,0,0
20160104 09:00:15.000,0.0,5832.0,5832.0,0.0,306,5832.0,0,0
20160104 09:00:16.000,0.0,5835.0,5835.0,0.0,346,5835.0,0,0
20160104 09:00:17.000,0.0,5835.0,5835.0,0.0,376,5835.0,0,0
20160104 09:00:18.000,0.0,5836.0,5836.0,0.0,714,5836.0,0,0
20160104 09:00:19.000,0.0,5836.0,5836.0,0.0,576,5836.0,0,0
20160104 09:00:20.000,0.0,5837.0,5837.0,0.0,440,5837.0,0,0
20160104 09:00:21.000,0.0,5837.0,5837.0,0.0,612,5837.0,0,0
20160104 09:00:22.000,0.0,5835.0,5835.0,0.0,400,5835.0,0,0
20160104 09:00:23.000,0.0,5835.0,5835.0,0.0,646,5835.0,0,0
20160104 09:00:24.000,0.0,5835.0,5835.0,0.0,550,5835.0,0,0
20160104 09:00:25.000,0.0,5835.0,5835.0,0.0,430,5835.0,0,0
20160104 09:00:26.000,0.0,5832.0,5832.0,0.0,732,5832.0,0,0
20160104 09:00:27.000,0.0,5832.0,5832.0,0.0,316,5832.0,0,0
20160104 09:00:28.000,0.0,5831.0,5831.0,0.0,434,5831.0,0,0
20160104 09:00:29.000,0.0,5831.0,5831.0,0.0,452,5831.0,0,0
20160104 09:00:30.000,0.0,5831.0,5831.0,0.0,188,5831.0,0,0
20160104 09:00:31.000,0.0,5832.0,5832.0,0.0,448,5832.0,0,0
20160104 09:00:32.000,0.0,5831.0,5831.0,0.0,958,5831.0,0,0
20160104 09:00:33.000,0.0,5832.0,5832.0,0.0,256,5832.0,0,0
20160104 09:00:34.000,0.0,5832.0,5832.0,0.0,434,5832.0,0,0
20160104 09:00:35.000,0.0,5832.0,5832.0,0.0,256,5832.0,0,0
20160104 09:00:36.000,0.0,5832.0,5832.0,0.0,154,5832.0,0,0
20160104 09:00:37.000,0.0,5832.0,5832.0,0.0,592,5832.0,0,0
20160104 09:00:38.000,0.0,5833.0,5833.0,0.0,558,5833.0,0,0
20160104 09:00:39.000,0.0,5833.0,5833.0,0.0,186,5833.0,0,0
20160104 09:00:40.000,0.0,5833.0,5833.0,0.0,78,5833.0,0,0
20160104 09:00:41.000,0.0,5832.0,5832.0,0.0,256,5832.0,0,0
20160104 09:00:42.000,0.0,5832.0,5832.0,0.0,224,5832.0,0,0
20160104 09:00:43.000,0.0,5833.0,5833.0,0.0,656,5833.0,0,0
20160104 09:00:44.000,0.0,5831.0,5831.0,0.0,176,5831.0,0,0
20160104 09:00:45.000,0.0,5830.0,5830.0,0.0,510,5830.0,0,0
20160104 09:00:46.000,0.0,5830.0,5830.0,0.0,168,5830.0,0,0
20160104 09:00:47.000,0.0,5829.0,5829.0,0.0,632,5829.0,0,0
20160104 09:00:48.000,0.0,5830.0,5830.0,0.0,124,5830.0,0,0
20160104 09:00:49.000,0.0,5832.0,5832.0,0.0,896,5832.0,0,0
20160104 09:00:50.000,0.0,5833.0,5833.0,0.0,28,5833.0,0,0
20160104 09:00:51.000,0.0,5832.0,5832.0,0.0,222,5832.0,0,0
20160104 09:00:52.000,0.0,5833.0,5833.0,0.0,230,5833.0,0,0
20160104 09:00:53.000,0.0,5832.0,5832.0,0.0,40,5832.0,0,0
20160104 09:00:54.000,0.0,5831.0,5831.0,0.0,320,5831.0,0,0
20160104 09:00:55.000,0.0,5833.0,5833.0,0.0,60,5833.0,0,0
20160104 09:00:56.000,0.0,5833.0,5833.0,0.0,302,5833.0,0,0
20160104 09:00:57.000,0.0,5832.0,5832.0,0.0,18,5832.0,0,0
20160104 09:00:58.000,0.0,5831.0,5831.0,0.0,244,5831.0,0,0
20160104 09:00:59.000,0.0,5831.0,5831.0,0.0,68,5831.0,0,0
20160104 09:01:00.000,0.0,5831.0,5831.0,0.0,922,5831.0,0,0
20160104 09:01:01.000,0.0,5831.0,5831.0,0.0,402,5831.0,0,0
20160104 09:01:02.000,0.0,5832.0,5832.0,0.0,534,5832.0,0,0
20160104 09:01:03.000,0.0,5831.0,5831.0,0.0,508,5831.0,0,0
20160104 09:01:04.000,0.0,5830.0,5830.0,0.0,236,5830.0,0,0
20160104 09:01:05.000,0.0,5831.0,5831.0,0.0,232,5831.0,0,0
20160104 09:01:06.000,0.0,5831.0,5831.0,0.0,866,5831.0,0,0
20160104 09:01:07.000,0.0,5832.0,5832.0,0.0,204,5832.0,0,0
20160104 09:01:08.000,0.0,5832.0,5832.0,0.0,250,5832.0,0,0
20160104 09:01:09.000,0.0,5832.0,5832.0,0.0,370,5832.0,0,0
20160104 09:01:10.000,0.0,5832.0,5832.0,0.0,84,5832.0,0,0
20160104 09:01:11.000,0.0,5832.0,5832.0,0.0,132,5832.0,0,0
20160104 09:01:12.000,0.0,5832.0,5832.0,0.0,62,5832.0,0,0
20160104 09:01:13.000,0.0,5832.0,5832.0,0.0,640,5832.0,0,0
20160104 09:01:14.000,0.0,5831.0,5831.0,0.0,158,5831.0,0,0
20160104 09:01:16.000,0.0,5833.0,5833.0,0.0,478,5833.0,0,0
20160104 09:01:17.000,0.0,5833.0,5833.0,0.0,232,5833.0,0,0
20160104 09:01:18.000,0.0,5833.0,5833.0,0.0,228,5833.0,0,0
20160104 09:01:19.000,0.0,5834.0,5834.0,0.0,428,5834.0,0,0
20160104 09:01:20.000,0.0,5834.0,5834.0,0.0,690,5834.0,0,0
20160104 09:01:21.000,0.0,5834.0,5834.0,0.0,426,5834.0,0,0
20160104 09:01:22.000,0.0,5835.0,5835.0,0.0,304,5835.0,0,0
20160104 09:01:23.000,0.0,5835.0,5835.0,0.0,220,5835.0,0,0
20160104 09:01:24.000,0.0,5834.0,5834.0,0.0,346,5834.0,0,0
20160104 09:01:25.000,0.0,5834.0,5834.0,0.0,134,5834.0,0,0
20160104 09:01:26.000,0.0,5834.0,5834.0,0.0,430,5834.0,0,0
20160104 09:01:27.000,0.0,5835.0,5835.0,0.0,508,5835.0,0,0
20160104 09:01:28.000,0.0,5837.0,5837.0,0.0,226,5837.0,0,0
20160104 09:01:29.000,0.0,5837.0,5837.0,0.0,330,5837.0,0,0
20160104 09:01:30.000,0.0,5838.0,5838.0,0.0,356,5838.0,0,0
20160104 09:01:31.000,0.0,5838.0,5838.0,0.0,258,5838.0,0,0
20160104 09:01:32.000,0.0,5839.0,5839.0,0.0,450,5839.0,0,0
20160104 09:01:33.000,0.0,5840.0,5840.0,0.0,850,5840.0,0,0
20160104 09:01:34.000,0.0,5842.0,5842.0,0.0,264,5842.0,0,0
20160104 09:01:35.000,0.0,5839.0,5839.0,0.0,862,5839.0,0,0
20160104 09:01:36.000,0.0,5839.0,5839.0,0.0,998,5839.0,0,0
20160104 09:01:37.000,0.0,5836.0,5836.0,0.0,258,5836.0,0,0
20160104 09:01:38.000,0.0,5837.0,5837.0,0.0,378,5837.0,0,0
20160104 09:01:39.000,0.0,5839.0,5839.0,0.0,594,5839.0,0,0
20160104 09:01:40.000,0.0,5839.0,5839.0,0.0,214,5839.0,0,0
20160104 09:01:41.000,0.0,5840.0,5840.0,0.0,378,5840.0,0,0
20160104 09:01:42.000,0.0,5840.0,5840.0,0.0,308,5840.0,0,0
20160104 09:01:43.000,0.0,5843.0,5843.0,0.0,434,5843.0,0,0
20160104 09:01:44.000,0.0,5845.0,5845.0,0.0,500,5845.0,0,0
20160104 09:01:45.000,0.0,5847.0,5847.0,0.0,582,5847.0,0,0
20160104 09:01:46.000,0.0,5848.0,5848.0,0.0,200,5848.0,0,0
20160104 09:01:47.000,0.0,5847.0,5847.0,0.0,1336,5847.0,0,0
20160104 09:01:48.000,0.0,5844.0,5844.0,0.0,414,5844.0,0,0
20160104 09:01:49.000,0.0,5843.0,5843.0,0.0,572,5843.0,0,0
20160104 09:01:50.000,0.0,5843.0,5843.0,0.0,460,5843.0,0,0
20160104 09:01:51.000,0.0,5843.0,5843.0,0.0,488,5843.0,0,0
20160104 09:01:52.000,0.0,5843.0,5843.0,0.0,464,5843.0,0,0
20160104 09:01:53.000,0.0,5844.0,5844.0,0.0,284,5844.0,0,0
