Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160104 08:59:00.000,4850.0,4850.0,4850.0,4860.0,14,4850.0,17,3
20160104 09:00:00.000,4850.0,4860.0,4860.0,4860.0,2,4860.0,18,4
20160104 09:00:01.000,4860.0,4870.0,4870.0,4870.0,16,4870.0,3,30
20160104 09:00:03.000,4860.0,4865.0,4865.0,4865.0,6,4865.0,5,6
20160104 09:00:06.000,4860.0,4865.0,4865.0,4865.0,2,4865.0,5,5
20160104 09:00:07.000,4860.0,4865.0,4865.0,4865.0,20,4865.0,8,3
20160104 09:00:10.000,4860.0,4865.0,4865.0,4865.0,4,4865.0,8,8
20160104 09:00:13.000,4860.0,4865.0,4865.0,4865.0,2,4865.0,7,7
20160104 09:00:16.000,4860.0,4860.0,4860.0,4865.0,6,4860.0,4,11
20160104 09:00:16.500,4855.0,4860.0,4860.0,4860.0,8,4860.0,27,20
20160104 09:00:17.000,4855.0,4860.0,4860.0,4860.0,10,4860.0,27,15
20160104 09:00:18.000,4855.0,4860.0,4860.0,4860.0,10,4860.0,27,10
20160104 09:00:19.000,4855.0,4860.0,4860.0,4860.0,2,4860.0,26,9
20160104 09:00:20.000,4855.0,4865.0,4865.0,4865.0,20,4865.0,25,19
20160104 09:00:27.000,4860.0,4865.0,4865.0,4865.0,8,4865.0,5,25
20160104 09:00:28.000,4855.0,4860.0,4860.0,4860.0,10,4860.0,25,15
20160104 09:00:42.000,4855.0,4860.0,4860.0,4860.0,28,4860.0,24,3
20160104 09:00:46.000,4855.0,4860.0,4860.0,4860.0,2,4860.0,24,2
20160104 09:00:47.000,4860.0,4860.0,4860.0,4865.0,4,4860.0,7,26
20160104 09:00:48.000,4855.0,4860.0,4860.0,4865.0,14,4860.0,24,26
20160104 09:01:08.000,4855.0,4855.0,4855.0,4860.0,4,4855.0,22,20
20160104 09:01:08.500,4855.0,4855.0,4855.0,4860.0,38,4855.0,18,5
20160104 09:01:13.000,4855.0,4860.0,4860.0,4860.0,2,4860.0,18,29
20160104 09:01:27.000,4855.0,4860.0,4860.0,4860.0,2,4860.0,28,58
20160104 09:01:28.000,4855.0,4860.0,4860.0,4860.0,2,4860.0,28,57
20160104 09:01:31.000,4855.0,4860.0,4860.0,4860.0,2,4860.0,28,56
20160104 09:01:32.000,4855.0,4860.0,4860.0,4860.0,4,4860.0,28,54
20160104 09:01:48.000,4855.0,4860.0,4860.0,4860.0,10,4860.0,28,19
20160104 09:01:57.000,4855.0,4855.0,4855.0,4860.0,2,4855.0,30,19
20160104 09:02:25.000,4860.0,4860.0,4860.0,4865.0,88,4860.0,4,43
20160104 09:02:32.000,4855.0,4860.0,4860.0,4860.0,24,4860.0,56,8
20160104 09:02:33.000,4855.0,4860.0,4860.0,4860.0,2,4860.0,56,7
20160104 09:02:42.000,4855.0,4860.0,4860.0,4860.0,2,4860.0,56,31
20160104 09:02:46.000,4855.0,4860.0,4860.0,4860.0,12,4860.0,56,26
20160104 09:02:48.000,4855.0,4860.0,4860.0,4860.0,2,4860.0,56,25
20160104 09:03:01.000,4855.0,4855.0,4855.0,4860.0,4,4855.0,53,25
20160104 09:03:14.000,4855.0,4855.0,4855.0,4860.0,44,4855.0,46,25
20160104 09:03:28.000,4855.0,4855.0,4855.0,4860.0,2,4855.0,41,25
20160104 09:03:28.500,4850.0,4855.0,4855.0,4855.0,82,4855.0,57,9
20160104 09:03:32.000,4850.0,4850.0,4850.0,4855.0,72,4850.0,21,9
20160104 09:03:35.000,4850.0,4850.0,4850.0,4855.0,36,4850.0,3,33
20160104 09:03:38.000,4850.0,4850.0,4850.0,4855.0,20,4850.0,4,39
20160104 09:03:40.000,4845.0,4850.0,4850.0,4850.0,8,4850.0,4,7
20160104 09:03:46.000,4845.0,4850.0,4850.0,4850.0,14,4850.0,3,10
20160104 09:03:57.000,4845.0,4845.0,4845.0,4850.0,2,4845.0,16,7
20160104 09:03:58.000,4845.0,4850.0,4850.0,4850.0,4,4850.0,16,5
20160104 09:04:12.000,4845.0,4845.0,4845.0,4850.0,2,4845.0,15,6
20160104 09:04:13.000,4845.0,4850.0,4850.0,4850.0,10,4850.0,15,1
20160104 09:04:24.000,4850.0,4850.0,4850.0,4855.0,2,4850.0,6,42
20160104 09:04:29.000,4850.0,4855.0,4855.0,4855.0,10,4855.0,11,37
20160104 09:04:58.000,4850.0,4850.0,4850.0,4855.0,16,4850.0,12,45
20160104 09:04:59.000,4850.0,4855.0,4855.0,4855.0,14,4855.0,12,38
20160104 09:05:06.000,4850.0,4850.0,4850.0,4855.0,4,4850.0,10,38
20160104 09:05:49.000,4850.0,4850.0,4850.0,4855.0,2,4850.0,15,37
20160104 09:06:06.000,4845.0,4850.0,4850.0,4855.0,30,4850.0,24,37
20160104 09:06:30.000,4850.0,4850.0,4850.0,4855.0,2,4850.0,5,38
20160104 09:06:34.000,4845.0,4850.0,4850.0,4850.0,10,4850.0,19,5
20160104 09:07:00.000,4845.0,4845.0,4845.0,4850.0,2,4845.0,20,9
20160104 09:07:12.000,4845.0,4845.0,4845.0,4850.0,4,4845.0,21,13
