Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160104 20:59:00.500,10670,10670,10670,10675,64,10670,28,15
20160104 21:00:00.500,10630,10670,10670,10645,120,10670,2,20
20160104 21:00:01.000,10640,10670,10640,10645,122,10640,19,20
20160104 21:00:01.500,10640,10670,10640,10645,130,10645,39,16
20160104 21:00:02.000,10640,10670,10640,10645,132,10645,39,15
20160104 21:00:02.500,10640,10670,10640,10645,132,10645,19,15
20160104 21:00:03.000,10640,10670,10640,10645,132,10645,19,15
20160104 21:00:03.500,10630,10670,10640,10645,132,10645,22,15
20160104 21:00:04.000,10640,10670,10640,10650,132,10645,19,38
20160104 21:00:04.500,10640,10670,10640,10650,134,10640,18,18
20160104 21:00:05.000,10640,10670,10640,10655,134,10640,23,38
20160104 21:00:05.500,10645,10670,10640,10650,134,10640,1,10
20160104 21:00:06.000,10645,10670,10640,10650,134,10640,1,29
20160104 21:00:06.500,10645,10670,10640,10650,138,10650,1,27
20160104 21:00:07.000,10640,10670,10640,10650,140,10645,18,25
20160104 21:00:08.000,10640,10670,10640,10650,140,10645,18,28
20160104 21:00:08.500,10640,10670,10640,10650,140,10645,18,46
20160104 21:00:09.000,10645,10670,10640,10650,140,10645,5,46
20160104 21:00:09.500,10640,10670,10640,10645,150,10645,5,15
20160104 21:00:10.000,10640,10670,10640,10645,150,10645,28,18
20160104 21:00:10.500,10640,10670,10640,10645,160,10645,43,13
20160104 21:00:11.000,10645,10670,10640,10650,160,10645,3,20
20160104 21:00:11.500,10645,10670,10640,10650,162,10645,2,20
20160104 21:00:12.000,10640,10670,10640,10645,166,10645,23,8
20160104 21:00:12.500,10640,10670,10640,10645,168,10645,23,7
20160104 21:00:13.000,10645,10670,10640,10655,168,10645,3,20
20160104 21:00:13.500,10645,10670,10640,10650,168,10645,3,13
20160104 21:00:14.000,10645,10670,10640,10650,168,10645,3,13
20160104 21:00:14.500,10645,10670,10640,10650,168,10645,13,13
20160104 21:00:15.000,10645,10670,10640,10650,168,10645,13,13
20160104 21:00:15.500,10645,10670,10640,10650,168,10645,13,13
20160104 21:00:16.000,10645,10670,10640,10650,168,10645,20,17
20160104 21:00:16.500,10645,10670,10640,10650,168,10645,20,17
20160104 21:00:17.000,10645,10670,10640,10650,168,10645,40,17
20160104 21:00:17.500,10645,10670,10640,10650,204,10650,40,3
20160104 21:00:18.000,10650,10670,10640,10655,210,10650,10,20
20160104 21:00:18.500,10650,10670,10640,10655,210,10650,10,20
20160104 21:00:19.000,10650,10670,10640,10655,210,10650,11,20
20160104 21:00:19.500,10650,10670,10640,10655,210,10650,11,20
