Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160106 08:59:00.964,3250,3250,3250,3251,770,3250,25,9
20160106 09:00:00.642,3251,3252,3250,3252,832,3250,1,115
20160106 09:00:01.138,3250,3252,3246,3252,1718,3252,2,106
20160106 09:00:01.638,3246,3253,3246,3249,2174,3250,2,5
20160106 09:00:02.139,3245,3253,3246,3246,2220,3246,59,12
20160106 09:00:02.630,3245,3253,3245,3246,2302,3245,35,17
20160106 09:00:03.140,3245,3253,3245,3246,2344,3245,24,7
20160106 09:00:03.645,3246,3253,3245,3247,2416,3246,15,20
20160106 09:00:04.145,3246,3253,3245,3247,2466,3246,5,15
20160106 09:00:04.655,3246,3253,3245,3247,2478,3247,1,13
20160106 09:00:05.154,3245,3253,3245,3246,2492,3246,10,24
20160106 09:00:05.651,3245,3253,3245,3246,2508,3245,4,27
20160106 09:00:06.159,3243,3253,3245,3245,2550,3246,106,12
20160106 09:00:06.633,3243,3253,3245,3245,2552,3246,106,12
20160106 09:00:07.174,3243,3253,3243,3245,2562,3243,102,13
20160106 09:00:07.684,3244,3253,3243,3245,2718,3245,1,4
20160106 09:00:08.169,3242,3253,3242,3243,2912,3242,86,9
20160106 09:00:08.674,3242,3253,3242,3243,2916,3242,85,10
20160106 09:00:09.183,3242,3253,3242,3243,2984,3242,57,4
20160106 09:00:09.684,3242,3253,3242,3243,3014,3242,42,4
20160106 09:00:10.196,3242,3253,3242,3244,3024,3244,42,1
20160106 09:00:10.667,3244,3253,3242,3245,3028,3243,1,12
20160106 09:00:11.136,3243,3253,3242,3245,3062,3243,98,3
20160106 09:00:11.665,3243,3253,3242,3244,3066,3243,100,1
20160106 09:00:12.217,3245,3253,3242,3246,3080,3245,18,1
20160106 09:00:12.691,3245,3253,3242,3246,3104,3245,36,1
20160106 09:00:13.088,3245,3253,3242,3246,3148,3245,15,1
20160106 09:00:13.725,3246,3253,3242,3247,3172,3246,1,13
20160106 09:00:14.201,3246,3253,3242,3247,3188,3247,4,10
20160106 09:00:14.729,3245,3253,3242,3246,3202,3245,9,4
20160106 09:00:15.096,3245,3253,3242,3246,3224,3247,7,1
20160106 09:00:15.718,3245,3253,3242,3246,3228,3245,5,2
20160106 09:00:16.231,3244,3253,3242,3245,3238,3245,3,1
20160106 09:00:16.725,3244,3253,3242,3245,3246,3245,3,8
20160106 09:00:17.136,3244,3253,3242,3245,3250,3245,3,9
20160106 09:00:17.732,3244,3253,3242,3245,3258,3244,1,9
20160106 09:00:18.225,3244,3253,3242,3245,3260,3245,6,13
20160106 09:00:18.716,3243,3253,3242,3245,3302,3245,101,2
20160106 09:00:19.201,3246,3253,3242,3247,3332,3246,6,11
20160106 09:00:19.729,3243,3253,3242,3244,3350,3245,102,3
20160106 09:00:20.293,3243,3253,3242,3246,3372,3244,102,10
20160106 09:00:20.795,3243,3253,3242,3245,3462,3243,67,1
20160106 09:00:21.796,3244,3253,3242,3246,3464,3245,43,20
20160106 09:00:22.301,3244,3253,3242,3245,3466,3244,42,5
20160106 09:00:22.669,3244,3253,3242,3245,3476,3245,62,2
20160106 09:00:23.237,3244,3253,3242,3245,3480,3244,63,1
20160106 09:00:23.784,3244,3253,3242,3246,3508,3244,64,31
20160106 09:00:24.316,3245,3253,3242,3246,3512,3244,2,31
20160106 09:00:24.791,3244,3253,3242,3245,3580,3244,32,1
20160106 09:00:25.090,3244,3253,3242,3245,3582,3244,31,1
20160106 09:00:25.800,3245,3253,3242,3246,3608,3245,90,31
20160106 09:00:26.310,3247,3253,3242,3248,3704,3247,3,6
20160106 09:00:26.830,3246,3253,3242,3247,3742,3246,34,8
20160106 09:00:27.323,3246,3253,3242,3247,3766,3246,22,8
