Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160104 20:59:00.500,10095,10095,10095,10100,54,10095,1,15
20160104 21:00:00.500,10085,10095,10090,10090,94,10090,3,9
20160104 21:00:01.000,10080,10095,10080,10085,122,10080,2,13
20160104 21:00:01.500,10070,10095,10080,10075,134,10080,7,1
20160104 21:00:02.000,10065,10095,10070,10070,156,10075,1,5
20160104 21:00:02.500,10060,10095,10065,10070,176,10070,17,5
20160104 21:00:03.000,10070,10095,10065,10075,188,10070,4,2
20160104 21:00:03.500,10075,10095,10060,10080,208,10080,1,6
20160104 21:00:04.000,10075,10095,10060,10080,210,10080,2,5
20160104 21:00:04.500,10060,10095,10060,10075,216,10075,16,3
20160104 21:00:05.000,10060,10095,10060,10075,218,10060,16,3
20160104 21:00:05.500,10075,10095,10060,10080,236,10080,1,2
20160104 21:00:06.000,10075,10095,10060,10080,240,10075,2,1
20160104 21:00:06.500,10075,10095,10060,10090,244,10090,4,1
20160104 21:00:07.000,10080,10095,10060,10090,244,10090,2,1
20160104 21:00:07.500,10080,10095,10060,10090,246,10080,1,1
20160104 21:00:08.000,10090,10095,10060,10095,248,10090,1,13
20160104 21:00:08.500,10085,10095,10060,10090,250,10090,1,3
20160104 21:00:09.000,10080,10095,10060,10085,254,10085,3,1
20160104 21:00:09.500,10080,10095,10060,10085,254,10085,3,1
20160104 21:00:10.000,10080,10095,10060,10085,254,10085,4,1
20160104 21:00:10.500,10075,10095,10060,10080,264,10075,3,2
20160104 21:00:11.000,10080,10095,10060,10085,268,10080,6,1
20160104 21:00:11.500,10085,10095,10060,10090,274,10085,4,5
20160104 21:00:12.000,10085,10095,10060,10090,276,10085,3,18
20160104 21:00:12.500,10085,10095,10060,10090,276,10085,4,18
20160104 21:00:13.000,10085,10095,10060,10090,278,10085,3,5
20160104 21:00:13.500,10090,10095,10060,10095,288,10090,5,14
20160104 21:00:14.000,10090,10095,10060,10095,290,10090,4,27
20160104 21:00:14.500,10090,10095,10060,10095,292,10090,3,31
20160104 21:00:15.000,10090,10095,10060,10095,292,10090,3,27
20160104 21:00:15.500,10090,10095,10060,10095,294,10090,2,27
20160104 21:00:16.000,10090,10095,10060,10095,294,10090,2,14
20160104 21:00:16.500,10090,10095,10060,10095,294,10090,2,15
20160104 21:00:17.000,10090,10095,10060,10095,296,10095,2,14
20160104 21:00:17.500,10090,10095,10060,10095,296,10095,3,14
20160104 21:00:18.000,10090,10095,10060,10095,298,10090,2,14
20160104 21:00:18.500,10090,10095,10060,10095,298,10090,2,14
20160104 21:00:19.000,10090,10095,10060,10095,298,10090,2,14
20160104 21:00:19.500,10090,10095,10060,10095,300,10095,2,14
20160104 21:00:20.000,10090,10095,10060,10095,300,10095,2,14
20160104 21:00:20.500,10090,10095,10060,10095,300,10095,2,14
20160104 21:00:21.000,10090,10095,10060,10095,302,10090,2,15
20160104 21:00:21.500,10090,10095,10060,10095,304,10090,1,18
20160104 21:00:22.000,10085,10095,10060,10095,306,10090,8,18
20160104 21:00:22.500,10085,10095,10060,10090,306,10090,8,4
20160104 21:00:23.000,10085,10095,10060,10090,306,10090,9,5
20160104 21:00:24.000,10085,10095,10060,10090,308,10090,9,4
20160104 21:00:24.500,10085,10095,10060,10090,308,10090,10,3
20160104 21:00:25.000,10085,10095,10060,10090,308,10090,11,3
20160104 21:00:25.500,10085,10095,10060,10090,310,10090,11,2
20160104 21:00:26.000,10090,10095,10060,10095,314,10090,6,17
20160104 21:00:26.500,10090,10095,10060,10095,314,10090,8,19
20160104 21:00:27.000,10090,10095,10060,10095,314,10090,2,19
20160104 21:00:27.500,10090,10095,10060,10095,314,10090,3,20
20160104 21:00:28.000,10085,10095,10060,10095,324,10090,9,24
20160104 21:00:28.500,10085,10095,10060,10095,324,10090,10,24
20160104 21:00:29.000,10085,10095,10060,10095,334,10095,10,19
20160104 21:00:29.500,10085,10095,10060,10095,342,10090,7,19
20160104 21:00:30.000,10090,10095,10060,10095,342,10090,3,19
20160104 21:00:30.500,10090,10095,10060,10095,342,10090,3,19
20160104 21:00:31.000,10090,10095,10060,10095,344,10095,4,17
20160104 21:00:31.500,10090,10095,10060,10095,348,10090,4,18
20160104 21:00:32.000,10090,10095,10060,10095,348,10090,6,18
20160104 21:00:32.500,10090,10095,10060,10095,348,10090,8,18
20160104 21:00:33.000,10090,10095,10060,10095,350,10090,9,20
20160104 21:00:33.500,10090,10095,10060,10095,350,10090,10,18
20160104 21:00:34.000,10090,10095,10060,10095,350,10090,11,18
20160104 21:00:34.500,10090,10095,10060,10095,350,10090,11,18
20160104 21:00:35.000,10090,10095,10060,10095,352,10095,12,17
20160104 21:00:35.500,10090,10095,10060,10095,352,10095,13,17
20160104 21:00:36.000,10090,10095,10060,10095,352,10095,13,17
20160104 21:00:36.500,10090,10095,10060,10095,352,10095,14,17
20160104 21:00:37.000,10090,10095,10060,10095,354,10090,33,17
20160104 21:00:37.500,10090,10095,10060,10095,354,10090,33,17
20160104 21:00:38.000,10090,10095,10060,10095,376,10095,34,8
20160104 21:00:38.500,10095,10095,10060,10100,392,10095,15,73
20160104 21:00:39.000,10095,10095,10060,10100,392,10095,17,73
20160104 21:00:39.500,10095,10095,10060,10100,392,10095,11,75
20160104 21:00:40.000,10095,10095,10060,10100,392,10095,11,73
20160104 21:00:40.500,10095,10095,10060,10100,392,10095,12,73
20160104 21:00:41.000,10095,10095,10060,10100,394,10095,12,73
20160104 21:00:42.000,10095,10095,10060,10100,416,10095,2,73
20160104 21:00:42.500,10095,10100,10060,10100,418,10100,2,72
20160104 21:00:43.000,10095,10100,10060,10100,420,10100,2,71
20160104 21:00:43.500,10095,10100,10060,10100,420,10100,3,71
20160104 21:00:44.000,10090,10100,10060,10095,426,10095,33,9
20160104 21:00:44.500,10090,10100,10060,10095,426,10095,33,11
20160104 21:00:45.000,10090,10100,10060,10095,426,10095,33,11
20160104 21:00:45.500,10090,10100,10060,10095,426,10095,33,12
20160104 21:00:46.000,10090,10100,10060,10095,426,10095,33,12
20160104 21:00:46.500,10090,10100,10060,10095,428,10095,33,11
20160104 21:00:47.500,10090,10100,10060,10095,430,10095,33,10
20160104 21:00:48.000,10090,10100,10060,10095,440,10095,36,5
20160104 21:00:49.000,10090,10100,10060,10100,450,10095,36,73
20160104 21:00:49.500,10090,10100,10060,10100,450,10095,37,75
20160104 21:00:50.000,10095,10100,10060,10100,450,10095,1,75
20160104 21:00:50.500,10095,10100,10060,10100,450,10095,2,75
20160104 21:00:51.000,10095,10100,10060,10100,450,10095,2,75
20160104 21:00:51.500,10095,10100,10060,10100,450,10095,3,75
20160104 21:00:52.000,10095,10100,10060,10100,450,10095,3,75
20160104 21:00:52.500,10095,10100,10060,10100,450,10095,3,75
20160104 21:00:53.000,10095,10100,10060,10100,452,10095,2,75
20160104 21:00:53.500,10095,10100,10060,10100,452,10095,2,75
20160104 21:00:54.000,10090,10100,10060,10095,456,10095,37,4
20160104 21:00:54.500,10090,10100,10060,10095,456,10095,37,5
20160104 21:00:55.000,10090,10100,10060,10095,458,10090,36,5
20160104 21:00:55.500,10090,10100,10060,10095,458,10090,36,15
20160104 21:00:56.500,10090,10100,10060,10095,460,10095,36,14
20160104 21:00:57.500,10090,10100,10060,10095,460,10095,36,14
20160104 21:00:58.000,10090,10100,10060,10095,462,10095,35,13
20160104 21:00:58.500,10090,10100,10060,10095,464,10095,35,14
20160104 21:00:59.000,10090,10100,10060,10095,466,10095,35,13
20160104 21:01:00.000,10090,10100,10060,10095,466,10095,35,16
20160104 21:01:00.500,10090,10100,10060,10095,466,10095,36,17
20160104 21:01:01.000,10090,10100,10060,10095,486,10090,26,17
20160104 21:01:01.500,10090,10100,10060,10095,486,10090,26,17
20160104 21:01:02.000,10090,10100,10060,10095,496,10090,21,17
20160104 21:01:02.500,10090,10100,10060,10095,498,10095,21,16
20160104 21:01:03.000,10090,10100,10060,10095,498,10095,21,17
20160104 21:01:03.500,10090,10100,10060,10095,500,10095,21,16
20160104 21:01:04.000,10090,10100,10060,10095,500,10095,21,16
20160104 21:01:04.500,10090,10100,10060,10095,502,10090,20,20
20160104 21:01:05.000,10090,10100,10060,10095,504,10090,20,20
20160104 21:01:05.500,10090,10100,10060,10095,510,10090,19,19
20160104 21:01:06.000,10090,10100,10060,10095,510,10090,19,19
20160104 21:01:07.500,10090,10100,10060,10095,510,10090,19,19
20160104 21:01:08.000,10090,10100,10060,10095,510,10090,19,19
20160104 21:01:08.500,10090,10100,10060,10095,512,10095,19,18
20160104 21:01:09.500,10090,10100,10060,10095,512,10095,19,18
20160104 21:01:10.000,10090,10100,10060,10095,512,10095,20,18
20160104 21:01:10.500,10090,10100,10060,10095,514,10090,19,17
20160104 21:01:11.000,10090,10100,10060,10095,540,10095,20,4
20160104 21:01:11.500,10090,10100,10060,10095,542,10095,20,3
20160104 21:01:12.000,10090,10100,10060,10095,544,10090,19,3
20160104 21:01:12.500,10090,10100,10060,10095,546,10090,18,4
20160104 21:01:13.000,10090,10100,10060,10095,548,10090,18,4
20160104 21:01:14.000,10090,10100,10060,10095,548,10090,18,4
20160104 21:01:14.500,10090,10100,10060,10095,548,10090,18,4
20160104 21:01:15.000,10090,10100,10060,10095,552,10095,18,2
20160104 21:01:15.500,10095,10100,10060,10100,556,10095,6,71
20160104 21:01:16.000,10095,10100,10060,10100,558,10095,6,71
20160104 21:01:16.500,10095,10100,10060,10100,558,10095,7,71
20160104 21:01:17.000,10095,10100,10060,10100,558,10095,4,71
20160104 21:01:17.500,10095,10100,10060,10100,562,10100,2,69
20160104 21:01:18.000,10095,10100,10060,10100,562,10100,2,69
20160104 21:01:18.500,10095,10100,10060,10100,562,10100,2,69
20160104 21:01:19.000,10095,10100,10060,10100,562,10100,3,69
20160104 21:01:19.500,10095,10100,10060,10100,562,10100,3,70
20160104 21:01:21.000,10095,10100,10060,10100,566,10100,3,68
20160104 21:01:21.500,10095,10100,10060,10100,566,10100,8,68
20160104 21:01:22.000,10095,10100,10060,10100,568,10095,7,68
20160104 21:01:22.500,10095,10100,10060,10100,568,10095,13,68
20160104 21:01:23.000,10095,10100,10060,10100,568,10095,17,66
20160104 21:01:23.500,10095,10100,10060,10100,572,10100,16,65
20160104 21:01:24.000,10095,10100,10060,10100,572,10100,16,66
20160104 21:01:24.500,10095,10100,10060,10100,580,10095,12,67
20160104 21:01:25.500,10095,10100,10060,10100,582,10100,12,66
20160104 21:01:26.500,10095,10100,10060,10100,588,10100,13,63
20160104 21:01:27.000,10095,10100,10060,10100,594,10100,12,60
20160104 21:01:27.500,10095,10100,10060,10100,596,10100,12,59
20160104 21:01:28.000,10095,10100,10060,10100,598,10095,14,59
20160104 21:01:28.500,10095,10100,10060,10100,598,10095,14,59
20160104 21:01:31.500,10095,10100,10060,10100,602,10095,13,60
20160104 21:01:32.000,10095,10100,10060,10100,616,10095,6,60
20160104 21:01:32.500,10090,10100,10060,10100,628,10095,25,62
20160104 21:01:33.000,10090,10100,10060,10095,628,10095,24,2
20160104 21:01:33.500,10090,10100,10060,10095,632,10095,25,1
20160104 21:01:34.000,10090,10100,10060,10100,634,10095,24,64
20160104 21:01:34.500,10090,10100,10060,10100,634,10095,24,64
20160104 21:01:35.500,10090,10100,10060,10100,634,10095,24,63
20160104 21:01:36.000,10090,10100,10060,10100,634,10095,24,63
20160104 21:01:36.500,10090,10100,10060,10100,636,10090,23,63
20160104 21:01:37.000,10090,10100,10060,10100,636,10090,23,63
20160104 21:01:37.500,10090,10100,10060,10095,636,10090,23,2
20160104 21:01:38.000,10090,10100,10060,10100,636,10090,23,63
20160104 21:01:38.500,10090,10100,10060,10095,640,10100,23,1
20160104 21:01:39.500,10090,10100,10060,10095,640,10100,23,2
20160104 21:01:41.000,10095,10100,10060,10100,644,10095,3,61
20160104 21:01:41.500,10095,10100,10060,10100,648,10095,3,63
20160104 21:01:42.000,10095,10100,10060,10100,650,10100,4,62
20160104 21:01:42.500,10095,10100,10060,10100,650,10100,10,62
20160104 21:01:43.000,10095,10100,10060,10100,654,10095,8,62
20160104 21:01:43.500,10095,10100,10060,10100,658,10095,1,61
20160104 21:01:44.000,10090,10100,10060,10100,662,10095,24,61
20160104 21:01:44.500,10090,10100,10060,10100,662,10095,24,61
20160104 21:01:45.000,10090,10100,10060,10100,664,10100,24,60
20160104 21:01:45.500,10090,10100,10060,10100,664,10100,24,60
20160104 21:01:46.000,10090,10100,10060,10100,666,10100,24,59
20160104 21:01:46.500,10090,10100,10060,10100,666,10100,24,59
20160104 21:01:47.000,10090,10100,10060,10095,666,10100,24,1
20160104 21:01:47.500,10090,10100,10060,10095,666,10100,24,2
20160104 21:01:48.000,10090,10100,10060,10095,666,10100,30,2
20160104 21:01:48.500,10090,10100,10060,10095,666,10100,30,2
20160104 21:01:49.000,10090,10100,10060,10095,668,10095,30,1
20160104 21:01:49.500,10090,10100,10060,10100,670,10095,30,59
20160104 21:01:50.500,10090,10100,10060,10100,670,10095,30,60
20160104 21:01:51.000,10090,10100,10060,10100,670,10095,30,60
20160104 21:01:51.500,10090,10100,10060,10100,670,10095,30,61
20160104 21:01:52.500,10090,10100,10060,10100,670,10095,30,61
20160104 21:01:53.000,10095,10100,10060,10100,670,10095,1,61
20160104 21:01:53.500,10095,10100,10060,10100,672,10095,1,61
20160104 21:01:54.000,10090,10100,10060,10100,684,10095,30,56
20160104 21:01:54.500,10090,10100,10060,10100,684,10095,30,56
20160104 21:01:55.000,10090,10100,10060,10100,690,10100,30,53
20160104 21:01:55.500,10090,10100,10060,10095,690,10100,30,4
20160104 21:01:56.000,10090,10100,10060,10095,690,10100,30,5
20160104 21:01:56.500,10090,10100,10060,10095,690,10100,29,5
20160104 21:01:57.500,10090,10100,10060,10095,690,10100,30,5
20160104 21:01:58.000,10090,10100,10060,10095,692,10095,31,4
20160104 21:01:58.500,10090,10100,10060,10095,692,10095,32,4
20160104 21:01:59.000,10090,10100,10060,10095,692,10095,32,4
20160104 21:01:59.500,10090,10100,10060,10095,694,10095,32,3
20160104 21:02:00.500,10090,10100,10060,10095,694,10095,32,3
20160104 21:02:01.000,10090,10100,10060,10095,698,10095,32,1
20160104 21:02:01.500,10090,10100,10060,10100,710,10090,27,54
20160104 21:02:02.000,10090,10100,10060,10095,710,10090,27,1
20160104 21:02:03.500,10090,10100,10060,10095,710,10090,27,1
20160104 21:02:04.000,10090,10100,10060,10095,710,10090,28,1
20160104 21:02:04.500,10090,10100,10060,10095,712,10090,27,1
20160104 21:02:05.500,10090,10100,10060,10095,716,10095,26,1
20160104 21:02:06.000,10090,10100,10060,10095,722,10095,26,4
20160104 21:02:07.500,10090,10100,10060,10095,722,10095,26,5
20160104 21:02:08.000,10090,10100,10060,10095,728,10095,24,4
20160104 21:02:09.500,10090,10100,10060,10095,728,10095,23,4
20160104 21:02:10.000,10090,10100,10060,10095,728,10095,23,4
20160104 21:02:10.500,10090,10100,10060,10095,728,10095,24,4
20160104 21:02:12.000,10090,10100,10060,10095,728,10095,24,4
20160104 21:02:12.500,10090,10100,10060,10095,728,10095,23,4
20160104 21:02:13.500,10090,10100,10060,10095,732,10095,23,2
20160104 21:02:14.500,10090,10100,10060,10095,736,10095,23,1
20160104 21:02:15.000,10095,10100,10060,10100,738,10095,16,55
20160104 21:02:15.500,10095,10100,10060,10100,738,10095,16,53
20160104 21:02:16.000,10095,10100,10060,10100,738,10095,16,53
20160104 21:02:16.500,10095,10100,10060,10100,738,10095,16,53
20160104 21:02:17.000,10095,10100,10060,10100,740,10100,18,52
20160104 21:02:17.500,10095,10100,10060,10100,740,10100,19,52
20160104 21:02:18.000,10095,10100,10060,10100,740,10100,20,52
20160104 21:02:19.000,10095,10100,10060,10100,740,10100,21,52
