Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160107 09:02:02.000,5638,5658,5616,5640,5840,5640,14,2
20160107 09:02:06.000,5638,5658,5616,5640,5840,5640,13,3
20160107 09:02:07.000,5638,5658,5616,5640,5840,5640,14,2
20160107 09:02:09.000,5640,5658,5616,5642,5844,5640,2,2
20160107 09:02:10.000,5640,5658,5616,5642,5846,5640,2,3
20160107 09:02:13.000,5640,5658,5616,5642,5846,5640,3,3
20160107 09:02:15.000,5640,5658,5616,5642,5846,5640,3,1
20160107 09:02:16.000,5640,5658,5616,5644,5848,5642,4,3
20160107 09:02:19.000,5640,5658,5616,5642,5912,5640,3,88
20160107 09:02:26.000,5640,5658,5616,5642,5912,5640,4,88
20160107 09:02:30.000,5640,5658,5616,5642,5922,5640,5,88
20160107 09:02:33.000,5640,5658,5616,5642,5924,5640,4,88
20160107 09:02:34.000,5640,5658,5616,5642,5924,5640,4,91
20160107 09:02:36.000,5640,5658,5616,5642,5924,5640,4,90
20160107 09:02:38.000,5640,5658,5616,5642,5924,5640,3,39
20160107 09:02:39.000,5640,5658,5616,5642,5924,5640,19,39
20160107 09:02:39.000,5640,5658,5616,5642,5928,5640,17,39
20160107 09:02:41.000,5640,5658,5616,5642,5928,5640,17,41
20160107 09:02:42.000,5640,5658,5616,5642,5928,5640,19,41
20160107 09:02:44.000,5638,5658,5616,5642,5966,5640,16,41
20160107 09:02:46.000,5638,5658,5616,5642,5966,5640,17,37
20160107 09:02:48.000,5638,5658,5616,5642,5966,5640,17,39
20160107 09:02:49.000,5638,5658,5616,5642,5966,5640,18,44
20160107 09:02:51.000,5638,5658,5616,5640,5966,5640,13,21
20160107 09:02:52.000,5638,5658,5616,5640,5966,5640,13,24
20160107 09:02:56.000,5638,5658,5616,5640,5966,5640,13,23
20160107 09:02:57.000,5638,5658,5616,5640,5966,5640,13,22
20160107 09:02:58.000,5638,5658,5616,5640,5966,5640,13,22
20160107 09:03:00.000,5638,5658,5616,5640,5966,5640,13,19
20160107 09:03:01.000,5638,5658,5616,5640,5968,5640,13,18
20160107 09:03:02.000,5638,5658,5616,5640,5968,5640,13,2
20160107 09:03:04.000,5640,5658,5616,5642,5976,5640,6,50
20160107 09:03:05.000,5640,5658,5616,5642,5986,5640,1,60
20160107 09:03:06.000,5640,5658,5616,5642,5986,5640,1,55
20160107 09:03:09.000,5638,5658,5616,5640,5988,5640,14,12
20160107 09:03:10.000,5638,5658,5616,5640,5990,5640,14,10
20160107 09:03:11.000,5638,5658,5616,5640,5990,5640,14,9
20160107 09:03:12.000,5638,5658,5616,5640,5990,5640,13,8
20160107 09:03:13.000,5638,5658,5616,5640,5990,5640,13,11
20160107 09:03:14.000,5638,5658,5616,5640,5990,5640,13,8
20160107 09:03:15.000,5638,5658,5616,5640,5990,5640,13,8
20160107 09:03:16.000,5638,5658,5616,5640,5992,5640,13,7
20160107 09:03:17.000,5638,5658,5616,5640,5992,5640,13,8
20160107 09:03:19.000,5638,5658,5616,5640,5992,5640,13,9
20160107 09:03:22.000,5638,5658,5616,5640,5992,5640,13,12
20160107 09:03:30.000,5638,5658,5616,5640,5994,5640,13,11
20160107 09:03:31.000,5638,5658,5616,5640,5994,5640,14,11
20160107 09:03:35.000,5638,5658,5616,5640,5994,5640,14,12
20160107 09:03:40.000,5638,5658,5616,5640,5994,5640,14,9
20160107 09:03:43.000,5638,5658,5616,5640,5994,5640,14,10
20160107 09:03:46.000,5638,5658,5616,5642,6014,5640,14,32
20160107 09:03:51.000,5638,5658,5616,5642,6014,5640,15,32
20160107 09:03:54.000,5638,5658,5616,5640,6014,5640,15,12
20160107 09:03:56.000,5638,5658,5616,5640,6016,5640,15,12
20160107 09:03:56.000,5638,5658,5616,5640,6020,5640,15,10
20160107 09:04:01.000,5638,5658,5616,5640,6024,5640,15,11
20160107 09:04:02.000,5638,5658,5616,5640,6024,5640,16,11
20160107 09:04:05.000,5638,5658,5616,5640,6026,5640,16,10
20160107 09:04:05.000,5638,5658,5616,5640,6032,5640,16,4
20160107 09:04:07.000,5638,5658,5616,5640,6038,5640,16,11
20160107 09:04:08.000,5638,5658,5616,5640,6040,5640,16,10
20160107 09:04:09.000,5638,5658,5616,5642,6040,5640,21,32
20160107 09:04:10.000,5638,5658,5616,5642,6040,5640,21,35
20160107 09:04:11.000,5638,5658,5616,5642,6040,5640,21,32
20160107 09:04:12.000,5638,5658,5616,5642,6040,5640,21,18
20160107 09:04:13.000,5640,5658,5616,5644,6042,5642,5,4
20160107 09:04:14.000,5640,5658,5616,5644,6042,5642,3,32
20160107 09:04:15.000,5640,5658,5616,5644,6042,5642,4,33
20160107 09:04:17.000,5640,5658,5616,5644,6042,5642,4,8
20160107 09:04:20.000,5640,5658,5616,5644,6042,5642,9,21
20160107 09:04:21.000,5642,5658,5616,5644,6042,5642,1,21
20160107 09:04:23.000,5642,5658,5616,5644,6042,5642,1,20
20160107 09:04:24.000,5642,5658,5616,5644,6042,5642,1,5
20160107 09:04:26.000,5642,5658,5616,5646,6044,5644,6,13
20160107 09:04:26.000,5642,5658,5616,5646,6054,5642,10,13
20160107 09:04:29.000,5642,5658,5616,5646,6054,5642,10,8
20160107 09:04:29.000,5642,5658,5616,5648,6062,5646,10,52
20160107 09:04:31.000,5644,5658,5616,5648,6062,5646,7,52
20160107 09:04:32.000,5644,5658,5616,5648,6062,5646,5,52
20160107 09:04:33.000,5644,5658,5616,5648,6062,5646,9,52
20160107 09:04:34.000,5644,5658,5616,5648,6062,5646,1,52
20160107 09:04:35.000,5642,5658,5616,5646,6062,5646,4,2
20160107 09:04:36.000,5642,5658,5616,5646,6062,5646,4,6
20160107 09:04:38.000,5642,5658,5616,5646,6062,5646,4,12
20160107 09:04:39.000,5642,5658,5616,5646,6064,5646,5,12
20160107 09:04:40.000,5642,5658,5616,5646,6064,5646,8,10
20160107 09:04:41.000,5642,5658,5616,5648,6064,5646,9,55
20160107 09:04:42.000,5642,5658,5616,5646,6064,5646,9,2
20160107 09:04:43.000,5642,5658,5616,5646,6064,5646,9,2
20160107 09:04:45.000,5642,5658,5616,5646,6064,5646,9,29
20160107 09:04:46.000,5642,5658,5616,5646,6064,5646,9,28
20160107 09:04:47.000,5642,5658,5616,5646,6064,5646,9,29
20160107 09:04:48.000,5642,5658,5616,5646,6064,5646,9,30
20160107 09:04:51.000,5644,5658,5616,5646,6064,5646,3,30
20160107 09:04:52.000,5644,5658,5616,5646,6064,5646,3,29
20160107 09:04:53.000,5644,5658,5616,5646,6064,5646,3,19
20160107 09:04:54.000,5644,5658,5616,5646,6066,5646,3,18
20160107 09:04:55.000,5644,5658,5616,5646,6066,5646,4,18
20160107 09:04:56.000,5644,5658,5616,5646,6066,5646,4,22
20160107 09:04:57.000,5644,5658,5616,5646,6066,5646,4,23
20160107 09:04:58.000,5644,5658,5616,5646,6066,5646,4,21
20160107 09:04:59.000,5644,5658,5616,5646,6066,5646,5,20
20160107 09:05:00.000,5644,5658,5616,5646,6066,5646,5,18
20160107 09:05:01.000,5644,5658,5616,5646,6066,5646,5,7
20160107 09:05:01.000,5644,5658,5616,5648,6070,5646,4,75
20160107 09:05:03.000,5644,5658,5616,5648,6070,5646,5,75
20160107 09:05:05.000,5644,5658,5616,5648,6072,5646,4,75
20160107 09:05:07.000,5644,5658,5616,5646,6072,5646,4,2
20160107 09:05:08.000,5644,5658,5616,5648,6076,5646,4,75
20160107 09:05:09.000,5644,5658,5616,5648,6076,5646,5,74
20160107 09:05:12.000,5644,5658,5616,5646,6076,5646,4,5
20160107 09:05:13.000,5644,5658,5616,5646,6076,5646,4,18
20160107 09:05:15.000,5644,5658,5616,5646,6076,5646,4,1
20160107 09:05:16.000,5644,5658,5616,5646,6076,5646,4,14
20160107 09:05:18.000,5644,5658,5616,5646,6076,5646,6,26
20160107 09:05:25.000,5644,5658,5616,5646,6076,5646,6,28
20160107 09:05:29.000,5644,5658,5616,5646,6076,5646,6,27
20160107 09:05:30.000,5644,5658,5616,5646,6078,5644,5,27
20160107 09:05:30.000,5644,5658,5616,5646,6088,5644,5,27
20160107 09:05:31.000,5644,5658,5616,5646,6088,5644,5,28
20160107 09:05:32.000,5644,5658,5616,5646,6088,5644,5,48
20160107 09:05:36.000,5644,5658,5616,5646,6090,5644,4,49
20160107 09:05:38.000,5644,5658,5616,5646,6094,5644,12,49
20160107 09:05:39.000,5644,5658,5616,5646,6094,5644,12,71
20160107 09:05:42.000,5642,5658,5616,5646,6118,5644,6,71
20160107 09:05:44.000,5642,5658,5616,5646,6118,5644,6,72
20160107 09:05:45.000,5642,5658,5616,5646,6118,5644,5,72
20160107 09:05:46.000,5642,5658,5616,5646,6124,5646,5,69
20160107 09:05:48.000,5642,5658,5616,5644,6124,5646,5,10
20160107 09:05:49.000,5642,5658,5616,5644,6134,5644,6,5
20160107 09:05:51.000,5644,5658,5616,5646,6144,5644,5,62
20160107 09:05:52.000,5644,5658,5616,5646,6144,5644,5,54
20160107 09:05:54.000,5644,5658,5616,5646,6144,5644,5,44
20160107 09:05:55.000,5644,5658,5616,5646,6146,5644,4,43
