Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160106 20:59:00.802,3587,3588,3588,3588,56,3588,4,20
20160106 21:00:00.294,3588,3588,3588,3589,98,3588,25,20
20160106 21:00:00.848,3588,3589,3588,3589,198,3589,5,12
20160106 21:00:01.349,3587,3589,3587,3588,226,3588,28,4
20160106 21:00:01.848,3587,3589,3587,3588,258,3588,20,5
20160106 21:00:02.253,3587,3589,3587,3588,278,3587,30,5
20160106 21:00:02.845,3587,3589,3587,3588,286,3587,28,4
20160106 21:00:03.369,3587,3589,3587,3588,288,3587,27,8
20160106 21:00:03.817,3587,3589,3587,3588,292,3588,29,6
20160106 21:00:04.862,3587,3589,3587,3588,298,3588,34,4
20160106 21:00:05.377,3588,3589,3587,3589,306,3588,8,13
20160106 21:00:05.860,3588,3589,3587,3589,328,3587,15,13
20160106 21:00:06.380,3588,3589,3587,3589,328,3587,26,13
20160106 21:00:07.354,3588,3589,3587,3589,330,3589,27,13
20160106 21:00:07.792,3588,3589,3587,3589,338,3589,27,11
20160106 21:00:08.894,3588,3589,3587,3589,338,3589,28,11
20160106 21:00:09.345,3588,3589,3587,3589,346,3589,32,8
20160106 21:00:09.874,3588,3589,3587,3589,348,3588,32,8
20160106 21:00:10.366,3588,3589,3587,3589,352,3588,33,7
20160106 21:00:10.871,3589,3589,3587,3590,366,3589,6,118
20160106 21:00:11.427,3589,3590,3587,3590,368,3590,12,113
20160106 21:00:11.919,3589,3590,3587,3590,370,3590,12,116
20160106 21:00:12.369,3589,3590,3587,3590,370,3590,12,117
20160106 21:00:12.921,3589,3590,3587,3590,372,3590,16,116
20160106 21:00:13.443,3589,3590,3587,3590,374,3589,24,116
20160106 21:00:13.925,3589,3590,3587,3590,378,3589,26,116
20160106 21:00:14.443,3589,3590,3587,3590,410,3589,10,116
20160106 21:00:14.879,3589,3590,3587,3590,410,3589,18,116
20160106 21:00:15.432,3589,3590,3587,3590,454,3590,26,94
20160106 21:00:15.953,3589,3590,3587,3590,462,3590,27,90
20160106 21:00:16.459,3589,3590,3587,3590,506,3590,26,69
20160106 21:00:16.876,3589,3590,3587,3590,506,3590,28,69
20160106 21:00:17.478,3589,3590,3587,3590,632,3590,3,52
20160106 21:00:17.938,3589,3590,3587,3590,634,3590,4,51
20160106 21:00:18.475,3589,3590,3587,3590,638,3590,6,59
20160106 21:00:18.990,3590,3590,3587,3591,760,3590,20,29
20160106 21:00:19.490,3590,3591,3587,3591,800,3591,27,9
20160106 21:00:20.499,3590,3591,3587,3591,804,3590,25,15
20160106 21:00:22.018,3590,3591,3587,3591,804,3590,25,16
20160106 21:00:22.995,3590,3591,3587,3591,820,3590,22,14
20160106 21:00:23.508,3590,3591,3587,3591,822,3591,23,13
20160106 21:00:24.536,3590,3591,3587,3591,822,3591,23,14
20160106 21:00:24.989,3590,3591,3587,3591,836,3591,29,8
20160106 21:00:25.506,3590,3591,3587,3591,840,3590,27,2
20160106 21:00:26.047,3590,3591,3587,3591,842,3590,26,2
20160106 21:00:26.540,3590,3591,3587,3591,846,3590,25,2
20160106 21:00:27.557,3590,3591,3587,3591,848,3591,63,1
20160106 21:00:28.073,3590,3591,3587,3592,850,3591,64,22
20160106 21:00:28.584,3590,3591,3587,3592,856,3591,67,26
20160106 21:00:29.601,3590,3592,3587,3592,858,3592,67,25
20160106 21:00:30.096,3590,3592,3587,3592,858,3592,107,25
20160106 21:00:30.540,3590,3592,3587,3592,858,3592,107,22
20160106 21:00:31.097,3590,3592,3587,3592,860,3592,108,22
20160106 21:00:31.573,3590,3592,3587,3592,860,3592,108,27
20160106 21:00:32.113,3591,3592,3587,3592,860,3592,23,27
20160106 21:00:32.619,3591,3592,3587,3592,890,3591,8,27
20160106 21:00:33.645,3591,3592,3587,3592,892,3591,8,28
20160106 21:00:34.144,3591,3592,3587,3592,900,3592,8,25
20160106 21:00:34.633,3591,3592,3587,3592,916,3592,16,19
20160106 21:00:35.172,3591,3592,3587,3592,920,3592,19,17
20160106 21:00:35.670,3591,3592,3587,3592,928,3592,16,16
20160106 21:00:37.146,3591,3592,3587,3592,928,3592,17,17
20160106 21:00:38.108,3591,3592,3587,3592,928,3592,83,17
20160106 21:00:38.637,3591,3592,3587,3592,930,3591,83,19
20160106 21:00:39.025,3592,3592,3587,3593,968,3592,20,52
20160106 21:00:39.698,3594,3595,3587,3595,1174,3594,6,1
20160106 21:00:40.209,3594,3596,3587,3596,1186,3596,6,33
20160106 21:00:40.709,3594,3596,3587,3596,1222,3596,6,21
20160106 21:00:41.192,3594,3596,3587,3596,1230,3596,6,20
20160106 21:00:41.679,3596,3597,3587,3597,1456,3596,5,1
20160106 21:00:42.212,3596,3598,3587,3598,1494,3598,13,40
20160106 21:00:42.712,3596,3598,3587,3597,1514,3596,10,4
20160106 21:00:43.207,3596,3598,3587,3597,1530,3597,8,1
20160106 21:00:43.719,3595,3598,3587,3596,1552,3596,6,23
20160106 21:00:44.247,3593,3598,3587,3594,1580,3594,7,3
20160106 21:00:44.743,3594,3598,3587,3595,1588,3595,61,5
