Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160106 20:59:00.802,304,304,304,304,86,304,312,468
20160106 21:00:00.219,304,304,304,304,400,304,155,520
20160106 21:00:00.765,303,304,304,304,874,304,438,408
20160106 21:00:01.268,303,304,304,304,890,304,438,401
20160106 21:00:01.766,303,304,304,304,890,304,439,182
20160106 21:00:02.262,303,304,304,304,890,304,439,189
20160106 21:00:02.787,303,304,303,304,910,303,429,189
20160106 21:00:04.786,303,304,303,304,912,303,428,189
20160106 21:00:05.296,303,304,303,304,912,303,428,234
20160106 21:00:05.842,303,304,303,304,912,303,433,237
20160106 21:00:06.331,303,304,303,304,916,303,431,239
20160106 21:00:06.760,303,304,303,304,916,303,431,272
20160106 21:00:07.870,303,304,303,304,916,303,431,282
20160106 21:00:08.330,303,304,303,304,926,303,426,282
20160106 21:00:09.337,303,304,303,304,926,303,426,283
20160106 21:00:10.375,303,304,303,304,926,303,426,284
20160106 21:00:10.837,303,304,303,304,926,303,426,307
20160106 21:00:11.862,303,304,303,304,1026,303,376,307
20160106 21:00:12.427,303,304,303,304,1036,303,371,310
20160106 21:00:12.813,303,304,303,304,1036,303,404,310
20160106 21:00:16.477,303,304,303,304,1036,303,404,311
20160106 21:00:17.437,303,304,303,304,1080,304,404,289
20160106 21:00:18.046,303,304,303,304,1080,304,414,289
20160106 21:00:18.494,303,304,303,304,1090,304,598,284
20160106 21:00:19.490,303,304,303,304,1090,304,597,284
20160106 21:00:19.946,303,304,303,304,1090,304,597,239
20160106 21:00:20.900,303,304,303,304,1090,304,598,239
20160106 21:00:21.526,303,304,303,304,1090,304,598,238
20160106 21:00:22.085,303,304,303,304,1094,304,675,236
20160106 21:00:23.074,303,304,303,304,1094,304,685,236
20160106 21:00:24.116,303,304,303,304,1094,304,686,236
20160106 21:00:24.585,304,304,303,304,1566,304,64,611
20160106 21:00:25.144,304,304,303,304,1566,304,105,611
20160106 21:00:25.631,304,304,303,304,1568,304,159,611
20160106 21:00:26.195,304,304,303,304,1568,304,225,612
20160106 21:00:28.195,304,304,303,304,1568,304,225,611
20160106 21:00:29.605,304,304,303,304,1568,304,225,609
20160106 21:00:30.119,304,304,303,304,1568,304,225,606
20160106 21:00:30.743,304,304,303,304,1568,304,235,606
20160106 21:00:32.237,304,304,303,304,1570,304,334,607
20160106 21:00:33.218,304,304,303,304,1570,304,335,607
20160106 21:00:33.779,304,304,303,304,1570,304,345,607
20160106 21:00:34.303,304,304,303,304,1570,304,345,608
20160106 21:00:34.758,304,304,303,304,1570,304,346,608
20160106 21:00:37.182,304,304,303,304,1570,304,346,708
20160106 21:00:39.278,304,304,303,304,1570,304,426,708
20160106 21:00:39.829,304,304,303,304,1576,304,423,708
20160106 21:00:42.687,304,304,303,304,1588,304,417,708
20160106 21:00:45.960,304,304,303,304,1590,304,416,708
20160106 21:00:46.458,304,304,303,304,1790,304,416,608
20160106 21:00:46.984,304,304,303,304,1790,304,420,611
20160106 21:00:48.487,304,304,303,304,1804,304,420,604
20160106 21:00:49.024,304,304,303,304,1804,304,420,852
20160106 21:00:52.494,304,304,303,304,1804,304,421,852
20160106 21:00:52.956,304,304,303,304,1806,304,424,851
20160106 21:00:53.631,304,304,303,304,1806,304,424,854
20160106 21:00:57.165,304,304,303,304,1806,304,425,859
20160106 21:00:57.690,304,304,303,304,1806,304,426,859
20160106 21:00:59.162,304,304,303,304,1810,304,424,859
20160106 21:00:59.729,304,304,303,304,1810,304,379,859
20160106 21:01:00.609,304,304,303,304,1820,304,374,859
20160106 21:01:01.234,304,304,303,304,1820,304,372,859
20160106 21:01:03.702,304,304,303,304,1820,304,372,860
20160106 21:01:04.113,304,304,303,304,2020,304,272,860
20160106 21:01:06.189,304,304,303,304,2030,304,267,860
20160106 21:01:07.255,304,304,303,304,2032,304,267,859
20160106 21:01:07.812,304,304,303,304,2032,304,270,860
20160106 21:01:08.280,304,304,303,304,2034,304,269,860
20160106 21:01:08.890,304,304,303,304,2034,304,270,860
20160106 21:01:11.359,304,304,303,304,2040,304,267,860
20160106 21:01:11.793,304,304,303,304,2044,304,267,858
20160106 21:01:13.319,304,304,303,304,2044,304,267,857
20160106 21:01:13.921,304,304,303,304,2046,304,266,857
20160106 21:01:16.468,304,304,303,304,2046,304,266,859
20160106 21:01:16.981,304,304,303,304,2066,304,256,859
20160106 21:01:20.015,304,304,303,304,2066,304,258,859
20160106 21:01:20.565,304,304,303,304,2166,304,209,860
20160106 21:01:21.596,304,304,303,304,2166,304,252,865
20160106 21:01:23.081,304,304,303,304,2166,304,297,866
20160106 21:01:24.541,304,304,303,304,2166,304,297,891
20160106 21:01:25.631,304,304,303,304,2166,304,298,891
20160106 21:01:29.140,304,304,303,304,2166,304,298,643
