Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160106 20:59:00.802,624,624,624,624,132,624,55,22
20160106 21:00:00.737,624,624,624,625,338,624,30,75
20160106 21:00:01.263,624,625,624,625,492,625,8,68
20160106 21:00:01.713,623,625,623,624,616,623,77,45
20160106 21:00:02.258,623,625,623,624,722,623,29,44
20160106 21:00:02.778,623,625,623,623,816,623,39,29
20160106 21:00:03.286,623,625,623,623,886,623,10,47
20160106 21:00:03.744,622,625,622,623,974,622,59,8
20160106 21:00:04.280,622,625,622,623,1042,622,34,18
20160106 21:00:04.760,622,625,622,623,1072,623,27,17
20160106 21:00:05.307,622,625,622,623,1088,623,22,16
20160106 21:00:05.826,622,625,622,622,1180,622,106,56
20160106 21:00:06.291,622,625,622,622,1192,622,101,65
20160106 21:00:06.815,622,625,622,622,1270,622,82,54
20160106 21:00:07.370,622,625,622,622,1280,622,78,51
20160106 21:00:07.869,622,625,622,622,1302,622,72,47
20160106 21:00:08.354,622,625,622,622,1338,622,59,47
20160106 21:00:08.840,622,625,622,622,1390,622,49,36
20160106 21:00:09.349,622,625,622,622,1436,622,81,31
20160106 21:00:09.859,622,625,622,622,1442,622,79,30
20160106 21:00:10.332,622,625,622,622,1476,622,81,13
20160106 21:00:10.873,622,625,622,623,1504,622,27,46
20160106 21:00:11.152,622,625,622,623,1504,622,69,46
20160106 21:00:11.805,622,625,622,623,1556,622,43,46
20160106 21:00:12.157,622,625,622,623,1566,622,88,46
20160106 21:00:12.869,622,625,622,623,1574,622,86,68
20160106 21:00:13.424,622,625,622,623,1574,622,87,68
20160106 21:00:13.962,622,625,622,623,1640,623,58,64
20160106 21:00:14.418,622,625,622,623,1640,623,61,64
20160106 21:00:14.985,622,625,622,623,1646,623,68,63
20160106 21:00:15.431,622,625,622,623,1648,622,67,63
20160106 21:00:15.974,622,625,622,623,1662,623,66,63
20160106 21:00:16.371,622,625,622,622,1794,622,145,79
20160106 21:00:16.948,622,625,622,622,1832,622,145,60
20160106 21:00:17.301,622,625,622,622,1838,622,154,58
20160106 21:00:18.003,622,625,622,622,1896,622,150,29
20160106 21:00:18.431,622,625,622,622,1946,622,150,20
20160106 21:00:19.009,622,625,622,622,1952,622,149,23
20160106 21:00:20.041,622,625,622,622,1956,622,149,21
20160106 21:00:20.568,622,625,622,622,1984,622,150,7
20160106 21:00:21.036,622,625,622,622,1984,622,155,7
20160106 21:00:21.538,622,625,622,623,2008,622,12,69
20160106 21:00:22.104,622,625,622,623,2028,623,64,59
20160106 21:00:22.543,622,625,622,623,2030,622,67,59
20160106 21:00:22.910,622,625,622,623,2036,622,68,59
20160106 21:00:23.537,622,625,622,623,2042,622,66,58
20160106 21:00:23.899,622,625,622,623,2042,622,68,58
20160106 21:00:24.574,622,625,622,623,2044,622,68,59
20160106 21:00:26.172,622,625,622,623,2128,623,28,57
20160106 21:00:26.398,622,625,622,623,2128,623,29,57
20160106 21:00:27.082,622,625,622,623,2130,623,32,57
20160106 21:00:27.572,622,625,622,623,2134,622,50,57
20160106 21:00:28.199,622,625,622,623,2134,622,54,98
20160106 21:00:28.688,622,625,622,623,2144,623,54,93
20160106 21:00:29.147,622,625,622,623,2148,622,52,93
20160106 21:00:29.597,622,625,622,623,2152,622,128,93
20160106 21:00:30.053,622,625,622,623,2152,622,129,93
20160106 21:00:30.719,622,625,622,623,2152,622,151,123
20160106 21:00:31.148,622,625,622,623,2176,622,65,118
20160106 21:00:31.688,623,625,622,623,2412,623,34,98
20160106 21:00:32.210,623,625,622,623,2412,623,35,98
20160106 21:00:32.793,623,625,622,623,2436,623,44,137
20160106 21:00:33.270,623,625,622,623,2438,623,44,139
20160106 21:00:33.797,623,625,622,623,2440,623,104,138
20160106 21:00:34.233,623,625,622,623,2440,623,113,124
20160106 21:00:34.761,623,625,622,623,2488,623,98,124
20160106 21:00:35.251,623,625,622,623,2488,623,102,124
20160106 21:00:35.771,623,625,622,623,2560,623,125,88
20160106 21:00:36.043,623,625,622,623,2560,623,120,88
20160106 21:00:36.804,623,625,622,623,2560,623,123,138
20160106 21:00:37.105,623,625,622,623,2562,623,123,138
20160106 21:00:37.751,623,625,622,623,2562,623,126,138
20160106 21:00:38.174,623,625,622,623,2580,623,117,138
20160106 21:00:38.839,623,625,622,623,2580,623,118,140
20160106 21:00:39.334,623,625,622,623,2586,623,120,137
20160106 21:00:40.316,623,625,622,623,2586,623,121,137
20160106 21:00:40.832,623,625,622,623,2586,623,124,137
