Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160719 20:59:00.000,0.0,3776.0,3776.0,0.0,28,3776.0,0,0
20160719 21:00:01.000,3776.0,3780.0,3780.0,3781.0,6,3780.0,9,2
20160719 21:00:01.500,3777.0,3780.0,3780.0,3781.0,40,3780.0,1,5
20160719 21:00:02.000,3776.0,3776.0,3776.0,3779.0,26,3776.0,17,3
20160719 21:00:02.500,3777.0,3779.0,3779.0,3779.0,30,3779.0,1,4
20160719 21:00:03.000,3776.0,3777.0,3777.0,3779.0,28,3777.0,4,1
20160719 21:00:04.000,3779.0,3781.0,3781.0,3783.0,14,3781.0,2,4
20160719 21:00:04.500,3780.0,3780.0,3780.0,3783.0,6,3780.0,2,4
20160719 21:00:05.000,3780.0,3782.0,3782.0,3783.0,6,3782.0,1,3
20160719 21:00:05.500,3780.0,3781.0,3781.0,3782.0,10,3781.0,6,3
20160719 21:00:06.000,3780.0,3782.0,3782.0,3783.0,6,3782.0,9,3
20160719 21:00:07.000,3781.0,3785.0,3785.0,3785.0,54,3785.0,2,21
20160719 21:00:07.500,3782.0,3782.0,3782.0,3784.0,2,3782.0,1,1
20160719 21:00:08.000,3781.0,3782.0,3782.0,3784.0,4,3782.0,2,4
20160719 21:00:09.000,3783.0,3785.0,3785.0,3786.0,10,3785.0,1,11
20160719 21:00:09.500,3784.0,3784.0,3784.0,3786.0,2,3784.0,4,13
20160719 21:00:10.000,3783.0,3785.0,3785.0,3785.0,8,3785.0,1,10
20160719 21:00:10.500,3783.0,3785.0,3785.0,3785.0,20,3785.0,1,2
20160719 21:00:11.000,3784.0,3783.0,3783.0,3785.0,22,3783.0,1,8
20160719 21:00:11.500,3783.0,3784.0,3784.0,3785.0,6,3784.0,1,8
20160719 21:00:13.000,3780.0,3783.0,3783.0,3784.0,18,3783.0,4,3
20160719 21:00:13.500,3781.0,3785.0,3785.0,3786.0,16,3785.0,3,14
20160719 21:00:14.000,3782.0,3783.0,3783.0,3783.0,2,3783.0,4,1
20160719 21:00:14.500,3781.0,3782.0,3782.0,3786.0,4,3782.0,3,11
20160719 21:00:15.000,3784.0,3785.0,3785.0,3785.0,10,3785.0,8,5
20160719 21:00:15.500,3784.0,3785.0,3785.0,3785.0,2,3785.0,8,3
20160719 21:00:16.000,3784.0,3785.0,3785.0,3785.0,4,3785.0,7,2
20160719 21:00:16.500,3784.0,3784.0,3784.0,3785.0,2,3784.0,6,2
20160719 21:00:17.000,3784.0,3784.0,3784.0,3785.0,4,3784.0,4,1
20160719 21:00:17.500,3782.0,3784.0,3784.0,3784.0,10,3784.0,3,1
20160719 21:00:19.000,3781.0,3782.0,3782.0,3782.0,6,3782.0,4,2
20160719 21:00:20.000,3780.0,3781.0,3781.0,3782.0,4,3781.0,4,4
20160719 21:00:20.500,3780.0,3782.0,3782.0,3782.0,8,3782.0,4,3
