Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160719 21:00:00.000,0.0,3805.596,3805.596,0.0,30,3805.596,0,0
20160719 21:00:01.000,0.0,3807.0,3807.0,0.0,18,3807.0,0,0
20160719 21:00:02.000,0.0,3805.0,3805.0,0.0,216,3805.0,0,0
20160719 21:00:03.000,0.0,3805.0,3805.0,0.0,214,3805.0,0,0
20160719 21:00:04.000,0.0,3808.0,3808.0,0.0,122,3808.0,0,0
20160719 21:00:05.000,0.0,3809.0,3809.0,0.0,18,3809.0,0,0
20160719 21:00:06.000,0.0,3809.0,3809.0,0.0,26,3809.0,0,0
20160719 21:00:07.000,0.0,3811.0,3811.0,0.0,90,3811.0,0,0
20160719 21:00:08.000,0.0,3809.0,3809.0,0.0,32,3809.0,0,0
20160719 21:00:09.000,0.0,3811.0,3811.0,0.0,46,3811.0,0,0
20160719 21:00:10.000,0.0,3812.0,3812.0,0.0,30,3812.0,0,0
20160719 21:00:11.000,0.0,3811.0,3811.0,0.0,104,3811.0,0,0
20160719 21:00:12.000,0.0,3811.0,3811.0,0.0,34,3811.0,0,0
20160719 21:00:13.000,0.0,3812.0,3812.0,0.0,68,3812.0,0,0
20160719 21:00:14.000,0.0,3811.0,3811.0,0.0,24,3811.0,0,0
20160719 21:00:15.000,0.0,3811.0,3811.0,0.0,2,3811.0,0,0
20160719 21:00:16.000,0.0,3811.0,3811.0,0.0,8,3811.0,0,0
20160719 21:00:17.000,0.0,3811.0,3811.0,0.0,26,3811.0,0,0
20160719 21:00:19.000,0.0,3810.0,3810.0,0.0,8,3810.0,0,0
20160719 21:00:21.000,0.0,3807.0,3807.0,0.0,34,3807.0,0,0
20160719 21:00:22.000,0.0,3806.0,3806.0,0.0,20,3806.0,0,0
20160719 21:00:24.000,0.0,3808.0,3808.0,0.0,4,3808.0,0,0
20160719 21:00:25.000,0.0,3808.0,3808.0,0.0,2,3808.0,0,0
20160719 21:00:26.000,0.0,3809.0,3809.0,0.0,24,3809.0,0,0
20160719 21:00:28.000,0.0,3809.0,3809.0,0.0,2,3809.0,0,0
20160719 21:00:29.000,0.0,3809.0,3809.0,0.0,2,3809.0,0,0
20160719 21:00:30.000,0.0,3810.0,3810.0,0.0,4,3810.0,0,0
20160719 21:00:32.000,0.0,3810.0,3810.0,0.0,6,3810.0,0,0
20160719 21:00:33.000,0.0,3809.0,3809.0,0.0,16,3809.0,0,0
20160719 21:00:34.000,0.0,3809.0,3809.0,0.0,16,3809.0,0,0
20160719 21:00:35.000,0.0,3809.0,3809.0,0.0,6,3809.0,0,0
20160719 21:00:36.000,0.0,3809.0,3809.0,0.0,16,3809.0,0,0
20160719 21:00:37.000,0.0,3809.0,3809.0,0.0,12,3809.0,0,0
20160719 21:00:38.000,0.0,3810.0,3810.0,0.0,48,3810.0,0,0
20160719 21:00:39.000,0.0,3810.0,3810.0,0.0,10,3810.0,0,0
20160719 21:00:40.000,0.0,3809.0,3809.0,0.0,6,3809.0,0,0
20160719 21:00:44.000,0.0,3810.0,3810.0,0.0,10,3810.0,0,0
20160719 21:00:45.000,0.0,3810.0,3810.0,0.0,14,3810.0,0,0
20160719 21:00:48.000,0.0,3810.0,3810.0,0.0,18,3810.0,0,0
20160719 21:00:50.000,0.0,3810.0,3810.0,0.0,26,3810.0,0,0
