Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160720 09:00:00.000,0.0,1876.275,1876.275,0.0,1412,1876.275,0,0
20160720 09:00:01.000,0.0,1876.0,1876.0,0.0,1210,1876.0,0,0
20160720 09:00:02.000,0.0,1875.0,1875.0,0.0,534,1875.0,0,0
20160720 09:00:03.000,0.0,1873.0,1873.0,0.0,1010,1873.0,0,0
20160720 09:00:04.000,0.0,1872.0,1872.0,0.0,850,1872.0,0,0
20160720 09:00:05.000,0.0,1868.0,1868.0,0.0,1270,1868.0,0,0
20160720 09:00:06.000,0.0,1867.0,1867.0,0.0,1064,1867.0,0,0
20160720 09:00:07.000,0.0,1866.0,1866.0,0.0,1264,1866.0,0,0
20160720 09:00:08.000,0.0,1864.0,1864.0,0.0,724,1864.0,0,0
20160720 09:00:09.000,0.0,1864.0,1864.0,0.0,882,1864.0,0,0
20160720 09:00:10.000,0.0,1863.0,1863.0,0.0,366,1863.0,0,0
20160720 09:00:11.000,0.0,1862.0,1862.0,0.0,326,1862.0,0,0
20160720 09:00:12.000,0.0,1861.0,1861.0,0.0,1436,1861.0,0,0
20160720 09:00:13.000,0.0,1861.0,1861.0,0.0,576,1861.0,0,0
20160720 09:00:14.000,0.0,1858.0,1858.0,0.0,2104,1858.0,0,0
20160720 09:00:15.000,0.0,1856.0,1856.0,0.0,668,1856.0,0,0
20160720 09:00:16.000,0.0,1850.0,1850.0,0.0,2570,1850.0,0,0
20160720 09:00:17.000,0.0,1850.0,1850.0,0.0,1104,1850.0,0,0
20160720 09:00:19.000,0.0,1848.0,1848.0,0.0,1398,1848.0,0,0
20160720 09:00:20.000,0.0,1847.0,1847.0,0.0,144,1847.0,0,0
20160720 09:00:21.000,0.0,1849.0,1849.0,0.0,1966,1849.0,0,0
20160720 09:00:22.000,0.0,1853.0,1853.0,0.0,458,1853.0,0,0
20160720 09:00:23.000,0.0,1854.0,1854.0,0.0,914,1854.0,0,0
20160720 09:00:24.000,0.0,1850.0,1850.0,0.0,808,1850.0,0,0
20160720 09:00:25.000,0.0,1854.0,1854.0,0.0,238,1854.0,0,0
20160720 09:00:26.000,0.0,1853.0,1853.0,0.0,620,1853.0,0,0
20160720 09:00:27.000,0.0,1854.0,1854.0,0.0,122,1854.0,0,0
20160720 09:00:28.000,0.0,1855.0,1855.0,0.0,212,1855.0,0,0
20160720 09:00:29.000,0.0,1855.0,1855.0,0.0,252,1855.0,0,0
20160720 09:00:30.000,0.0,1856.0,1856.0,0.0,166,1856.0,0,0
20160720 09:00:31.000,0.0,1855.0,1855.0,0.0,208,1855.0,0,0
20160720 09:00:32.000,0.0,1856.0,1856.0,0.0,444,1856.0,0,0
20160720 09:00:33.000,0.0,1856.0,1856.0,0.0,144,1856.0,0,0
20160720 09:00:34.000,0.0,1855.0,1855.0,0.0,140,1855.0,0,0
20160720 09:00:35.000,0.0,1855.0,1855.0,0.0,344,1855.0,0,0
20160720 09:00:36.000,0.0,1855.0,1855.0,0.0,466,1855.0,0,0
20160720 09:00:37.000,0.0,1855.0,1855.0,0.0,74,1855.0,0,0
20160720 09:00:38.000,0.0,1855.0,1855.0,0.0,314,1855.0,0,0
20160720 09:00:39.000,0.0,1856.0,1856.0,0.0,170,1856.0,0,0
20160720 09:00:40.000,0.0,1855.0,1855.0,0.0,182,1855.0,0,0
20160720 09:00:41.000,0.0,1856.0,1856.0,0.0,178,1856.0,0,0
20160720 09:00:42.000,0.0,1856.0,1856.0,0.0,122,1856.0,0,0
20160720 09:00:43.000,0.0,1857.0,1857.0,0.0,102,1857.0,0,0
20160720 09:00:44.000,0.0,1856.0,1856.0,0.0,82,1856.0,0,0
20160720 09:00:45.000,0.0,1858.0,1858.0,0.0,224,1858.0,0,0
20160720 09:00:46.000,0.0,1858.0,1858.0,0.0,174,1858.0,0,0
20160720 09:00:47.000,0.0,1858.0,1858.0,0.0,154,1858.0,0,0
20160720 09:00:48.000,0.0,1857.0,1857.0,0.0,442,1857.0,0,0
20160720 09:00:49.000,0.0,1857.0,1857.0,0.0,76,1857.0,0,0
20160720 09:00:50.000,0.0,1857.0,1857.0,0.0,92,1857.0,0,0
20160720 09:00:51.000,0.0,1858.0,1858.0,0.0,102,1858.0,0,0
20160720 09:00:52.000,0.0,1858.0,1858.0,0.0,48,1858.0,0,0
20160720 09:00:53.000,0.0,1858.0,1858.0,0.0,544,1858.0,0,0
20160720 09:00:54.000,0.0,1858.0,1858.0,0.0,44,1858.0,0,0
20160720 09:00:55.000,0.0,1858.0,1858.0,0.0,78,1858.0,0,0
20160720 09:00:56.000,0.0,1858.0,1858.0,0.0,220,1858.0,0,0
20160720 09:00:57.000,0.0,1858.0,1858.0,0.0,84,1858.0,0,0
20160720 09:00:58.000,0.0,1858.0,1858.0,0.0,84,1858.0,0,0
20160720 09:00:59.000,0.0,1857.0,1857.0,0.0,40,1857.0,0,0
20160720 09:01:00.000,0.0,1857.0,1857.0,0.0,354,1857.0,0,0
20160720 09:01:01.000,0.0,1858.0,1858.0,0.0,72,1858.0,0,0
20160720 09:01:02.000,0.0,1858.0,1858.0,0.0,74,1858.0,0,0
20160720 09:01:03.000,0.0,1858.0,1858.0,0.0,128,1858.0,0,0
20160720 09:01:04.000,0.0,1858.0,1858.0,0.0,92,1858.0,0,0
20160720 09:01:05.000,0.0,1858.0,1858.0,0.0,86,1858.0,0,0
20160720 09:01:06.000,0.0,1858.0,1858.0,0.0,186,1858.0,0,0
20160720 09:01:07.000,0.0,1860.0,1860.0,0.0,354,1860.0,0,0
20160720 09:01:08.000,0.0,1859.0,1859.0,0.0,42,1859.0,0,0
20160720 09:01:09.000,0.0,1859.0,1859.0,0.0,28,1859.0,0,0
20160720 09:01:10.000,0.0,1859.0,1859.0,0.0,338,1859.0,0,0
20160720 09:01:11.000,0.0,1859.0,1859.0,0.0,180,1859.0,0,0
20160720 09:01:12.000,0.0,1860.0,1860.0,0.0,578,1860.0,0,0
20160720 09:01:13.000,0.0,1860.0,1860.0,0.0,210,1860.0,0,0
20160720 09:01:14.000,0.0,1858.0,1858.0,0.0,448,1858.0,0,0
20160720 09:01:15.000,0.0,1858.0,1858.0,0.0,8,1858.0,0,0
20160720 09:01:16.000,0.0,1858.0,1858.0,0.0,168,1858.0,0,0
20160720 09:01:17.000,0.0,1858.0,1858.0,0.0,42,1858.0,0,0
20160720 09:01:18.000,0.0,1858.0,1858.0,0.0,166,1858.0,0,0
20160720 09:01:19.000,0.0,1859.0,1859.0,0.0,134,1859.0,0,0
20160720 09:01:20.000,0.0,1858.0,1858.0,0.0,98,1858.0,0,0
20160720 09:01:21.000,0.0,1859.0,1859.0,0.0,68,1859.0,0,0
20160720 09:01:22.000,0.0,1858.0,1858.0,0.0,22,1858.0,0,0
20160720 09:01:23.000,0.0,1858.0,1858.0,0.0,8,1858.0,0,0
20160720 09:01:24.000,0.0,1858.0,1858.0,0.0,48,1858.0,0,0
20160720 09:01:25.000,0.0,1858.0,1858.0,0.0,20,1858.0,0,0
20160720 09:01:26.000,0.0,1858.0,1858.0,0.0,32,1858.0,0,0
20160720 09:01:27.000,0.0,1858.0,1858.0,0.0,14,1858.0,0,0
20160720 09:01:28.000,0.0,1858.0,1858.0,0.0,6,1858.0,0,0
20160720 09:01:29.000,0.0,1858.0,1858.0,0.0,148,1858.0,0,0
20160720 09:01:30.000,0.0,1859.0,1859.0,0.0,52,1859.0,0,0
20160720 09:01:32.000,0.0,1858.0,1858.0,0.0,274,1858.0,0,0
20160720 09:01:33.000,0.0,1859.0,1859.0,0.0,112,1859.0,0,0
20160720 09:01:34.000,0.0,1859.0,1859.0,0.0,56,1859.0,0,0
20160720 09:01:35.000,0.0,1858.0,1858.0,0.0,26,1858.0,0,0
20160720 09:01:36.000,0.0,1858.0,1858.0,0.0,118,1858.0,0,0
20160720 09:01:37.000,0.0,1858.0,1858.0,0.0,110,1858.0,0,0
20160720 09:01:38.000,0.0,1858.0,1858.0,0.0,12,1858.0,0,0
20160720 09:01:39.000,0.0,1858.0,1858.0,0.0,410,1858.0,0,0
20160720 09:01:40.000,0.0,1858.0,1858.0,0.0,166,1858.0,0,0
20160720 09:01:41.000,0.0,1859.0,1859.0,0.0,98,1859.0,0,0
20160720 09:01:42.000,0.0,1856.0,1856.0,0.0,1374,1856.0,0,0
20160720 09:01:43.000,0.0,1857.0,1857.0,0.0,294,1857.0,0,0
20160720 09:01:44.000,0.0,1856.0,1856.0,0.0,18,1856.0,0,0
20160720 09:01:45.000,0.0,1856.0,1856.0,0.0,98,1856.0,0,0
20160720 09:01:46.000,0.0,1856.0,1856.0,0.0,116,1856.0,0,0
20160720 09:01:47.000,0.0,1856.0,1856.0,0.0,54,1856.0,0,0
20160720 09:01:48.000,0.0,1856.0,1856.0,0.0,334,1856.0,0,0
20160720 09:01:49.000,0.0,1856.0,1856.0,0.0,8,1856.0,0,0
20160720 09:01:50.000,0.0,1856.0,1856.0,0.0,22,1856.0,0,0
20160720 09:01:51.000,0.0,1857.0,1857.0,0.0,202,1857.0,0,0
20160720 09:01:52.000,0.0,1857.0,1857.0,0.0,374,1857.0,0,0
20160720 09:01:53.000,0.0,1857.0,1857.0,0.0,152,1857.0,0,0
20160720 09:01:54.000,0.0,1857.0,1857.0,0.0,44,1857.0,0,0
20160720 09:01:55.000,0.0,1857.0,1857.0,0.0,56,1857.0,0,0
20160720 09:01:56.000,0.0,1857.0,1857.0,0.0,98,1857.0,0,0
20160720 09:01:57.000,0.0,1857.0,1857.0,0.0,154,1857.0,0,0
20160720 09:01:58.000,0.0,1857.0,1857.0,0.0,128,1857.0,0,0
20160720 09:01:59.000,0.0,1857.0,1857.0,0.0,108,1857.0,0,0
20160720 09:02:00.000,0.0,1857.0,1857.0,0.0,574,1857.0,0,0
20160720 09:02:01.000,0.0,1856.0,1856.0,0.0,110,1856.0,0,0
20160720 09:02:02.000,0.0,1856.0,1856.0,0.0,176,1856.0,0,0
20160720 09:02:03.000,0.0,1856.0,1856.0,0.0,34,1856.0,0,0
20160720 09:02:04.000,0.0,1856.0,1856.0,0.0,64,1856.0,0,0
20160720 09:02:05.000,0.0,1856.0,1856.0,0.0,20,1856.0,0,0
20160720 09:02:06.000,0.0,1856.0,1856.0,0.0,90,1856.0,0,0
20160720 09:02:07.000,0.0,1856.0,1856.0,0.0,32,1856.0,0,0
20160720 09:02:09.000,0.0,1858.0,1858.0,0.0,614,1858.0,0,0
20160720 09:02:10.000,0.0,1858.0,1858.0,0.0,116,1858.0,0,0
