Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160719 20:59:00.000,0.0,423.0,423.0,0.0,4466,423.0,0,0
20160719 21:00:01.000,423.0,423.5,423.5,424.0,42,423.5,675,56
20160719 21:00:01.500,423.5,423.5,423.5,424.0,474,423.5,19,90
20160719 21:00:02.000,423.5,423.5,423.5,424.0,210,423.5,87,106
20160719 21:00:02.500,423.5,423.5,423.5,424.0,38,423.5,611,207
20160719 21:00:03.000,423.5,424.0,424.0,424.0,344,424.0,300,107
20160719 21:00:03.500,424.5,425.0,425.0,425.0,748,425.0,60,1164
20160719 21:00:04.000,424.5,424.5,424.5,425.0,20,424.5,243,1161
20160719 21:00:04.500,424.5,424.5,424.5,425.0,100,424.5,201,1156
20160719 21:00:05.000,424.5,424.5,424.5,425.0,50,424.5,177,1153
20160719 21:00:05.500,424.5,424.5,424.5,425.0,200,424.5,136,1147
20160719 21:00:06.000,424.5,424.5,424.5,425.0,76,424.5,190,1152
20160719 21:00:06.500,424.5,424.5,424.5,425.0,48,424.5,167,1144
20160719 21:00:07.000,424.5,425.0,425.0,425.0,54,425.0,146,1132
20160719 21:00:07.500,424.5,425.0,425.0,425.0,44,425.0,134,1131
20160719 21:00:08.000,424.5,424.5,424.5,425.0,4,424.5,133,579
20160719 21:00:08.500,424.5,424.5,424.5,425.0,84,424.5,122,539
20160719 21:00:09.000,424.5,425.0,425.0,425.0,14,425.0,117,539
20160719 21:00:09.500,424.5,424.5,424.5,425.0,22,424.5,109,532
20160719 21:00:10.000,424.5,425.0,425.0,425.0,48,425.0,137,579
20160719 21:00:10.500,424.5,425.0,425.0,425.0,10,425.0,136,579
20160719 21:00:11.000,424.5,425.0,425.0,425.0,628,425.0,89,427
20160719 21:00:11.500,424.5,424.5,424.5,425.0,366,424.5,89,235
20160719 21:00:12.000,424.5,424.5,424.5,425.0,22,424.5,82,233
20160719 21:00:12.500,424.5,424.5,424.5,425.0,74,424.5,99,253
20160719 21:00:13.000,424.5,424.5,424.5,425.0,14,424.5,95,450
20160719 21:00:13.500,424.5,424.5,424.5,425.0,6,424.5,98,448
20160719 21:00:14.000,424.5,424.5,424.5,425.0,24,424.5,193,560
20160719 21:00:14.500,424.5,425.0,425.0,425.0,214,425.0,193,455
20160719 21:00:15.000,424.5,424.5,424.5,425.0,70,424.5,226,425
20160719 21:00:15.500,424.5,424.5,424.5,425.0,18,424.5,219,427
20160719 21:00:16.000,424.5,425.0,425.0,425.0,4,425.0,219,430
20160719 21:00:16.500,424.5,424.5,424.5,425.0,8,424.5,218,478
20160719 21:00:17.000,424.5,425.0,425.0,425.0,2,425.0,218,459
