Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160720 08:59:00.000,0.0,4005.0,4005.0,0.0,456,4005.0,0,0
20160720 09:00:01.000,4008.0,4006.0,4006.0,4011.0,2,4006.0,1,1
20160720 09:00:01.500,4011.0,4007.0,4007.0,4012.0,68,4007.0,5,1
20160720 09:00:02.000,4008.0,4010.0,4010.0,4010.0,218,4010.0,34,7
20160720 09:00:02.500,4010.0,4008.0,4008.0,4011.0,190,4008.0,1,7
20160720 09:00:03.000,4001.0,4001.0,4001.0,4006.0,178,4001.0,70,45
20160720 09:00:03.500,4005.0,4006.0,4006.0,4006.0,134,4006.0,1,20
20160720 09:00:04.000,4001.0,4004.0,4004.0,4003.0,226,4004.0,12,28
20160720 09:00:04.500,4000.0,4004.0,4004.0,4004.0,148,4004.0,1,9
20160720 09:00:05.000,3998.0,3999.0,3999.0,3999.0,108,3999.0,2,36
20160720 09:00:05.500,3995.0,3999.0,3999.0,3999.0,150,3999.0,2,21
20160720 09:00:06.000,3994.0,3995.0,3995.0,3995.0,72,3995.0,18,46
20160720 09:00:06.500,3995.0,3995.0,3995.0,3997.0,150,3995.0,25,5
20160720 09:00:07.000,3992.0,3994.0,3994.0,3994.0,98,3994.0,15,15
20160720 09:00:07.500,3994.0,3994.0,3994.0,3995.0,74,3994.0,5,16
20160720 09:00:08.000,3994.0,3994.0,3994.0,3997.0,68,3994.0,64,8
20160720 09:00:08.500,3995.0,3998.0,3998.0,3998.0,74,3998.0,15,26
20160720 09:00:09.000,3995.0,3998.0,3998.0,3998.0,58,3998.0,12,23
20160720 09:00:09.500,3994.0,3994.0,3994.0,3998.0,74,3994.0,123,14
20160720 09:00:10.000,3995.0,3995.0,3995.0,3997.0,60,3995.0,2,1
20160720 09:00:10.500,3997.0,3997.0,3997.0,3998.0,32,3997.0,32,5
20160720 09:00:11.000,3997.0,3998.0,3998.0,3999.0,60,3998.0,28,6
20160720 09:00:11.500,3999.0,4000.0,4000.0,4000.0,32,4000.0,37,1
20160720 09:00:12.000,4000.0,3999.0,3999.0,4001.0,46,3999.0,13,32
20160720 09:00:12.500,4000.0,4001.0,4001.0,4001.0,50,4001.0,15,16
20160720 09:00:13.000,4001.0,4001.0,4001.0,4005.0,34,4001.0,3,17
20160720 09:00:13.500,4001.0,4001.0,4001.0,4003.0,38,4001.0,2,1
20160720 09:00:14.000,4003.0,4005.0,4005.0,4005.0,20,4005.0,1,11
20160720 09:00:14.500,4003.0,4001.0,4001.0,4005.0,8,4001.0,4,13
20160720 09:00:15.000,4003.0,4005.0,4005.0,4005.0,18,4005.0,8,8
20160720 09:00:15.500,4001.0,4003.0,4003.0,4005.0,46,4003.0,20,3
20160720 09:00:16.000,4001.0,4001.0,4001.0,4003.0,4,4001.0,39,1
20160720 09:00:16.500,4005.0,4005.0,4005.0,4007.0,16,4005.0,5,15
20160720 09:00:17.000,4005.0,4005.0,4005.0,4007.0,4,4005.0,35,16
20160720 09:00:17.500,4005.0,4006.0,4006.0,4006.0,64,4006.0,23,6
20160720 09:00:18.000,4007.0,4007.0,4007.0,4008.0,36,4007.0,161,22
20160720 09:00:18.500,4007.0,4008.0,4008.0,4008.0,16,4008.0,156,20
20160720 09:00:19.000,4008.0,4008.0,4008.0,4009.0,44,4008.0,57,2
20160720 09:00:19.500,4009.0,4010.0,4010.0,4010.0,18,4010.0,54,18
20160720 09:00:20.000,4009.0,4009.0,4009.0,4010.0,52,4009.0,48,3
20160720 09:00:20.500,4010.0,4010.0,4010.0,4011.0,6,4010.0,76,2
20160720 09:00:21.000,4011.0,4013.0,4013.0,4014.0,18,4013.0,3,2
20160720 09:00:21.500,4011.0,4011.0,4011.0,4016.0,28,4011.0,3,101
20160720 09:00:22.000,4011.0,4012.0,4012.0,4014.0,12,4012.0,3,16
20160720 09:00:22.500,4012.0,4011.0,4011.0,4013.0,44,4011.0,9,4
20160720 09:00:23.000,4012.0,4013.0,4013.0,4013.0,8,4013.0,9,1
20160720 09:00:23.500,4011.0,4011.0,4011.0,4014.0,40,4011.0,67,10
20160720 09:00:24.000,4012.0,4013.0,4013.0,4014.0,12,4013.0,1,10
20160720 09:00:24.500,4013.0,4014.0,4014.0,4014.0,106,4014.0,1,9
20160720 09:00:25.000,4011.0,4013.0,4013.0,4013.0,14,4013.0,17,12
20160720 09:00:25.500,4011.0,4013.0,4013.0,4013.0,6,4013.0,17,11
