Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160719 21:00:00.000,0.0,6173.567,6173.567,0.0,474,6173.567,0,0
20160719 21:00:01.000,0.0,6178.0,6178.0,0.0,916,6178.0,0,0
20160719 21:00:02.000,0.0,6178.0,6178.0,0.0,476,6178.0,0,0
20160719 21:00:03.000,0.0,6178.0,6178.0,0.0,404,6178.0,0,0
20160719 21:00:04.000,0.0,6176.0,6176.0,0.0,246,6176.0,0,0
20160719 21:00:05.000,0.0,6176.0,6176.0,0.0,40,6176.0,0,0
20160719 21:00:06.000,0.0,6178.0,6178.0,0.0,30,6178.0,0,0
20160719 21:00:07.000,0.0,6177.0,6177.0,0.0,218,6177.0,0,0
20160719 21:00:08.000,0.0,6179.0,6179.0,0.0,114,6179.0,0,0
20160719 21:00:09.000,0.0,6177.0,6177.0,0.0,78,6177.0,0,0
20160719 21:00:10.000,0.0,6177.0,6177.0,0.0,170,6177.0,0,0
20160719 21:00:11.000,0.0,6177.0,6177.0,0.0,46,6177.0,0,0
20160719 21:00:12.000,0.0,6176.0,6176.0,0.0,96,6176.0,0,0
20160719 21:00:13.000,0.0,6175.0,6175.0,0.0,34,6175.0,0,0
20160719 21:00:14.000,0.0,6175.0,6175.0,0.0,60,6175.0,0,0
20160719 21:00:15.000,0.0,6176.0,6176.0,0.0,20,6176.0,0,0
20160719 21:00:16.000,0.0,6175.0,6175.0,0.0,16,6175.0,0,0
20160719 21:00:17.000,0.0,6173.0,6173.0,0.0,34,6173.0,0,0
20160719 21:00:18.000,0.0,6176.0,6176.0,0.0,252,6176.0,0,0
20160719 21:00:19.000,0.0,6176.0,6176.0,0.0,56,6176.0,0,0
20160719 21:00:21.000,0.0,6174.0,6174.0,0.0,74,6174.0,0,0
20160719 21:00:22.000,0.0,6176.0,6176.0,0.0,178,6176.0,0,0
20160719 21:00:24.000,0.0,6176.0,6176.0,0.0,58,6176.0,0,0
20160719 21:00:25.000,0.0,6178.0,6178.0,0.0,86,6178.0,0,0
20160719 21:00:26.000,0.0,6178.0,6178.0,0.0,220,6178.0,0,0
20160719 21:00:27.000,0.0,6179.0,6179.0,0.0,294,6179.0,0,0
20160719 21:00:28.000,0.0,6178.0,6178.0,0.0,10,6178.0,0,0
20160719 21:00:29.000,0.0,6179.0,6179.0,0.0,42,6179.0,0,0
20160719 21:00:30.000,0.0,6178.0,6178.0,0.0,10,6178.0,0,0
20160719 21:00:31.000,0.0,6178.0,6178.0,0.0,84,6178.0,0,0
20160719 21:00:32.000,0.0,6179.0,6179.0,0.0,42,6179.0,0,0
20160719 21:00:33.000,0.0,6179.0,6179.0,0.0,42,6179.0,0,0
20160719 21:00:34.000,0.0,6179.0,6179.0,0.0,62,6179.0,0,0
20160719 21:00:35.000,0.0,6178.0,6178.0,0.0,32,6178.0,0,0
20160719 21:00:36.000,0.0,6178.0,6178.0,0.0,66,6178.0,0,0
20160719 21:00:37.000,0.0,6179.0,6179.0,0.0,24,6179.0,0,0
20160719 21:00:38.000,0.0,6180.0,6180.0,0.0,4,6180.0,0,0
20160719 21:00:39.000,0.0,6178.0,6178.0,0.0,62,6178.0,0,0
20160719 21:00:40.000,0.0,6178.0,6178.0,0.0,16,6178.0,0,0
20160719 21:00:41.000,0.0,6177.0,6177.0,0.0,238,6177.0,0,0
20160719 21:00:42.000,0.0,6178.0,6178.0,0.0,20,6178.0,0,0
20160719 21:00:43.000,0.0,6178.0,6178.0,0.0,2,6178.0,0,0
20160719 21:00:44.000,0.0,6176.0,6176.0,0.0,12,6176.0,0,0
20160719 21:00:45.000,0.0,6175.0,6175.0,0.0,56,6175.0,0,0
20160719 21:00:46.000,0.0,6178.0,6178.0,0.0,20,6178.0,0,0
20160719 21:00:48.000,0.0,6176.0,6176.0,0.0,48,6176.0,0,0
20160719 21:00:49.000,0.0,6179.0,6179.0,0.0,202,6179.0,0,0
20160719 21:00:50.000,0.0,6178.0,6178.0,0.0,34,6178.0,0,0
20160719 21:00:51.000,0.0,6177.0,6177.0,0.0,50,6177.0,0,0
20160719 21:00:52.000,0.0,6178.0,6178.0,0.0,58,6178.0,0,0
20160719 21:00:53.000,0.0,6178.0,6178.0,0.0,8,6178.0,0,0
20160719 21:00:54.000,0.0,6178.0,6178.0,0.0,42,6178.0,0,0
20160719 21:00:56.000,0.0,6180.0,6180.0,0.0,6,6180.0,0,0
20160719 21:00:57.000,0.0,6177.0,6177.0,0.0,54,6177.0,0,0
20160719 21:00:58.000,0.0,6178.0,6178.0,0.0,36,6178.0,0,0
20160719 21:00:59.000,0.0,6178.0,6178.0,0.0,60,6178.0,0,0
20160719 21:01:00.000,0.0,6180.0,6180.0,0.0,104,6180.0,0,0
20160719 21:01:01.000,0.0,6177.0,6177.0,0.0,40,6177.0,0,0
20160719 21:01:02.000,0.0,6180.0,6180.0,0.0,16,6180.0,0,0
20160719 21:01:03.000,0.0,6179.0,6179.0,0.0,6,6179.0,0,0
20160719 21:01:04.000,0.0,6180.0,6180.0,0.0,8,6180.0,0,0
20160719 21:01:05.000,0.0,6178.0,6178.0,0.0,42,6178.0,0,0
20160719 21:01:06.000,0.0,6179.0,6179.0,0.0,202,6179.0,0,0
20160719 21:01:07.000,0.0,6179.0,6179.0,0.0,2,6179.0,0,0
20160719 21:01:08.000,0.0,6179.0,6179.0,0.0,36,6179.0,0,0
20160719 21:01:09.000,0.0,6180.0,6180.0,0.0,90,6180.0,0,0
20160719 21:01:10.000,0.0,6180.0,6180.0,0.0,22,6180.0,0,0
20160719 21:01:11.000,0.0,6180.0,6180.0,0.0,4,6180.0,0,0
20160719 21:01:12.000,0.0,6181.0,6181.0,0.0,8,6181.0,0,0
20160719 21:01:13.000,0.0,6180.0,6180.0,0.0,378,6180.0,0,0
20160719 21:01:14.000,0.0,6180.0,6180.0,0.0,14,6180.0,0,0
