Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160719 20:59:00.000,0.0,6222.0,6222.0,0.0,348,6222.0,0,0
20160719 21:00:01.000,6224.0,6228.0,6228.0,6228.0,598,6228.0,65,9
20160719 21:00:01.500,6226.0,6226.0,6226.0,6228.0,110,6226.0,38,1
20160719 21:00:02.000,6228.0,6228.0,6228.0,6230.0,220,6228.0,50,110
20160719 21:00:02.500,6228.0,6228.0,6228.0,6230.0,172,6228.0,35,58
20160719 21:00:03.000,6228.0,6228.0,6228.0,6230.0,190,6228.0,19,34
20160719 21:00:03.500,6226.0,6228.0,6228.0,6228.0,94,6228.0,47,4
20160719 21:00:04.000,6224.0,6226.0,6226.0,6228.0,88,6226.0,154,7
20160719 21:00:04.500,6226.0,6226.0,6226.0,6228.0,18,6226.0,36,41
20160719 21:00:05.000,6224.0,6226.0,6226.0,6228.0,16,6226.0,169,30
20160719 21:00:05.500,6224.0,6226.0,6226.0,6228.0,6,6226.0,170,49
20160719 21:00:06.000,6224.0,6228.0,6228.0,6228.0,10,6228.0,179,45
20160719 21:00:06.500,6224.0,6226.0,6226.0,6228.0,30,6226.0,173,65
20160719 21:00:07.000,6228.0,6228.0,6228.0,6230.0,160,6228.0,25,37
20160719 21:00:08.000,6226.0,6228.0,6228.0,6230.0,70,6228.0,65,13
20160719 21:00:08.500,6226.0,6228.0,6228.0,6228.0,8,6228.0,101,68
20160719 21:00:09.000,6226.0,6228.0,6228.0,6228.0,40,6228.0,92,102
20160719 21:00:09.500,6226.0,6228.0,6228.0,6228.0,26,6228.0,34,106
20160719 21:00:10.000,6226.0,6226.0,6226.0,6228.0,138,6226.0,32,43
20160719 21:00:10.500,6226.0,6226.0,6226.0,6228.0,6,6226.0,33,41
20160719 21:00:11.000,6224.0,6228.0,6228.0,6228.0,28,6228.0,177,55
20160719 21:00:11.500,6224.0,6226.0,6226.0,6228.0,24,6226.0,177,52
20160719 21:00:12.000,6224.0,6224.0,6224.0,6228.0,20,6224.0,173,54
20160719 21:00:13.000,6224.0,6226.0,6226.0,6228.0,8,6226.0,174,36
20160719 21:00:13.500,6226.0,6226.0,6226.0,6228.0,10,6226.0,8,58
20160719 21:00:14.000,6224.0,6226.0,6226.0,6226.0,22,6226.0,173,26
20160719 21:00:14.500,6224.0,6224.0,6224.0,6226.0,26,6224.0,167,15
20160719 21:00:15.000,6224.0,6226.0,6226.0,6226.0,2,6226.0,117,15
20160719 21:00:15.500,6224.0,6226.0,6226.0,6226.0,14,6226.0,112,13
20160719 21:00:16.000,6224.0,6226.0,6226.0,6226.0,4,6226.0,114,20
20160719 21:00:16.500,6224.0,6226.0,6226.0,6226.0,6,6226.0,114,16
20160719 21:00:17.000,6224.0,6224.0,6224.0,6226.0,22,6224.0,107,18
20160719 21:00:18.000,6224.0,6226.0,6226.0,6226.0,114,6226.0,100,9
20160719 21:00:19.000,6224.0,6224.0,6224.0,6226.0,24,6224.0,94,16
20160719 21:00:19.500,6224.0,6226.0,6226.0,6226.0,20,6226.0,94,6
20160719 21:00:20.000,6224.0,6224.0,6224.0,6226.0,22,6224.0,76,62
20160719 21:00:20.500,6224.0,6224.0,6224.0,6226.0,28,6224.0,78,63
20160719 21:00:21.000,6224.0,6224.0,6224.0,6226.0,2,6224.0,98,55
20160719 21:00:21.500,6224.0,6224.0,6224.0,6226.0,44,6224.0,154,37
20160719 21:00:22.000,6226.0,6226.0,6226.0,6228.0,108,6226.0,15,127
20160719 21:00:22.500,6226.0,6226.0,6226.0,6228.0,2,6226.0,27,125
20160719 21:00:23.000,6226.0,6226.0,6226.0,6228.0,14,6226.0,104,122
20160719 21:00:23.500,6226.0,6226.0,6226.0,6228.0,4,6226.0,142,122
20160719 21:00:24.000,6226.0,6228.0,6228.0,6228.0,48,6228.0,181,103
20160719 21:00:24.500,6226.0,6228.0,6228.0,6228.0,30,6228.0,184,89
20160719 21:00:25.000,6226.0,6228.0,6228.0,6228.0,102,6228.0,172,54
20160719 21:00:25.500,6228.0,6228.0,6228.0,6230.0,118,6228.0,22,85
20160719 21:00:26.000,6228.0,6228.0,6228.0,6230.0,4,6228.0,21,85
20160719 21:00:26.500,6228.0,6230.0,6230.0,6230.0,130,6230.0,15,47
20160719 21:00:27.000,6228.0,6230.0,6230.0,6230.0,4,6230.0,25,45
20160719 21:00:27.500,6228.0,6228.0,6228.0,6230.0,2,6228.0,37,44
20160719 21:00:28.000,6228.0,6230.0,6230.0,6230.0,10,6230.0,36,40
20160719 21:00:28.500,6228.0,6230.0,6230.0,6230.0,30,6230.0,29,43
20160719 21:00:29.000,6228.0,6230.0,6230.0,6230.0,4,6230.0,28,27
20160719 21:00:29.500,6228.0,6230.0,6230.0,6232.0,2,6230.0,28,162
20160719 21:00:30.000,6228.0,6228.0,6228.0,6230.0,2,6228.0,24,30
20160719 21:00:30.500,6228.0,6228.0,6228.0,6230.0,44,6228.0,23,10
20160719 21:00:31.000,6228.0,6228.0,6228.0,6232.0,8,6228.0,22,163
20160719 21:00:31.500,6228.0,6230.0,6230.0,6230.0,20,6230.0,33,16
20160719 21:00:32.000,6228.0,6230.0,6230.0,6230.0,12,6230.0,33,12
20160719 21:00:32.500,6228.0,6230.0,6230.0,6230.0,22,6230.0,33,8
20160719 21:00:33.000,6228.0,6230.0,6230.0,6230.0,4,6230.0,42,7
20160719 21:00:33.500,6228.0,6230.0,6230.0,6230.0,26,6230.0,27,2
20160719 21:00:34.000,6228.0,6230.0,6230.0,6230.0,10,6230.0,27,3
20160719 21:00:34.500,6228.0,6228.0,6228.0,6230.0,20,6228.0,24,7
20160719 21:00:35.000,6228.0,6230.0,6230.0,6230.0,12,6230.0,24,1
20160719 21:00:35.500,6228.0,6230.0,6230.0,6230.0,12,6230.0,24,28
20160719 21:00:36.000,6228.0,6228.0,6228.0,6230.0,22,6228.0,6,13
20160719 21:00:36.500,6228.0,6230.0,6230.0,6230.0,12,6230.0,5,7
20160719 21:00:38.000,6226.0,6228.0,6228.0,6230.0,30,6228.0,70,78
20160719 21:00:39.000,6226.0,6228.0,6228.0,6228.0,24,6228.0,56,95
20160719 21:00:39.500,6226.0,6228.0,6228.0,6228.0,6,6228.0,35,92
20160719 21:00:41.000,6226.0,6226.0,6226.0,6228.0,124,6226.0,7,50
20160719 21:00:41.500,6226.0,6226.0,6226.0,6228.0,16,6226.0,4,48
20160719 21:00:42.000,6226.0,6228.0,6228.0,6228.0,2,6228.0,5,53
20160719 21:00:42.500,6226.0,6228.0,6228.0,6228.0,2,6228.0,6,52
20160719 21:00:43.000,6226.0,6228.0,6228.0,6228.0,10,6228.0,7,47
20160719 21:00:44.000,6226.0,6226.0,6226.0,6228.0,2,6226.0,10,49
20160719 21:00:44.500,6224.0,6226.0,6226.0,6226.0,42,6226.0,120,1
20160719 21:00:45.000,6226.0,6224.0,6224.0,6228.0,10,6224.0,20,46
20160719 21:00:45.500,6226.0,6226.0,6226.0,6228.0,8,6226.0,23,68
20160719 21:00:46.000,6226.0,6228.0,6228.0,6228.0,4,6228.0,22,52
20160719 21:00:47.000,6226.0,6226.0,6226.0,6228.0,8,6226.0,19,45
20160719 21:00:47.500,6226.0,6226.0,6226.0,6228.0,8,6226.0,3,36
20160719 21:00:48.000,6226.0,6226.0,6226.0,6228.0,20,6226.0,3,37
20160719 21:00:48.500,6226.0,6230.0,6230.0,6230.0,92,6230.0,14,80
20160719 21:00:49.000,6226.0,6228.0,6228.0,6230.0,2,6228.0,14,73
20160719 21:00:49.500,6226.0,6226.0,6226.0,6228.0,10,6226.0,22,1
20160719 21:00:50.000,6226.0,6228.0,6228.0,6230.0,6,6228.0,27,64
20160719 21:00:50.500,6226.0,6226.0,6226.0,6228.0,16,6226.0,29,17
20160719 21:00:51.000,6226.0,6226.0,6226.0,6228.0,14,6226.0,24,16
20160719 21:00:51.500,6226.0,6228.0,6228.0,6228.0,10,6228.0,44,12
20160719 21:00:52.000,6228.0,6228.0,6228.0,6230.0,30,6228.0,8,55
20160719 21:00:52.500,6228.0,6228.0,6228.0,6230.0,4,6228.0,29,57
20160719 21:00:53.000,6228.0,6228.0,6228.0,6230.0,2,6228.0,14,69
20160719 21:00:53.500,6226.0,6228.0,6228.0,6230.0,30,6228.0,65,68
20160719 21:00:56.000,6226.0,6230.0,6230.0,6230.0,6,6230.0,82,40
20160719 21:00:56.500,6226.0,6228.0,6228.0,6230.0,4,6228.0,109,46
20160719 21:00:57.000,6226.0,6226.0,6226.0,6230.0,12,6226.0,112,56
20160719 21:00:57.500,6228.0,6230.0,6230.0,6230.0,2,6230.0,2,65
20160719 21:00:58.000,6226.0,6228.0,6228.0,6228.0,18,6228.0,118,41
20160719 21:00:58.500,6226.0,6228.0,6228.0,6228.0,4,6228.0,117,39
20160719 21:00:59.000,6226.0,6228.0,6228.0,6228.0,56,6228.0,123,11
20160719 21:00:59.500,6226.0,6228.0,6228.0,6230.0,22,6228.0,115,96
20160719 21:01:00.000,6226.0,6230.0,6230.0,6230.0,30,6230.0,105,71
20160719 21:01:01.000,6226.0,6226.0,6226.0,6228.0,26,6226.0,128,4
20160719 21:01:02.000,6228.0,6230.0,6230.0,6230.0,16,6230.0,3,78
20160719 21:01:03.000,6228.0,6228.0,6228.0,6230.0,6,6228.0,6,78
20160719 21:01:03.500,6228.0,6228.0,6228.0,6230.0,2,6228.0,5,79
