Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160929 11:26:12.000,2480,2481,2481,2521,2,2481,1,1
20160929 11:26:28.000,2481,2481,2481,2521,2,2481,1,1
20160929 11:26:56.000,2480,2481,2481,2521,4,2481,1,1
20160929 11:27:19.000,2480,2481,2481,2520,4,2481,1,1
20160929 11:27:27.000,2480,2481,2481,2519,4,2481,1,1
20160929 11:27:32.000,2448,2481,2481,2519,4,2481,1,1
20160929 11:27:40.000,2450,2481,2481,2519,4,2481,1,1
20160929 11:27:48.000,2466,2481,2481,2519,4,2481,1,1
20160929 11:28:04.000,2466,2481,2481,2518,4,2481,1,1
20160929 11:28:06.000,2467,2481,2481,2518,4,2481,1,1
20160929 11:28:11.000,2467,2481,2481,2517,4,2481,1,1
20160929 11:28:16.000,2468,2481,2481,2517,4,2481,1,1
20160929 11:28:22.000,2476,2481,2481,2517,4,2481,1,1
20160929 11:28:44.000,2476,2481,2481,2517,4,2481,1,2
20160929 11:28:47.000,2476,2481,2481,2517,4,2481,2,2
20160929 13:32:24.000,2477,2481,2481,2517,4,2481,1,2
20160929 13:32:41.000,2478,2481,2481,2517,4,2481,1,2
20160929 13:32:55.000,2479,2481,2481,2517,4,2481,1,2
20160929 13:33:04.000,2480,2481,2481,2517,4,2481,1,2
20160929 13:33:15.000,2481,2481,2481,2517,4,2481,1,2
20160929 13:34:21.000,2481,2481,2481,2516,4,2481,1,1
20160929 13:34:42.000,2481,2481,2481,2515,4,2481,1,1
20160929 13:37:21.000,2482,2481,2481,2515,4,2481,1,1
20160929 13:37:41.000,2481,2482,2481,2515,6,2482,1,1
20160929 13:38:15.000,2481,2482,2481,2522,6,2482,1,1
20160929 13:38:32.000,2480,2482,2481,2521,6,2482,1,1
20160929 13:38:33.000,2481,2482,2481,2521,6,2482,1,1
20160929 13:41:35.000,2480,2482,2481,2521,6,2482,1,1
20160929 13:41:48.000,2448,2482,2481,2521,6,2482,1,1
20160929 13:42:02.000,2449,2482,2481,2521,6,2482,1,1
20160929 13:42:06.000,2450,2482,2481,2521,6,2482,1,1
20160929 13:42:11.000,2451,2482,2481,2521,6,2482,1,1
20160929 13:42:22.000,2451,2482,2481,2520,6,2482,1,1
20160929 13:42:49.000,2451,2482,2481,2519,6,2482,1,1
20160929 13:43:04.000,2452,2482,2481,2519,6,2482,1,1
20160929 13:43:09.000,2453,2482,2481,2519,6,2482,1,1
20160929 13:43:17.000,2454,2482,2481,2519,6,2482,1,1
20160929 13:43:26.000,2455,2482,2481,2519,6,2482,1,1
20160929 13:43:31.000,2456,2482,2481,2519,6,2482,1,1
20160929 13:43:32.000,2456,2482,2481,2519,6,2482,2,1
20160929 13:43:37.000,2456,2482,2481,2522,6,2482,2,1
20160929 13:43:45.000,2456,2482,2481,2521,6,2482,1,1
20160929 13:43:58.000,2458,2482,2481,2521,6,2482,1,1
20160929 13:44:07.000,2460,2482,2481,2521,6,2482,1,1
20160929 13:44:15.000,2461,2482,2481,2521,6,2482,1,1
20160929 13:44:19.000,2462,2482,2481,2521,6,2482,1,1
20160929 13:44:25.000,2463,2482,2481,2521,6,2482,1,1
20160929 13:44:30.000,2464,2482,2481,2521,6,2482,1,1
20160929 13:44:37.000,2465,2482,2481,2521,6,2482,1,1
20160929 13:44:41.000,2466,2482,2481,2521,6,2482,1,1
20160929 13:44:49.000,2467,2482,2481,2521,6,2482,1,1
20160929 13:44:56.000,2470,2482,2481,2521,6,2482,1,1
20160929 13:45:01.000,2471,2482,2481,2521,6,2482,1,1
20160929 13:45:24.000,2472,2482,2481,2521,6,2482,1,1
20160929 13:45:37.000,2473,2482,2481,2521,6,2482,1,1
20160929 13:45:41.000,2476,2482,2481,2521,6,2482,1,1
20160929 13:46:36.000,2476,2482,2481,2521,6,2482,2,1
20160929 14:15:05.000,2476,2482,2481,2521,6,2482,1,1
20160929 14:34:15.000,2482,2482,2481,2521,6,2482,1,1
20160929 14:35:56.000,2483,2482,2481,2521,6,2482,1,1
20160929 14:40:11.000,2482,2482,2481,2521,6,2482,1,1
20160929 14:46:22.000,2483,2482,2481,2521,6,2482,1,1
20160929 14:52:21.000,2483,2482,2481,2521,6,2482,1,2
