Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160929 09:00:00.000,2217,2229,2197,2218,415564,2217,88,250
20160929 09:00:01.000,2215,2229,2197,2216,416726,2215,430,28
20160929 09:00:01.000,2214,2229,2197,2215,417962,2215,116,1
20160929 09:00:02.000,2217,2229,2197,2218,418598,2217,26,144
20160929 09:00:02.000,2215,2229,2197,2218,419754,2215,358,11
20160929 09:00:03.000,2215,2229,2197,2217,420116,2217,488,4
20160929 09:00:03.000,2219,2229,2197,2220,420458,2219,3,157
20160929 09:00:04.000,2219,2229,2197,2220,420512,2220,6,135
20160929 09:00:04.000,2219,2229,2197,2220,421242,2220,89,326
20160929 09:00:05.000,2217,2229,2197,2220,421826,2218,2,301
20160929 09:00:05.000,2218,2229,2197,2220,421940,2220,1,261
20160929 09:00:06.000,2217,2229,2197,2218,422082,2217,29,6
20160929 09:00:06.000,2219,2229,2197,2220,422162,2218,1,251
20160929 09:00:07.000,2218,2229,2197,2219,422178,2219,11,27
20160929 09:00:07.000,2218,2229,2197,2220,422292,2220,28,246
20160929 09:00:08.000,2219,2229,2197,2220,422318,2218,5,242
20160929 09:00:08.000,2219,2229,2197,2220,422364,2219,28,234
20160929 09:00:09.000,2219,2229,2197,2220,422510,2219,3,261
20160929 09:00:09.000,2218,2229,2197,2220,422768,2218,9,150
20160929 09:00:10.000,2218,2229,2197,2220,422840,2220,10,138
20160929 09:00:10.000,2218,2229,2197,2220,422926,2219,9,110
20160929 09:00:11.000,2217,2229,2197,2218,422982,2218,95,345
20160929 09:00:11.000,2217,2229,2197,2218,423022,2218,83,342
20160929 09:00:12.000,2217,2229,2197,2218,423056,2218,73,339
20160929 09:00:12.000,2218,2229,2197,2219,423776,2219,32,11
20160929 09:00:13.000,2218,2229,2197,2219,423808,2219,20,33
20160929 09:00:13.000,2218,2229,2197,2219,423822,2219,28,33
20160929 09:00:14.000,2217,2229,2197,2218,423934,2218,79,1
20160929 09:00:14.000,2218,2229,2197,2219,423950,2219,1,33
20160929 09:00:15.000,2216,2229,2197,2218,424140,2218,348,110
20160929 09:00:15.000,2217,2229,2197,2218,424196,2218,1,112
20160929 09:00:16.000,2217,2229,2197,2218,424306,2217,39,160
20160929 09:00:16.000,2217,2229,2197,2218,424344,2218,34,155
20160929 09:00:17.000,2217,2229,2197,2218,424402,2218,24,152
20160929 09:00:17.000,2217,2229,2197,2218,424408,2217,115,152
20160929 09:00:18.000,2217,2229,2197,2218,424414,2217,132,156
20160929 09:00:18.000,2217,2229,2197,2218,424482,2217,124,141
20160929 09:00:19.000,2217,2229,2197,2218,424500,2218,130,134
20160929 09:00:19.000,2217,2229,2197,2218,424528,2217,223,134
20160929 09:00:20.000,2217,2229,2197,2218,424638,2218,222,146
