Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160929 09:01:02.000,6775,6780,6719,6777,24970,6777,3,3
20160929 09:01:02.000,6775,6780,6719,6776,24972,6775,2,3
20160929 09:01:04.000,6775,6780,6719,6776,24972,6775,4,3
20160929 09:01:05.000,6775,6780,6719,6777,24972,6775,4,3
20160929 09:01:06.000,6775,6780,6719,6777,24982,6775,14,3
20160929 09:01:07.000,6775,6780,6719,6777,24982,6775,16,3
20160929 09:01:08.000,6775,6780,6719,6777,24984,6775,15,3
20160929 09:01:09.000,6775,6780,6719,6776,24986,6775,4,3
20160929 09:01:10.000,6775,6780,6719,6776,24990,6776,4,1
20160929 09:01:11.000,6775,6780,6719,6776,24994,6775,4,1
20160929 09:01:12.000,6774,6780,6719,6776,25002,6775,10,10
20160929 09:01:12.000,6773,6780,6719,6775,25018,6776,7,6
20160929 09:01:13.000,6774,6780,6719,6776,25018,6776,6,6
20160929 09:01:14.000,6773,6780,6719,6775,25018,6776,7,6
20160929 09:01:16.000,6774,6780,6719,6775,25018,6776,6,1
20160929 09:01:17.000,6773,6780,6719,6775,25052,6773,10,7
20160929 09:01:19.000,6774,6780,6719,6776,25100,6775,2,7
20160929 09:01:20.000,6773,6780,6719,6776,25100,6775,10,7
20160929 09:01:20.000,6774,6780,6719,6776,25106,6774,21,7
20160929 09:01:21.000,6774,6780,6719,6776,25106,6774,28,7
20160929 09:01:23.000,6775,6780,6719,6776,25106,6774,1,5
20160929 09:01:24.000,6774,6780,6719,6776,25106,6774,28,6
20160929 09:01:26.000,6774,6780,6719,6776,25108,6775,28,6
20160929 09:01:27.000,6774,6780,6719,6776,25108,6775,27,6
20160929 09:01:27.000,6774,6780,6719,6776,25110,6774,27,6
20160929 09:01:29.000,6774,6780,6719,6776,25110,6774,27,7
20160929 09:01:32.000,6774,6780,6719,6776,25110,6774,27,8
20160929 09:01:33.000,6774,6780,6719,6776,25110,6774,20,8
20160929 09:01:34.000,6774,6780,6719,6776,25112,6774,20,8
20160929 09:01:35.000,6774,6780,6719,6776,25112,6774,21,8
20160929 09:01:36.000,6774,6780,6719,6775,25112,6774,19,4
20160929 09:01:37.000,6774,6780,6719,6776,25114,6775,21,8
20160929 09:01:37.000,6774,6780,6719,6776,25116,6774,20,8
20160929 09:01:38.000,6774,6780,6719,6776,25116,6774,23,9
20160929 09:01:39.000,6774,6780,6719,6776,25120,6775,23,9
20160929 09:01:39.000,6775,6780,6719,6776,25122,6775,1,8
20160929 09:01:40.000,6775,6780,6719,6776,25134,6774,6,3
20160929 09:01:42.000,6775,6780,6719,6777,25140,6776,6,6
20160929 09:01:46.000,6775,6780,6719,6777,25142,6777,6,6
20160929 09:01:46.000,6775,6780,6719,6777,25144,6775,5,6
20160929 09:01:47.000,6775,6780,6719,6777,25146,6777,5,6
20160929 09:01:51.000,6775,6780,6719,6777,25148,6775,4,6
20160929 09:01:55.000,6775,6780,6719,6777,25158,6774,2,4
20160929 09:01:56.000,6775,6780,6719,6777,25160,6775,1,9
20160929 09:01:57.000,6775,6780,6719,6777,25162,6775,1,12
20160929 09:01:59.000,6774,6780,6719,6775,25164,6776,39,1
20160929 09:01:59.000,6775,6780,6719,6777,25170,6777,7,12
20160929 09:02:00.000,6775,6780,6719,6777,25210,6775,19,12
20160929 09:02:01.000,6775,6780,6719,6777,25212,6775,18,12
20160929 09:02:03.000,6775,6780,6719,6777,25214,6775,17,11
20160929 09:02:04.000,6776,6780,6719,6777,25230,6776,9,6
20160929 09:02:04.000,6776,6780,6719,6777,25236,6776,6,6
20160929 09:02:04.000,6776,6780,6719,6777,25238,6776,5,6
20160929 09:02:06.000,6776,6780,6719,6777,25240,6776,4,6
20160929 09:02:07.000,6776,6780,6719,6777,25240,6776,4,7
20160929 09:02:08.000,6776,6780,6719,6777,25246,6777,4,6
20160929 09:02:09.000,6775,6780,6719,6777,25246,6777,5,6
20160929 09:02:10.000,6775,6780,6719,6777,25246,6777,5,11
20160929 09:02:11.000,6775,6780,6719,6777,25246,6777,5,9
20160929 09:02:12.000,6775,6780,6719,6777,25246,6777,5,11
20160929 09:02:12.000,6776,6780,6719,6777,25258,6775,8,7
20160929 09:02:13.000,6776,6780,6719,6777,25258,6775,8,8
20160929 09:02:14.000,6776,6780,6719,6777,25262,6776,6,8
20160929 09:02:15.000,6776,6780,6719,6777,25262,6776,6,7
20160929 09:02:17.000,6776,6780,6719,6777,25264,6777,6,6
20160929 09:02:20.000,6776,6780,6719,6777,25264,6777,6,7
20160929 09:02:20.000,6776,6780,6719,6778,25280,6777,6,6
20160929 09:02:22.000,6776,6780,6719,6778,25282,6776,5,6
20160929 09:02:23.000,6776,6780,6719,6777,25282,6776,5,7
20160929 09:02:24.000,6775,6780,6719,6776,25306,6776,10,8
20160929 09:02:25.000,6775,6780,6719,6776,25306,6776,11,8
20160929 09:02:25.000,6776,6780,6719,6777,25322,6776,2,8
20160929 09:02:26.000,6776,6780,6719,6777,25322,6776,3,8
20160929 09:02:26.000,6776,6780,6719,6777,25328,6777,10,4
