Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160929 08:59:00.660,6917,6929,6929,6934,22,6929,6,1
20160929 09:00:01.875,6917,6929,6922,6932,34,6922,6,11
20160929 09:00:02.386,6918,6932,6922,6929,74,6925,1,1
20160929 09:00:02.888,6918,6938,6922,6940,116,6933,1,3
20160929 09:00:03.389,6943,6948,6922,6949,178,6944,1,2
20160929 09:00:03.888,6929,6949,6922,6950,218,6929,6,21
20160929 09:00:04.390,6943,6949,6922,6950,238,6948,7,21
20160929 09:00:04.863,6942,6950,6922,6950,256,6942,1,20
20160929 09:00:05.387,6930,6950,6922,6950,276,6942,15,20
20160929 09:00:05.886,6942,6950,6922,6949,280,6942,1,2
20160929 09:00:06.375,6953,6956,6922,6960,360,6953,20,13
20160929 09:00:06.892,6949,6959,6922,6953,418,6933,2,4
20160929 09:00:07.393,6949,6959,6922,6959,426,6953,2,2
20160929 09:00:07.896,6950,6967,6922,6967,452,6967,3,8
20160929 09:00:08.395,6950,6967,6922,6967,484,6966,2,7
20160929 09:00:08.892,6951,6967,6922,6968,510,6967,11,2
20160929 09:00:09.376,6972,6980,6922,6978,582,6980,32,2
20160929 09:00:09.877,6972,6983,6922,6985,664,6972,57,2
20160929 09:00:10.400,6972,6983,6922,6984,716,6972,55,1
20160929 09:00:10.886,6973,6983,6922,6984,732,6983,4,1
20160929 09:00:11.387,6972,6987,6922,6986,860,6971,1,2
20160929 09:00:11.902,6973,6987,6922,6988,958,6985,2,3
20160929 09:00:12.412,6974,6988,6922,6987,1000,6974,4,26
20160929 09:00:12.900,6972,6988,6922,6987,1058,6969,13,6
20160929 09:00:13.412,6980,6988,6922,6987,1092,6987,9,3
20160929 09:00:13.914,6981,6988,6922,6989,1154,6988,1,3
20160929 09:00:14.415,6966,6989,6922,6990,1200,6989,15,10
20160929 09:00:14.914,6968,6989,6922,6973,1206,6973,10,55
20160929 09:00:15.430,6969,6989,6922,6973,1248,6973,7,47
20160929 09:00:15.909,6969,6989,6922,6973,1256,6973,64,43
20160929 09:00:16.374,6969,6989,6922,6973,1302,6973,41,20
20160929 09:00:16.933,6969,6989,6922,6977,1352,6985,21,2
20160929 09:00:17.402,6972,6989,6922,6977,1352,6985,3,2
20160929 09:00:18.388,6972,6989,6922,6977,1352,6985,7,2
20160929 09:00:18.933,6965,6989,6922,6977,1394,6983,2,1
20160929 09:00:19.442,6966,6989,6922,6977,1398,6977,3,1
20160929 09:00:20.390,6960,6989,6922,6976,1410,6965,2,2
20160929 09:00:20.955,6961,6989,6922,6966,1410,6965,1,10
20160929 09:00:21.453,6959,6989,6922,6966,1416,6960,10,12
20160929 09:00:22.467,6948,6989,6922,6966,1440,6953,2,12
20160929 09:00:22.912,6950,6989,6922,6964,1440,6953,11,10
20160929 09:00:23.453,6951,6989,6922,6964,1442,6962,1,10
20160929 09:00:23.963,6950,6989,6922,6959,1446,6953,1,4
20160929 09:00:24.422,6951,6989,6922,6959,1450,6958,1,4
20160929 09:00:24.914,6951,6989,6922,6959,1454,6958,1,6
20160929 09:00:25.482,6951,6989,6922,6959,1456,6952,1,6
20160929 09:00:26.435,6951,6989,6922,6960,1478,6960,13,1
20160929 09:00:26.988,6951,6989,6922,6960,1478,6960,1,1
20160929 09:00:27.435,6951,6989,6922,6960,1480,6960,2,1
20160929 09:00:27.998,6951,6989,6922,6960,1480,6960,1,1
20160929 09:00:28.479,6950,6989,6922,6960,1482,6951,1,1
20160929 09:00:28.988,6948,6989,6922,6950,1504,6950,19,24
20160929 09:00:29.493,6936,6989,6922,6948,1576,6942,2,4
20160929 09:00:30.007,6936,6989,6922,6947,1576,6942,2,3
20160929 09:00:30.477,6936,6989,6922,6947,1576,6942,2,1
20160929 09:00:30.992,6929,6989,6922,6936,1584,6936,3,1
20160929 09:00:31.517,6935,6989,6922,6936,1586,6935,2,1
20160929 09:00:32.018,6929,6989,6922,6937,1594,6935,1,2
20160929 09:00:33.015,6921,6989,6922,6937,1596,6929,11,2
20160929 09:00:33.534,6922,6989,6922,6936,1598,6936,2,1
20160929 09:00:34.017,6923,6989,6922,6936,1598,6936,1,1
20160929 09:00:34.551,6922,6989,6922,6937,1600,6936,1,65
20160929 09:00:35.047,6937,6989,6922,6944,1730,6937,135,2
20160929 09:00:35.499,6937,6989,6922,6940,1740,6937,131,2
20160929 09:00:36.013,6937,6989,6922,6940,1752,6937,126,6
20160929 09:00:36.562,6937,6989,6922,6940,1752,6937,126,2
20160929 09:00:37.039,6937,6989,6922,6940,1752,6937,126,6
20160929 09:00:37.528,6937,6989,6922,6940,1764,6937,120,2
20160929 09:00:38.023,6937,6989,6922,6940,1918,6937,43,2
20160929 09:00:38.591,6921,6989,6922,6940,2008,6933,11,2
20160929 09:00:38.969,6923,6989,6922,6938,2008,6933,10,10
20160929 09:00:40.566,6923,6989,6922,6936,2008,6933,12,7
20160929 09:00:41.066,6923,6989,6922,6934,2008,6933,12,10
20160929 09:00:41.548,6923,6989,6922,6934,2010,6933,12,10
20160929 09:00:42.024,6925,6989,6922,6936,2030,6934,9,2
20160929 09:00:42.578,6925,6989,6922,6936,2032,6936,9,1
20160929 09:00:43.121,6926,6989,6922,6939,2038,6937,3,1
20160929 09:00:43.609,6928,6989,6922,6936,2038,6937,14,2
20160929 09:00:44.117,6929,6989,6922,6936,2038,6937,9,2
20160929 09:00:44.631,6921,6989,6922,6926,2104,6926,3,73
20160929 09:00:45.148,6921,6989,6922,6926,2208,6923,3,51
20160929 09:00:45.631,6921,6989,6921,6926,2230,6921,9,49
20160929 09:00:46.129,6920,6989,6920,6926,2250,6920,23,49
20160929 09:00:46.624,6921,6989,6920,6926,2252,6926,6,48
20160929 09:00:47.105,6921,6989,6920,6926,2276,6920,2,45
20160929 09:00:47.653,6918,6989,6920,6926,2322,6920,2,44
