Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160927 20:59:00.500,2235,2236,2236,2236,56,2236,1,8
20160927 21:00:00.500,2230,2236,2235,2234,64,2236,1,1
20160927 21:00:01.000,2234,2236,2234,2235,84,2235,15,13
20160927 21:00:01.500,2234,2236,2234,2235,118,2236,15,1
20160927 21:00:02.000,2234,2236,2234,2235,122,2234,14,1
20160927 21:00:02.500,2234,2236,2234,2236,130,2236,14,7
20160927 21:00:03.000,2234,2236,2234,2236,130,2236,15,7
20160927 21:00:03.500,2234,2236,2234,2235,130,2236,16,6
20160927 21:00:04.000,2234,2236,2234,2235,134,2235,16,4
20160927 21:00:04.500,2234,2236,2234,2235,140,2235,20,1
20160927 21:00:05.000,2234,2236,2234,2235,140,2235,15,1
20160927 21:00:05.500,2234,2236,2234,2235,140,2235,15,1
20160927 21:00:06.500,2234,2236,2234,2235,140,2235,16,1
20160927 21:00:07.000,2234,2236,2234,2235,140,2235,20,1
20160927 21:00:07.500,2234,2236,2234,2235,140,2235,16,6
20160927 21:00:08.000,2234,2236,2234,2235,140,2235,15,6
20160927 21:00:08.500,2234,2236,2234,2235,140,2235,14,6
20160927 21:00:10.000,2234,2236,2234,2235,148,2235,14,2
20160927 21:00:10.500,2234,2236,2234,2235,148,2235,14,2
20160927 21:00:11.500,2234,2236,2234,2235,154,2234,11,2
20160927 21:00:12.000,2234,2236,2234,2235,154,2234,11,2
20160927 21:00:12.500,2234,2236,2234,2235,156,2234,10,2
20160927 21:00:15.000,2234,2236,2234,2235,156,2234,10,2
20160927 21:00:15.500,2234,2236,2234,2235,156,2234,10,3
20160927 21:00:16.000,2234,2236,2234,2235,158,2234,9,3
20160927 21:00:16.500,2231,2236,2234,2234,176,2234,3,1
20160927 21:00:17.000,2232,2236,2234,2234,176,2234,1,2
20160927 21:00:17.500,2233,2236,2234,2234,176,2234,1,2
20160927 21:00:18.000,2232,2236,2233,2234,178,2233,1,2
20160927 21:00:19.000,2232,2236,2233,2234,178,2233,2,2
20160927 21:00:19.500,2232,2236,2233,2234,178,2233,2,2
20160927 21:00:20.000,2233,2236,2233,2234,178,2233,1,2
20160927 21:00:20.500,2233,2236,2233,2234,178,2233,1,2
20160927 21:00:21.000,2232,2236,2232,2234,182,2232,1,2
20160927 21:00:21.500,2232,2236,2232,2233,182,2232,1,1
20160927 21:00:23.000,2231,2236,2232,2233,182,2232,3,1
20160927 21:00:23.500,2231,2236,2232,2233,182,2232,8,2
20160927 21:00:24.500,2231,2236,2232,2233,182,2232,8,2
20160927 21:00:25.000,2229,2236,2231,2231,198,2231,1,2
20160927 21:00:25.500,2229,2236,2231,2231,198,2231,1,2
20160927 21:00:26.000,2229,2236,2231,2231,198,2231,1,2
20160927 21:00:26.500,2229,2236,2231,2231,198,2231,1,2
20160927 21:00:27.000,2230,2236,2231,2231,198,2231,6,2
20160927 21:00:28.000,2230,2236,2231,2231,198,2231,6,2
20160927 21:00:28.500,2230,2236,2230,2231,202,2230,4,2
20160927 21:00:29.000,2230,2236,2230,2231,202,2230,4,3
20160927 21:00:29.500,2229,2236,2230,2230,210,2230,1,2
20160927 21:00:30.000,2229,2236,2230,2231,214,2230,1,3
20160927 21:00:30.500,2229,2236,2230,2231,214,2230,3,3
20160927 21:00:31.500,2229,2236,2230,2231,214,2230,3,3
20160927 21:00:33.000,2229,2236,2230,2230,214,2230,3,5
20160927 21:00:36.500,2229,2236,2230,2230,214,2230,1,5
20160927 21:00:37.000,2229,2236,2230,2230,214,2230,1,7
20160927 21:00:37.500,2229,2236,2230,2230,214,2230,1,8
20160927 21:00:38.000,2229,2236,2230,2230,214,2230,1,8
20160927 21:00:38.500,2229,2236,2230,2230,214,2230,4,8
20160927 21:00:39.000,2229,2236,2230,2230,214,2230,4,14
20160927 21:00:39.500,2229,2236,2230,2230,214,2230,4,14
20160927 21:00:41.000,2229,2236,2229,2230,216,2229,3,14
20160927 21:00:41.500,2229,2236,2229,2230,216,2229,3,14
20160927 21:00:43.500,2229,2236,2229,2230,222,2229,1,13
20160927 21:00:44.000,2229,2236,2229,2230,224,2230,1,12
20160927 21:00:44.500,2229,2236,2229,2230,224,2230,1,12
20160927 21:00:45.000,2229,2236,2229,2230,224,2230,1,12
20160927 21:00:45.500,2229,2236,2229,2230,226,2230,1,11
20160927 21:00:46.000,2229,2236,2229,2230,226,2230,3,11
