Date,Open,High,Low,Close,Volume,Adj Close,bidvol,askvol
20160929 08:59:00.660,5600,5600,5600,5605,10,5600,5,6
20160929 09:00:01.369,5600,5605,5600,5620,22,5605,5,13
20160929 09:00:01.884,5605,5615,5600,5620,26,5615,6,13
20160929 09:00:02.384,5610,5630,5600,5630,30,5630,18,1
20160929 09:00:02.880,5610,5630,5600,5625,42,5615,14,99
20160929 09:00:03.342,5610,5630,5600,5625,60,5625,14,90
20160929 09:00:03.887,5610,5630,5600,5625,66,5625,16,87
20160929 09:00:04.364,5610,5630,5600,5625,66,5625,14,87
20160929 09:00:05.246,5610,5630,5600,5625,68,5615,14,87
20160929 09:00:05.841,5610,5630,5600,5625,80,5625,14,81
20160929 09:00:06.375,5610,5630,5600,5625,102,5625,14,70
20160929 09:00:07.305,5610,5630,5600,5625,110,5625,14,66
20160929 09:00:07.837,5610,5630,5600,5625,138,5620,20,54
20160929 09:00:08.395,5610,5630,5600,5625,138,5620,14,54
20160929 09:00:08.889,5610,5630,5600,5625,156,5625,15,45
20160929 09:00:09.395,5610,5630,5600,5625,156,5625,14,45
20160929 09:00:10.372,5610,5630,5600,5625,160,5615,14,44
20160929 09:00:10.851,5610,5630,5600,5625,164,5625,21,48
20160929 09:00:11.318,5615,5630,5600,5625,184,5625,7,32
20160929 09:00:11.894,5620,5630,5600,5625,186,5625,4,31
20160929 09:00:12.379,5620,5630,5600,5625,188,5625,3,30
20160929 09:00:12.907,5620,5630,5600,5625,190,5625,3,29
20160929 09:00:13.399,5620,5630,5600,5625,190,5625,3,35
20160929 09:00:13.887,5610,5630,5600,5620,198,5620,14,8
20160929 09:00:14.353,5615,5630,5600,5620,204,5620,11,5
20160929 09:00:14.826,5615,5630,5600,5620,204,5620,9,5
20160929 09:00:15.416,5615,5630,5600,5620,206,5615,10,5
20160929 09:00:15.876,5615,5630,5600,5620,206,5615,8,11
20160929 09:00:16.888,5615,5630,5600,5620,206,5615,9,11
20160929 09:00:17.332,5615,5630,5600,5620,206,5615,8,11
20160929 09:00:17.885,5615,5630,5600,5620,216,5620,8,6
20160929 09:00:19.411,5615,5630,5600,5620,216,5620,8,7
20160929 09:00:20.954,5615,5630,5600,5620,226,5620,8,2
20160929 09:00:23.384,5615,5630,5600,5620,226,5620,9,2
20160929 09:00:23.763,5615,5630,5600,5620,226,5620,8,2
20160929 09:00:25.393,5610,5630,5600,5615,242,5615,17,92
20160929 09:00:25.947,5610,5630,5600,5615,242,5615,14,92
20160929 09:00:26.413,5610,5630,5600,5615,252,5615,14,87
20160929 09:00:26.990,5610,5630,5600,5615,252,5615,15,87
20160929 09:00:27.447,5610,5630,5600,5615,254,5610,25,87
20160929 09:00:27.925,5610,5630,5600,5615,254,5610,30,87
20160929 09:00:28.499,5610,5630,5600,5615,254,5610,48,87
20160929 09:00:28.892,5610,5630,5600,5615,254,5610,86,87
20160929 09:00:29.503,5610,5630,5600,5615,254,5610,79,87
20160929 09:00:29.907,5610,5630,5600,5615,254,5610,46,87
20160929 09:00:30.362,5610,5630,5600,5615,254,5610,13,89
20160929 09:00:30.969,5610,5630,5600,5615,254,5610,13,98
20160929 09:00:34.055,5610,5630,5600,5615,258,5610,11,96
20160929 09:00:34.465,5610,5630,5600,5615,258,5610,11,99
20160929 09:00:35.058,5610,5630,5600,5615,258,5610,11,98
20160929 09:00:35.836,5610,5630,5600,5615,258,5610,11,97
20160929 09:00:37.541,5610,5630,5600,5615,258,5610,11,98
20160929 09:00:38.077,5610,5630,5600,5615,258,5610,11,97
20160929 09:00:38.475,5610,5630,5600,5615,262,5610,9,97
20160929 09:00:40.904,5610,5630,5600,5615,264,5610,9,97
20160929 09:00:42.048,5610,5630,5600,5615,266,5610,15,96
20160929 09:00:42.587,5610,5630,5600,5615,266,5610,17,96
20160929 09:00:43.007,5610,5630,5600,5615,266,5610,21,96
20160929 09:00:43.633,5610,5630,5600,5615,266,5610,20,96
20160929 09:00:44.121,5610,5630,5600,5615,266,5610,17,98
20160929 09:00:45.087,5610,5630,5600,5615,268,5610,25,98
